Período:Jun/2008,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,190,190,"64608,92",53544,-,-,"11064,92",-,-,"340,05","340,05",450,"2,4",-,-
110002 ARIQUEMES,441,441,"176213,32","128086,51",-,-,"48126,81",-,-,"399,58","399,58",1273,"2,9",6,"1,36"
110004 CACOAL,493,493,"158466,92","123800,91",-,-,"34666,01",-,-,"321,43","321,43",1501,3,6,"1,22"
110005 CEREJEIRAS,150,150,"51230,57","42016,71",-,-,"9213,86",-,-,"341,54","341,54",479,"3,2",-,-
110010 GUAJARA-MIRIM,261,261,"88319,39","64868,47",-,-,"23450,92",-,-,"338,39","338,39",684,"2,6",1,"0,38"
110011 JARU,185,185,"71802,89","52559,94",-,-,"19242,95",-,-,"388,12","388,12",420,"2,3",2,"1,08"
110012 JI-PARANA,826,826,"304132,22","241127,09",-,-,"63005,13",-,-,"368,2","368,2",2822,"3,4",17,"2,06"
110014 NOVA BRASILANDIA D'OESTE,129,129,"46275,5","37341,05",-,-,"8934,45",-,-,"358,72","358,72",493,"3,8",-,-
110015 OURO PRETO DO OESTE,193,193,"64737,38","48996,2",-,-,"15741,18",-,-,"335,43","335,43",410,"2,1",2,"1,04"
110018 PIMENTA BUENO,234,234,"78548,07","65539,82",-,-,"13008,25",-,-,"335,68","335,68",942,4,2,"0,85"
110025 PRESIDENTE MEDICI,145,145,"51575,52","42655,78",-,-,"8919,74",-,-,"355,69","355,69",476,"3,3",3,"2,07"
110030 VILHENA,520,520,"212821,69","162446,99",-,-,"50374,7",-,-,"409,27","409,27",1695,"3,3",8,"1,54"
110130 MIRANTE DA SERRA,104,104,"37418,29","30642,13",-,-,"6776,16",-,-,"359,79","359,79",228,"2,2",-,-
120001 ACRELANDIA,47,47,"16638,5","14043,07",-,-,"2595,43",-,-,"354,01","354,01",134,"2,9",-,-
120005 ASSIS BRASIL,23,23,"6719,47","5347,28",-,-,"1372,19",-,-,"292,15","292,15",60,"2,6",-,-
120010 BRASILEIA,114,114,"29774,64","21263,74",-,-,"8510,9",-,-,"261,18","261,18",288,"2,5",-,-
120020 CRUZEIRO DO SUL,1004,1004,"371879,65","284471,37",-,-,"87408,28",-,-,"370,4","370,4",3922,"3,9",11,"1,1"
120030 FEIJO,109,109,"46040,85","32451,19",-,-,"13589,66",-,-,"422,39","422,39",241,"2,2",-,-
120033 MANCIO LIMA,29,29,"11294,12","6911,91",-,-,"4382,21",-,-,"389,45","389,45",64,"2,2",-,-
120034 MANOEL URBANO,31,31,"12529,74","9616,29",-,-,"2913,45",-,-,"404,19","404,19",64,"2,1",-,-
120038 PLACIDO DE CASTRO,113,113,"32891,62","28467,38",-,-,"4424,24",-,-,"291,08","291,08",397,"3,5",1,"0,88"
120040 RIO BRANCO,2090,2090,"1140166,32","847657,12",-,-,"292509,2",-,-,"545,53","545,53",10133,"4,8",58,"2,78"
120042 RODRIGUES ALVES,40,40,"9022,16","7864,26",-,-,"1157,9",-,-,"225,55","225,55",112,"2,8",-,-
120045 SENADOR GUIOMARD,66,66,"21384,58","17431,27",-,-,"3953,31",-,-,"324,01","324,01",173,"2,6",-,-
120050 SENA MADUREIRA,254,254,"87681,35","66688,86",-,-,"20992,49",-,-,"345,2","345,2",746,"2,9",1,"0,39"
120060 TARAUACA,106,106,42473,"29608,09",-,-,"12864,91",-,-,"400,69","400,69",295,"2,8",-,-
130002 ALVARAES,131,131,"48491,52","34152,52",-,-,14339,-,-,"370,16","370,16",483,"3,7",-,-
130008 ANAMA,48,48,"16589,57","12566,7",-,-,"4022,87",-,-,"345,62","345,62",136,"2,8",-,-
130010 ANORI,52,52,"21773,87","15175,48",-,-,"6598,39",-,-,"418,73","418,73",136,"2,6",-,-
130014 APUI,85,85,"35261,63","25704,15",-,-,"9557,48",-,-,"414,84","414,84",340,4,-,-
130020 ATALAIA DO NORTE,75,75,"31036,59","21930,45",-,-,"9106,14",-,-,"413,82","413,82",227,3,-,-
130030 AUTAZES,123,123,"46994,01","35236,37",-,-,"11757,64",-,-,"382,07","382,07",335,"2,7",-,-
