Período:Jan/2008,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,176,176,"51889,6","43948,99",-,-,"7940,61",-,-,"294,83","294,83",434,"2,5",2,"1,14"
110002 ARIQUEMES,438,438,150366,"109745,81",-,-,"40620,19",-,-,"343,3","343,3",1141,"2,6",9,"2,05"
110004 CACOAL,409,409,"133412,69","104820,05",-,-,"28592,64",-,-,"326,19","326,19",1747,"4,3",3,"0,73"
110005 CEREJEIRAS,150,150,"40052,58","34851,03",-,-,"5201,55",-,-,"267,02","267,02",359,"2,4",-,-
110010 GUAJARA-MIRIM,266,266,"86747,54","66786,93",-,-,"19960,61",-,-,"326,12","326,12",700,"2,6",-,-
110011 JARU,201,201,"65960,64","49098,23",-,-,"16862,41",-,-,"328,16","328,16",464,"2,3",1,"0,5"
110012 JI-PARANA,711,711,"258644,25","203299,58",-,-,"55344,67",-,-,"363,78","363,78",2251,"3,2",16,"2,25"
110014 NOVA BRASILANDIA D'OESTE,129,129,"42644,8",34944,-,-,"7700,8",-,-,"330,58","330,58",276,"2,1",-,-
110015 OURO PRETO DO OESTE,296,296,"93066,07","75232,75",-,-,"17833,32",-,-,"314,41","314,41",533,"1,8",2,"0,68"
110018 PIMENTA BUENO,216,216,"70185,97","59118,1",-,-,"11067,87",-,-,"324,94","324,94",812,"3,8",-,-
110025 PRESIDENTE MEDICI,118,118,"34523,83","29642,59",-,-,"4881,24",-,-,"292,57","292,57",395,"3,3",2,"1,69"
110028 ROLIM DE MOURA,337,337,"110157,13","88647,81",-,-,"21509,32",-,-,"326,88","326,88",1122,"3,3",9,"2,67"
110030 VILHENA,591,591,"217174,57","163862,87",-,-,"53311,7",-,-,"367,47","367,47",1912,"3,2",13,"2,2"
110130 MIRANTE DA SERRA,104,104,"33702,72","27659,87",-,-,"6042,85",-,-,"324,06","324,06",210,2,-,-
120005 ASSIS BRASIL,14,14,"5119,64","4420,7",-,-,"698,94",-,-,"365,69","365,69",33,"2,4",-,-
120010 BRASILEIA,88,88,"33834,15","24692,92",-,-,"9141,23",-,-,"384,48","384,48",204,"2,3",2,"2,27"
120020 CRUZEIRO DO SUL,634,634,"232108,35","183747,99",-,-,"48360,36",-,-,"366,1","366,1",2529,4,3,"0,47"
120030 FEIJO,108,108,"43655,34","31286,15",-,-,"12369,19",-,-,"404,22","404,22",212,2,1,"0,93"
120038 PLACIDO DE CASTRO,68,68,"20430,71","16873,79",-,-,"3556,92",-,-,"300,45","300,45",222,"3,3",-,-
120040 RIO BRANCO,904,904,"466503,9","332746,67",-,-,"133757,23",-,-,"516,04","516,04",3420,"3,8",22,"2,43"
120045 SENADOR GUIOMARD,18,18,"6213,68","5169,46",-,-,"1044,22",-,-,"345,2","345,2",48,"2,7",-,-
120050 SENA MADUREIRA,115,115,"40593,66","30182,03",-,-,"10411,63",-,-,"352,99","352,99",316,"2,7",-,-
