Período:Abr/2008,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,190,190,"61587,4","50704,07",-,-,"10883,33",-,-,"324,14","324,14",472,"2,5",1,"0,53"
110002 ARIQUEMES,378,378,"139961,1","102889,01",-,-,"37072,09",-,-,"370,27","370,27",925,"2,4",6,"1,59"
110004 CACOAL,465,465,"152900,91","119254,44",-,-,"33646,47",-,-,"328,82","328,82",1470,"3,2",7,"1,51"
110010 GUAJARA-MIRIM,293,293,"89775,15","68895,16",-,-,"20879,99",-,-,"306,4","306,4",887,3,-,-
110011 JARU,245,245,"80140,52","60282,39",-,-,"19858,13",-,-,"327,1","327,1",650,"2,7",-,-
110012 JI-PARANA,924,924,"333488,36","261974,77",-,-,"71513,59",-,-,"360,92","360,92",3068,"3,3",13,"1,41"
110014 NOVA BRASILANDIA D'OESTE,130,130,"43567,73","35326,52",-,-,"8241,21",-,-,"335,14","335,14",285,"2,2",-,-
110015 OURO PRETO DO OESTE,181,181,"60124,23","44867,86",-,-,"15256,37",-,-,"332,18","332,18",384,"2,1",1,"0,55"
110018 PIMENTA BUENO,234,234,"77311,9","65810,61",-,-,"11501,29",-,-,"330,39","330,39",954,"4,1",4,"1,71"
110025 PRESIDENTE MEDICI,145,145,"43759,42","35283,85",-,-,"8475,57",-,-,"301,79","301,79",481,"3,3",-,-
110028 ROLIM DE MOURA,475,475,"208070,38","176106,27",-,-,"31964,11",-,-,"438,04","438,04",1388,"2,9",9,"1,89"
110030 VILHENA,521,521,"199090,17","146096,55",-,-,"52993,62",-,-,"382,13","382,13",1757,"3,4",2,"0,38"
110130 MIRANTE DA SERRA,104,104,"35537,69","29877,53",-,-,"5660,16",-,-,"341,71","341,71",253,"2,4",-,-
120001 ACRELANDIA,11,11,"3306,06","2880,28",-,-,"425,78",-,-,"300,55","300,55",23,"2,1",-,-
120005 ASSIS BRASIL,1,1,"403,09","243,27",-,-,"159,82",-,-,"403,09","403,09",-,-,-,-
120010 BRASILEIA,96,96,"30090,12","21045,73",-,-,"9044,39",-,-,"313,44","313,44",280,"2,9",-,-
120020 CRUZEIRO DO SUL,828,828,316866,"255970,13",-,-,"60895,87",-,-,"382,69","382,69",3274,4,11,"1,33"
