Período:Abr/2009,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,190,190,"72047,58","60119,92",-,-,"11927,66",-,-,"379,2","379,2",469,"2,5",1,"0,53"
110002 ARIQUEMES,514,514,"214297,49","161187,6",-,-,"53109,89",-,-,"416,92","416,92",1378,"2,7",13,"2,53"
110003 CABIXI,25,25,"8153,94","6327,66",-,-,"1826,28",-,-,"326,16","326,16",51,2,-,-
110004 CACOAL,486,486,"193563,27","148307,72",-,-,"45255,55",-,-,"398,28","398,28",1772,"3,6",8,"1,65"
110005 CEREJEIRAS,150,150,"60698,59","50965,88",-,-,"9732,71",-,-,"404,66","404,66",401,"2,7",-,-
110006 COLORADO DO OESTE,137,137,"50410,56","42416,94",-,-,"7993,62",-,-,"367,96","367,96",364,"2,7",-,-
110008 COSTA MARQUES,55,55,"26308,35","19793,69",-,-,"6514,66",-,-,"478,33","478,33",125,"2,3",-,-
110009 ESPIGAO D'OESTE,155,155,"51353,64","40553,23",-,-,"10800,41",-,-,"331,31","331,31",549,"3,5",2,"1,29"
110011 JARU,263,263,"107611,57","81336,47",-,-,"26275,1",-,-,"409,17","409,17",614,"2,3",3,"1,14"
110012 JI-PARANA,889,889,"403748,07","317614,77",-,-,"86133,3",-,-,"454,16","454,16",3282,"3,7",10,"1,12"
110013 MACHADINHO D'OESTE,117,117,"42191,06","31727,39",-,-,"10463,67",-,-,"360,61","360,61",362,"3,1",-,-
110014 NOVA BRASILANDIA D'OESTE,147,147,"59115,27","48689,12",-,-,"10426,15",-,-,"402,14","402,14",331,"2,3",-,-
110015 OURO PRETO DO OESTE,275,275,"103405,63","85394,69",-,-,"18010,94",-,-,"376,02","376,02",674,"2,5",3,"1,09"
110018 PIMENTA BUENO,235,235,"79081,88","64788,15",-,-,"14293,73",-,-,"336,52","336,52",641,"2,7",2,"0,85"
110020 PORTO VELHO,1715,1715,"1177893,61","860752,31",-,-,"317141,3",-,-,"686,82","686,82",10119,"5,9",59,"3,44"
110025 PRESIDENTE MEDICI,145,145,"58038,13","48620,14",-,-,"9417,99",-,-,"400,26","400,26",470,"3,2",2,"1,38"
110028 ROLIM DE MOURA,611,611,"263671,12","217850,97",-,-,"45820,15",-,-,"431,54","431,54",1314,"2,2",7,"1,15"
110029 SANTA LUZIA D'OESTE,64,64,"25318,65","21853,51",-,-,"3465,14",-,-,"395,6","395,6",230,"3,6",-,-
110030 VILHENA,431,431,"164339,71","136098,42",-,-,"28241,29",-,-,"381,3","381,3",1540,"3,6",10,"2,32"
110032 SAO MIGUEL DO GUAPORE,165,165,"57393,84","45864,51",-,-,"11529,33",-,-,"347,84","347,84",331,2,4,"2,42"
110033 NOVA MAMORE,96,96,"34329,59","26894,76",-,-,"7434,83",-,-,"357,6","357,6",295,"3,1",-,-
110034 ALVORADA D'OESTE,117,117,"40020,35","32240,48",-,-,"7779,87",-,-,"342,05","342,05",267,"2,3",-,-
110040 ALTO PARAISO,54,54,"16839,47","14429,25",-,-,"2410,22",-,-,"311,84","311,84",62,"1,1",-,-
110050 NOVO HORIZONTE DO OESTE,45,45,"17087,18","14741,3",-,-,"2345,88",-,-,"379,72","379,72",102,"2,3",-,-
110060 CACAULANDIA,27,27,"8402,31","7524,06",-,-,"878,25",-,-,"311,2","311,2",60,"2,2",-,-
110070 CAMPO NOVO DE RONDONIA,74,74,"27999,44","24596,28",-,-,"3403,16",-,-,"378,37","378,37",251,"3,4",-,-
110120 MINISTRO ANDREAZZA,41,41,"16526,9","14289,11",-,-,"2237,79",-,-,"403,1","403,1",100,"2,4",-,-
110130 MIRANTE DA SERRA,104,104,"33607,35","27407,95",-,-,"6199,4",-,-,"323,15","323,15",217,"2,1",-,-
110140 MONTE NEGRO,259,259,"95295,54","79763,27",-,-,"15532,27",-,-,"367,94","367,94",604,"2,3",-,-
110143 NOVA UNIAO,40,40,"16259,56","14357,1",-,-,"1902,46",-,-,"406,49","406,49",80,2,-,-
110149 SAO FRANCISCO DO GUAPORE,73,73,"21982,88","19525,88",-,-,2457,-,-,"301,14","301,14",162,"2,2",-,-
110150 SERINGUEIRAS,96,96,"31349,06","24183,73",-,-,"7165,33",-,-,"326,55","326,55",268,"2,8",-,-
110160 THEOBROMA,37,37,"11366,21","9890,7",-,-,"1475,51",-,-,"307,19","307,19",77,"2,1",-,-
110170 URUPA,23,23,"8327,53","7126,06",-,-,"1201,47",-,-,"362,07","362,07",52,"2,3",-,-
110175 VALE DO ANARI,10,10,"3722,06","3235,82",-,-,"486,24",-,-,"372,21","372,21",14,"1,4",-,-
110180 VALE DO PARAISO,17,17,"5532,29","4713,73",-,-,"818,56",-,-,"325,43","325,43",26,"1,5",-,-
120001 ACRELANDIA,79,79,"32655,77","28085,75",-,-,"4570,02",-,-,"413,36","413,36",295,"3,7",-,-
120005 ASSIS BRASIL,53,53,"21256,21","15792,54",-,-,"5463,67",-,-,"401,06","401,06",120,"2,3",-,-
120010 BRASILEIA,170,170,"50876,58","34381,45",-,-,"16495,13",-,-,"299,27","299,27",405,"2,4",-,-
120020 CRUZEIRO DO SUL,912,912,"383602,52","292794,7",-,-,"90807,82",-,-,"420,62","420,62",3713,"4,1",12,"1,32"
120030 FEIJO,200,200,"87460,28","61122,59",-,-,"26337,69",-,-,"437,3","437,3",458,"2,3",2,1
120033 MANCIO LIMA,21,21,"9311,4","5619,6",-,-,"3691,8",-,-,"443,4","443,4",27,"1,3",-,-
120034 MANOEL URBANO,45,45,"17267,51","14206,94",-,-,"3060,57",-,-,"383,72","383,72",102,"2,3",1,"2,22"
120038 PLACIDO DE CASTRO,21,21,"3023,84","2510,46",-,-,"513,38",-,-,"143,99","143,99",56,"2,7",-,-
120040 RIO BRANCO,2747,2750,"1990638,08","1530965,51",-,-,"459672,57",-,-,"723,87","724,66",14999,"5,5",91,"3,31"
120042 RODRIGUES ALVES,34,34,"2879,02","2388,58",-,-,"490,44",-,-,"84,68","84,68",34,1,-,-
120045 SENADOR GUIOMARD,99,99,"34628,75","26938,98",-,-,"7689,77",-,-,"349,79","349,79",247,"2,5",1,"1,01"
120050 SENA MADUREIRA,224,224,"84799,64","65362,96",-,-,"19436,68",-,-,"378,57","378,57",612,"2,7",-,-
120060 TARAUACA,186,186,"79709,6","54713,01",-,-,"24996,59",-,-,"428,55","428,55",417,"2,2",-,-
120070 XAPURI,103,103,"36208,42","26615,64",-,-,"9592,78",-,-,"351,54","351,54",254,"2,5",-,-
130006 AMATURA,30,30,"19316,75","16802,14",-,-,"2514,61",-,-,"643,89","643,89",111,"3,7",-,-
130008 ANAMA,32,32,"12958,36","9213,01",-,-,"3745,35",-,-,"404,95","404,95",74,"2,3",-,-
130010 ANORI,47,47,"16538,38","12816,23",-,-,"3722,15",-,-,"351,88","351,88",150,"3,2",-,-
130014 APUI,85,85,"33517,58","24182,66",-,-,"9334,92",-,-,"394,32","394,32",232,"2,7",-,-
130030 AUTAZES,20,20,"6885,59","4728,03",-,-,"2157,56",-,-,"344,28","344,28",43,"2,1",-,-
130040 BARCELOS,75,75,"26759,61","19674,13",-,-,"7085,48",-,-,"356,79","356,79",177,"2,4",-,-
130050 BARREIRINHA,97,97,"40769,42","29497,81",-,-,"11271,61",-,-,"420,3","420,3",283,"2,9",-,-
130060 BENJAMIN CONSTANT,132,132,57811,"43699,47",-,-,"14111,53",-,-,"437,96","437,96",455,"3,4",2,"1,52"
130063 BERURI,68,68,"30086,2","18718,85",-,-,"11367,35",-,-,"442,44","442,44",182,"2,7",-,-
130068 BOA VISTA DO RAMOS,36,36,"17103,89","11865,1",-,-,"5238,79",-,-,"475,11","475,11",82,"2,3",-,-
130083 CAAPIRANGA,77,77,"30383,63","21049,18",-,-,"9334,45",-,-,"394,59","394,59",184,"2,4",-,-
130090 CANUTAMA,38,38,"15399,26","11702,68",-,-,"3696,58",-,-,"405,24","405,24",129,"3,4",-,-
130100 CARAUARI,96,96,"38705,03","26592,05",-,-,"12112,98",-,-,"403,18","403,18",232,"2,4",-,-
130110 CAREIRO,60,60,"19186,5","14189,86",-,-,"4996,64",-,-,"319,78","319,78",158,"2,6",-,-
130120 COARI,404,404,"168772,72","114514,26",-,-,"54258,46",-,-,"417,75","417,75",1259,"3,1",-,-
130130 CODAJAS,93,93,"46250,8","31283,44",-,-,"14967,36",-,-,"497,32","497,32",151,"1,6",-,-
130140 EIRUNEPE,123,123,"54571,43","37459,66",-,-,"17111,77",-,-,"443,67","443,67",335,"2,7",-,-
130150 ENVIRA,69,69,"25145,34","17486,37",-,-,"7658,97",-,-,"364,43","364,43",198,"2,9",2,"2,9"
130160 FONTE BOA,164,164,"46548,79","36187,89",-,-,"10360,9",-,-,"283,83","283,83",821,5,-,-
130165 GUAJARA,32,32,"12048,6","8751,99",-,-,"3296,61",-,-,"376,52","376,52",101,"3,2",-,-
130170 HUMAITA,140,140,"63910,72","47373,95",-,-,"16536,77",-,-,"456,51","456,51",310,"2,2",-,-
130180 IPIXUNA,84,84,"28873,05","21333,74",-,-,"7539,31",-,-,"343,73","343,73",257,"3,1",-,-
130185 IRANDUBA,118,118,"43127,82","32192,03",-,-,"10935,79",-,-,"365,49","365,49",239,2,-,-
130190 ITACOATIARA,332,332,"148218,39","103366,09",-,-,"44852,3",-,-,"446,44","446,44",927,"2,8",6,"1,81"
