Período:Ago/2009,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,190,190,"66637,59","56149,61",-,-,"10487,98",-,-,"350,72","350,72",471,"2,5",1,"0,53"
110002 ARIQUEMES,415,415,"164772,91","119825,5",-,-,"44947,41",-,-,"397,04","397,04",1371,"3,3",2,"0,48"
110003 CABIXI,32,32,"10622,32","8245,57",-,-,"2376,75",-,-,"331,95","331,95",74,"2,3",-,-
110004 CACOAL,447,447,"165999,79","130536,15",-,-,"35463,64",-,-,"371,36","371,36",1529,"3,4",15,"3,36"
110005 CEREJEIRAS,150,150,"49172,96","41912,35",-,-,"7260,61",-,-,"327,82","327,82",364,"2,4",-,-
110006 COLORADO DO OESTE,130,130,"44200,18","37471,34",-,-,"6728,84",-,-,340,340,312,"2,4",1,"0,77"
110008 COSTA MARQUES,39,39,"15869,74","13537,03",-,-,"2332,71",-,-,"406,92","406,92",110,"2,8",-,-
110009 ESPIGAO D'OESTE,155,155,"41449,23","32178,41",-,-,"9270,82",-,-,"267,41","267,41",390,"2,5",-,-
110010 GUAJARA-MIRIM,261,261,"91654,6","67825,15",-,-,"23829,45",-,-,"351,17","351,17",667,"2,6",5,"1,92"
110011 JARU,287,287,"118106,67","87528,7",-,-,"30577,97",-,-,"411,52","411,52",634,"2,2",3,"1,05"
110012 JI-PARANA,912,912,"385263,59","302830,47",-,-,"82433,12",-,-,"422,44","422,44",3165,"3,5",7,"0,77"
110013 MACHADINHO D'OESTE,117,117,"39386,73","30524,99",-,-,"8861,74",-,-,"336,64","336,64",367,"3,1",2,"1,71"
