Período:Jul/2009,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,190,190,"69028,8","57585,63",-,-,"11443,17",-,-,"363,31","363,31",501,"2,6",-,-
110002 ARIQUEMES,435,435,"180194,05","131630,93",-,-,"48563,12",-,-,"414,24","414,24",1223,"2,8",4,"0,92"
110003 CABIXI,24,24,"6910,75","5448,73",-,-,"1462,02",-,-,"287,95","287,95",56,"2,3",-,-
110004 CACOAL,438,438,"167569,7","128357,15",-,-,"39212,55",-,-,"382,58","382,58",1397,"3,2",6,"1,37"
110005 CEREJEIRAS,150,150,"50093,64","40479,77",-,-,"9613,87",-,-,"333,96","333,96",326,"2,2",-,-
110006 COLORADO DO OESTE,135,135,"44869,67","37737,96",-,-,"7131,71",-,-,"332,37","332,37",433,"3,2",-,-
110008 COSTA MARQUES,54,54,"23881,86","18587,85",-,-,"5294,01",-,-,"442,26","442,26",122,"2,3",-,-
110009 ESPIGAO D'OESTE,155,155,"46393,26","34505,87",-,-,"11887,39",-,-,"299,31","299,31",379,"2,4",2,"1,29"
110010 GUAJARA-MIRIM,285,285,"89195,75","65456,87",-,-,"23738,88",-,-,"312,97","312,97",684,"2,4",2,"0,7"
110011 JARU,258,258,"104845,83","79980,21",-,-,"24865,62",-,-,"406,38","406,38",648,"2,5",1,"0,39"
110012 JI-PARANA,912,912,"370714,81","285697,26",-,-,"85017,55",-,-,"406,49","406,49",2663,"2,9",15,"1,64"
110013 MACHADINHO D'OESTE,108,108,"36494,27","26977,94",-,-,"9516,33",-,-,"337,91","337,91",327,3,-,-
110014 NOVA BRASILANDIA D'OESTE,139,139,"49167,71","39413,69",-,-,"9754,02",-,-,"353,72","353,72",328,"2,4",-,-
110015 OURO PRETO DO OESTE,231,231,"89296,84","69396,42",-,-,"19900,42",-,-,"386,57","386,57",3003,13,1,"0,43"
110018 PIMENTA BUENO,235,235,"78763,15","65010,21",-,-,"13752,94",-,-,"335,16","335,16",657,"2,8",-,-
110020 PORTO VELHO,2029,2029,"1600524,26","1222866,06",-,-,"377658,2",-,-,"788,82","788,82",12700,"6,3",75,"3,7"
110025 PRESIDENTE MEDICI,61,61,"17443,21","14893,3",-,-,"2549,91",-,-,"285,95","285,95",152,"2,5",-,-
110028 ROLIM DE MOURA,385,385,"155606,07","127407,83",-,-,"28198,24",-,-,"404,17","404,17",976,"2,5",8,"2,08"
110029 SANTA LUZIA D'OESTE,64,64,"23879,36","20840,33",-,-,"3039,03",-,-,"373,12","373,12",228,"3,6",-,-
