Período:Mar/2009,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,190,190,"66791,64","55425,57",-,-,"11366,07",-,-,"351,53","351,53",480,"2,5",1,"0,53"
110002 ARIQUEMES,595,595,"233168,1","173954,08",-,-,"59214,02",-,-,"391,88","391,88",1596,"2,7",7,"1,18"
110003 CABIXI,31,31,"9551,71","7071,51",-,-,"2480,2",-,-,"308,12","308,12",59,"1,9",-,-
110004 CACOAL,528,528,"207307,7","163994,29",-,-,"43313,41",-,-,"392,63","392,63",1901,"3,6",7,"1,33"
110005 CEREJEIRAS,150,150,"57978,25","47470,62",-,-,"10507,63",-,-,"386,52","386,52",450,3,-,-
110006 COLORADO DO OESTE,165,165,"58976,67","49510,17",-,-,"9466,5",-,-,"357,43","357,43",418,"2,5",3,"1,82"
110008 COSTA MARQUES,55,55,"24828,31","18604,23",-,-,"6224,08",-,-,"451,42","451,42",133,"2,4",-,-
110009 ESPIGAO D'OESTE,155,155,"54197,92","43917,18",-,-,"10280,74",-,-,"349,66","349,66",476,"3,1",2,"1,29"
110011 JARU,236,236,"97429,38","70999,36",-,-,"26430,02",-,-,"412,84","412,84",562,"2,4",2,"0,85"
110012 JI-PARANA,918,918,"378309,03","299607,88",-,-,"78701,15",-,-,"412,1","412,1",2932,"3,2",13,"1,42"
110013 MACHADINHO D'OESTE,143,143,"53808,53","41741,12",-,-,"12067,41",-,-,"376,28","376,28",467,"3,3",2,"1,4"
110014 NOVA BRASILANDIA D'OESTE,146,146,"55458,7","45201,04",-,-,"10257,66",-,-,"379,85","379,85",338,"2,3",-,-
110015 OURO PRETO DO OESTE,240,240,"83965,32","70201,26",-,-,"13764,06",-,-,"349,86","349,86",535,"2,2",3,"1,25"
110018 PIMENTA BUENO,235,235,"76554,95","63267,67",-,-,"13287,28",-,-,"325,77","325,77",720,"3,1",4,"1,7"
110020 PORTO VELHO,1687,1687,"1366920,16","1061476,58",-,-,"305443,58",-,-,"810,27","810,27",11301,"6,7",53,"3,14"
110025 PRESIDENTE MEDICI,125,125,"47297,39","40014,11",-,-,"7283,28",-,-,"378,38","378,38",431,"3,4",2,"1,6"
110028 ROLIM DE MOURA,497,497,"205179,98","169767,56",-,-,"35412,42",-,-,"412,84","412,84",1064,"2,1",5,"1,01"
110029 SANTA LUZIA D'OESTE,66,66,"26739,03","22785,27",-,-,"3953,76",-,-,"405,14","405,14",282,"4,3",-,-
110030 VILHENA,535,535,"219060,36","157586,68",-,-,"61473,68",-,-,"409,46","409,46",1717,"3,2",6,"1,12"
110033 NOVA MAMORE,69,69,"21407,9","17400,26",-,-,"4007,64",-,-,"310,26","310,26",212,"3,1",-,-
110034 ALVORADA D'OESTE,123,123,"41759,59","34084,83",-,-,"7674,76",-,-,"339,51","339,51",289,"2,3",-,-
110037 ALTO ALEGRE DOS PARECIS,74,74,"3324,13","2506,43",-,-,"817,7",-,-,"44,92","44,92",100,"1,4",-,-
110040 ALTO PARAISO,37,37,"12345,42","10471,35",-,-,"1874,07",-,-,"333,66","333,66",50,"1,4",-,-
110050 NOVO HORIZONTE DO OESTE,45,45,"14360,57","12271,84",-,-,"2088,73",-,-,"319,12","319,12",63,"1,4",-,-
110060 CACAULANDIA,27,27,"7718,87","6642,93",-,-,"1075,94",-,-,"285,88","285,88",64,"2,4",-,-
110070 CAMPO NOVO DE RONDONIA,70,70,"24004,66","20815,99",-,-,"3188,67",-,-,"342,92","342,92",152,"2,2",-,-
110120 MINISTRO ANDREAZZA,41,41,"15704,29","13621,24",-,-,"2083,05",-,-,"383,03","383,03",92,"2,2",-,-
110130 MIRANTE DA SERRA,104,104,"33259,87","27388,07",-,-,"5871,8",-,-,"319,81","319,81",215,"2,1",-,-
110140 MONTE NEGRO,259,259,"97892,74","83445,01",-,-,"14447,73",-,-,"377,96","377,96",557,"2,2",-,-
110143 NOVA UNIAO,40,40,"14409,07","12477,4",-,-,"1931,67",-,-,"360,23","360,23",83,"2,1",-,-
110149 SAO FRANCISCO DO GUAPORE,71,71,"18459,09","15831,86",-,-,"2627,23",-,-,"259,99","259,99",140,2,-,-
110150 SERINGUEIRAS,91,91,"28383,66","22043,23",-,-,"6340,43",-,-,"311,91","311,91",251,"2,8",-,-
110160 THEOBROMA,42,42,"13660,17","12031,38",-,-,"1628,79",-,-,"325,24","325,24",86,2,-,-
110175 VALE DO ANARI,21,21,"5583,6","4747,58",-,-,"836,02",-,-,"265,89","265,89",27,"1,3",-,-
110180 VALE DO PARAISO,24,24,"9147,92","8198,28",-,-,"949,64",-,-,"381,16","381,16",32,"1,3",-,-
120010 BRASILEIA,185,185,"51516,66","35896,7",-,-,"15619,96",-,-,"278,47","278,47",447,"2,4",2,"1,08"
120020 CRUZEIRO DO SUL,911,911,"377434,46","291186,74",-,-,"86247,72",-,-,"414,31","414,31",3440,"3,8",10,"1,1"
120033 MANCIO LIMA,9,9,"4006,6","2424,4",-,-,"1582,2",-,-,"445,18","445,18",12,"1,3",-,-
120034 MANOEL URBANO,39,39,"13845,34","11216,2",-,-,"2629,14",-,-,"355,01","355,01",88,"2,3",1,"2,56"
120038 PLACIDO DE CASTRO,25,25,"6656,98","5750,88",-,-,"906,1",-,-,"266,28","266,28",100,4,-,-
120040 RIO BRANCO,2472,2472,"1495483,84","1112717,54",-,-,"382766,3",-,-,"604,97","604,97",11550,"4,7",80,"3,24"
120042 RODRIGUES ALVES,28,28,"3879,5","3301,64",-,-,"577,86",-,-,"138,55","138,55",58,"2,1",-,-
120045 SENADOR GUIOMARD,68,68,"23667,25","20201,31",-,-,"3465,94",-,-,"348,05","348,05",186,"2,7",-,-
120050 SENA MADUREIRA,292,292,"103227,42","80906,98",-,-,"22320,44",-,-,"353,52","353,52",1029,"3,5",-,-
120060 TARAUACA,64,64,"26779,31","21342,38",-,-,"5436,93",-,-,"418,43","418,43",241,"3,8",-,-
120070 XAPURI,69,69,"16176,56","14095,11",-,-,"2081,45",-,-,"234,44","234,44",194,"2,8",-,-
130002 ALVARAES,14,14,"5568,86","3922,51",-,-,"1646,35",-,-,"397,78","397,78",35,"2,5",-,-
130006 AMATURA,33,33,"21489,72","18955,72",-,-,2534,-,-,"651,2","651,2",125,"3,8",-,-
130008 ANAMA,31,31,"13147,88","10193,93",-,-,"2953,95",-,-,"424,13","424,13",85,"2,7",-,-
130010 ANORI,45,45,"15928,49","12244,18",-,-,"3684,31",-,-,"353,97","353,97",141,"3,1",-,-
130014 APUI,83,83,"34928,21","26048,76",-,-,"8879,45",-,-,"420,82","420,82",311,"3,7",-,-
130030 AUTAZES,180,180,"79770,03","55105,23",-,-,"24664,8",-,-,"443,17","443,17",438,"2,4",-,-
130040 BARCELOS,125,125,"50023,48","39302,05",-,-,"10721,43",-,-,"400,19","400,19",359,"2,9",1,"0,8"
130050 BARREIRINHA,95,95,"36534,08","28051,47",-,-,"8482,61",-,-,"384,57","384,57",314,"3,3",-,-
130060 BENJAMIN CONSTANT,129,129,"57263,47","42416,62",-,-,"14846,85",-,-,"443,9","443,9",384,3,-,-
130063 BERURI,1,1,"186,06","159,84",-,-,"26,22",-,-,"186,06","186,06",3,3,-,-
130068 BOA VISTA DO RAMOS,89,89,"41091,12","28758,13",-,-,"12332,99",-,-,"461,7","461,7",191,"2,1",-,-
130080 BORBA,130,130,"54418,26","43051,61",-,-,"11366,65",-,-,"418,6","418,6",455,"3,5",1,"0,77"
130083 CAAPIRANGA,23,23,"6006,16","5004,76",-,-,"1001,4",-,-,"261,14","261,14",77,"3,3",-,-
130090 CANUTAMA,31,31,"13155,24","9665,54",-,-,"3489,7",-,-,"424,36","424,36",110,"3,5",-,-
130100 CARAUARI,61,61,"23968,13","16255,16",-,-,"7712,97",-,-,"392,92","392,92",133,"2,2",-,-
