Período:Nov/2009,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,190,190,"71260,18","57019,8",-,-,"14240,38",-,-,"375,05","375,05",479,"2,5",-,-
110002 ARIQUEMES,471,471,"179831,39","134439,76",-,-,"45391,63",-,-,"381,81","381,81",1250,"2,7",11,"2,34"
110003 CABIXI,14,14,"3484,47","2965,58",-,-,"518,89",-,-,"248,89","248,89",32,"2,3",1,"7,14"
110004 CACOAL,470,470,"178635,54","137891,25",-,-,"40744,29",-,-,"380,08","380,08",1460,"3,1",19,"4,04"
110005 CEREJEIRAS,139,139,"48757,59","40182,75",-,-,"8574,84",-,-,"350,77","350,77",363,"2,6",-,-
110006 COLORADO DO OESTE,109,109,"33295,81","27743,43",-,-,"5552,38",-,-,"305,47","305,47",341,"3,1",1,"0,92"
110007 CORUMBIARA,45,45,"12877,96","11332,93",-,-,"1545,03",-,-,"286,18","286,18",105,"2,3",-,-
110008 COSTA MARQUES,59,59,"29800,29","23607,55",-,-,"6192,74",-,-,"505,09","505,09",147,"2,5",-,-
110009 ESPIGAO D'OESTE,155,155,"25736,07","20910,11",-,-,"4825,96",-,-,"166,04","166,04",270,"1,7",1,"0,65"
110010 GUAJARA-MIRIM,280,280,"105766,49","79380,39",-,-,"26386,1",-,-,"377,74","377,74",719,"2,6",3,"1,07"
110011 JARU,183,183,"65629,96","52068,78",-,-,"13561,18",-,-,"358,63","358,63",452,"2,5",1,"0,55"
110012 JI-PARANA,806,806,"306447,53","240120,15",-,-,"66327,38",-,-,"380,21","380,21",2651,"3,3",1,"0,12"
110013 MACHADINHO D'OESTE,98,98,"38828,07","27758,31",-,-,"11069,76",-,-,"396,2","396,2",304,"3,1",-,-
110014 NOVA BRASILANDIA D'OESTE,139,139,"49289,41","40209,8",-,-,"9079,61",-,-,"354,6","354,6",334,"2,4",-,-
110015 OURO PRETO DO OESTE,300,300,"113594,89","88119,18",-,-,"25475,71",-,-,"378,65","378,65",620,"2,1",-,-
110018 PIMENTA BUENO,235,235,"70866,28","57678,73",-,-,"13187,55",-,-,"301,56","301,56",680,"2,9",3,"1,28"
110020 PORTO VELHO,2453,2453,"1774324,43","1355475,84",-,-,"418848,59",-,-,"723,33","723,33",16803,"6,8",79,"3,22"
110025 PRESIDENTE MEDICI,91,91,"26976,99","22512,21",-,-,"4464,78",-,-,"296,45","296,45",278,"3,1",1,"1,1"
110028 ROLIM DE MOURA,511,511,"195862,89","158493,75",-,-,"37369,14",-,-,"383,29","383,29",1170,"2,3",5,"0,98"
110029 SANTA LUZIA D'OESTE,75,75,"26695,79","22937,47",-,-,"3758,32",-,-,"355,94","355,94",283,"3,8",-,-
110030 VILHENA,520,520,"205448,14","162138,62",-,-,"43309,52",-,-,"395,09","395,09",1991,"3,8",22,"4,23"
110032 SAO MIGUEL DO GUAPORE,125,125,"42417,75","35441,97",-,-,"6975,78",-,-,"339,34","339,34",307,"2,5",-,-
110033 NOVA MAMORE,78,78,"29170,27","21756,78",-,-,"7413,49",-,-,"373,98","373,98",218,"2,8",-,-
110034 ALVORADA D'OESTE,125,125,"35603,07","28897,52",-,-,"6705,55",-,-,"284,82","284,82",321,"2,6",-,-
110040 ALTO PARAISO,30,30,"8253,6","7076,14",-,-,"1177,46",-,-,"275,12","275,12",51,"1,7",-,-
110060 CACAULANDIA,27,27,"10536,48","9281,32",-,-,"1255,16",-,-,"390,24","390,24",80,3,-,-
110100 GOVERNADOR JORGE TEIXEIRA,183,183,"53703,83","45644,35",-,-,"8059,48",-,-,"293,46","293,46",481,"2,6",-,-
110120 MINISTRO ANDREAZZA,41,41,"13575,48","11631,01",-,-,"1944,47",-,-,"331,11","331,11",90,"2,2",-,-
110130 MIRANTE DA SERRA,104,104,"36243,99","31049,05",-,-,"5194,94",-,-,"348,5","348,5",227,"2,2",-,-
110140 MONTE NEGRO,259,259,"88904,01","73021,82",-,-,"15882,19",-,-,"343,26","343,26",545,"2,1",-,-
110143 NOVA UNIAO,40,40,"11725,06","9574,47",-,-,"2150,59",-,-,"293,13","293,13",84,"2,1",-,-
110150 SERINGUEIRAS,74,74,"27117,35","20049,31",-,-,"7068,04",-,-,"366,45","366,45",196,"2,6",-,-
110175 VALE DO ANARI,37,37,"10114,06","8456,08",-,-,"1657,98",-,-,"273,35","273,35",79,"2,1",-,-
110180 VALE DO PARAISO,31,31,"9045,59","7851,12",-,-,"1194,47",-,-,"291,79","291,79",37,"1,2",-,-
120005 ASSIS BRASIL,49,49,"14704,64","11114,56",-,-,"3590,08",-,-,"300,09","300,09",81,"1,7",1,"2,04"
120010 BRASILEIA,80,80,"24925,66","18442,77",-,-,"6482,89",-,-,"311,57","311,57",210,"2,6",1,"1,25"
120020 CRUZEIRO DO SUL,901,901,"363797,4","278903,9",-,-,"84893,5",-,-,"403,77","403,77",2974,"3,3",12,"1,33"
120030 FEIJO,32,32,"9104,19","6680,05",-,-,"2424,14",-,-,"284,51","284,51",59,"1,8",-,-
120033 MANCIO LIMA,50,50,"18882,68","13738,48",-,-,"5144,2",-,-,"377,65","377,65",119,"2,4",-,-
120034 MANOEL URBANO,97,97,"18503,37","14854,12",-,-,"3649,25",-,-,"190,76","190,76",162,"1,7",-,-
120038 PLACIDO DE CASTRO,75,75,"23599,44","19617,3",-,-,"3982,14",-,-,"314,66","314,66",256,"3,4",-,-
120040 RIO BRANCO,2064,2064,"1488802,07","1136274,38",-,-,"352527,69",-,-,"721,32","721,32",10251,5,83,"4,02"
120042 RODRIGUES ALVES,55,55,"3492,56","2820,64",-,-,"671,92",-,-,"63,5","63,5",56,1,-,-
120043 SANTA ROSA DO PURUS,25,25,"8778,87","7707,92",-,-,"1070,95",-,-,"351,15","351,15",67,"2,7",1,4
120045 SENADOR GUIOMARD,63,63,"20726,59","16569,56",-,-,"4157,03",-,-,"328,99","328,99",152,"2,4",-,-
120050 SENA MADUREIRA,206,206,"78170,19","61680,41",-,-,"16489,78",-,-,"379,47","379,47",601,"2,9",-,-
