Período:Set/2009,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,190,190,"75548,53","62764,57",-,-,"12783,96",-,-,"397,62","397,62",467,"2,5",-,-
110002 ARIQUEMES,451,451,"176055,45","124490,17",-,-,"51565,28",-,-,"390,37","390,37",999,"2,2",5,"1,11"
110003 CABIXI,20,20,"4599,07","3809,76",-,-,"789,31",-,-,"229,95","229,95",74,"3,7",-,-
110004 CACOAL,457,457,"171420,8","134592,29",-,-,"36828,51",-,-,"375,1","375,1",1484,"3,2",14,"3,06"
110005 CEREJEIRAS,150,150,"47468,3","39695,88",-,-,"7772,42",-,-,"316,46","316,46",572,"3,8",-,-
110006 COLORADO DO OESTE,109,109,"35155,71","29717,07",-,-,"5438,64",-,-,"322,53","322,53",362,"3,3",1,"0,92"
110008 COSTA MARQUES,56,56,"25812,18","19344,65",-,-,"6467,53",-,-,"460,93","460,93",163,"2,9",-,-
110009 ESPIGAO D'OESTE,155,155,"45054,03","35780,59",-,-,"9273,44",-,-,"290,67","290,67",559,"3,6",1,"0,65"
110010 GUAJARA-MIRIM,238,238,"79483,17","59864,04",-,-,"19619,13",-,-,"333,96","333,96",581,"2,4",3,"1,26"
110011 JARU,237,237,"95455,9","68397,1",-,-,"27058,8",-,-,"402,77","402,77",514,"2,2",3,"1,27"
110012 JI-PARANA,910,910,"364206,23","284232,26",-,-,"79973,97",-,-,"400,23","400,23",2784,"3,1",5,"0,55"
110013 MACHADINHO D'OESTE,102,102,"38460,92","28207,54",-,-,"10253,38",-,-,"377,07","377,07",554,"5,4",2,"1,96"
110014 NOVA BRASILANDIA D'OESTE,148,148,"47944,63","37941,76",-,-,"10002,87",-,-,"323,95","323,95",414,"2,8",1,"0,68"
110015 OURO PRETO DO OESTE,231,231,"84011,12","66849,03",-,-,"17162,09",-,-,"363,68","363,68",529,"2,3",3,"1,3"
110018 PIMENTA BUENO,235,235,"75842,79","61574,68",-,-,"14268,11",-,-,"322,74","322,74",701,3,2,"0,85"
110020 PORTO VELHO,1920,1920,"1440273,29","1104812,72",-,-,"335460,57",-,-,"750,14","750,14",12741,"6,6",49,"2,55"
110025 PRESIDENTE MEDICI,103,103,"36743,64","31313,56",-,-,"5430,08",-,-,"356,73","356,73",329,"3,2",5,"4,85"
110028 ROLIM DE MOURA,407,407,"156718,39","127465,69",-,-,"29252,7",-,-,"385,06","385,06",948,"2,3",10,"2,46"
110029 SANTA LUZIA D'OESTE,62,62,"23712,01","20802,45",-,-,"2909,56",-,-,"382,45","382,45",239,"3,9",-,-
110030 VILHENA,520,520,"206225,96","157237,6",-,-,"48988,36",-,-,"396,59","396,59",1833,"3,5",8,"1,54"
110032 SAO MIGUEL DO GUAPORE,104,104,"38139,55","31964,17",-,-,"6175,38",-,-,"366,73","366,73",239,"2,3",-,-
110033 NOVA MAMORE,74,74,"26628,04","20202,44",-,-,"6425,6",-,-,"359,84","359,84",221,3,-,-
110034 ALVORADA D'OESTE,63,63,"20832,6","16498,28",-,-,"4334,32",-,-,"330,68","330,68",240,"3,8",-,-
110037 ALTO ALEGRE DOS PARECIS,75,75,"3398,85","2562,87",-,-,"835,98",-,-,"45,32","45,32",73,1,-,-
110040 ALTO PARAISO,26,26,"7983,55","6864,36",-,-,"1119,19",-,-,"307,06","307,06",53,2,-,-
110060 CACAULANDIA,27,27,"7695,23","6719,12",-,-,"976,11",-,-,"285,01","285,01",73,"2,7",-,-
110070 CAMPO NOVO DE RONDONIA,49,49,"18979,43","16511,66",-,-,"2467,77",-,-,"387,34","387,34",105,"2,1",-,-
110100 GOVERNADOR JORGE TEIXEIRA,55,55,"16811,74","14580,19",-,-,"2231,55",-,-,"305,67","305,67",138,"2,5",-,-
110120 MINISTRO ANDREAZZA,41,41,"15951,79","13731,09",-,-,"2220,7",-,-,"389,07","389,07",101,"2,5",-,-
110130 MIRANTE DA SERRA,103,103,"42561,81","36233,69",-,-,"6328,12",-,-,"413,22","413,22",232,"2,3",-,-
110140 MONTE NEGRO,259,259,"88912,2","73811,54",-,-,"15100,66",-,-,"343,29","343,29",524,2,-,-
110143 NOVA UNIAO,38,38,"13065,03","11314,29",-,-,"1750,74",-,-,"343,82","343,82",89,"2,3",-,-
110149 SAO FRANCISCO DO GUAPORE,91,91,"29687,06","24949,25",-,-,"4737,81",-,-,"326,23","326,23",350,"3,8",-,-
110150 SERINGUEIRAS,89,89,"30725,1","23557,56",-,-,"7167,54",-,-,"345,23","345,23",250,"2,8",-,-
110175 VALE DO ANARI,14,14,"3732,33","3255,63",-,-,"476,7",-,-,"266,59","266,59",33,"2,4",-,-
110180 VALE DO PARAISO,33,33,9711,"8675,25",-,-,"1035,75",-,-,"294,27","294,27",35,"1,1",-,-
130002 ALVARAES,94,94,"38132,55","26738,76",-,-,"11393,79",-,-,"405,67","405,67",218,"2,3",-,-
130006 AMATURA,25,25,"18036,79","15438,37",-,-,"2598,42",-,-,"721,47","721,47",100,4,-,-
130008 ANAMA,30,30,"9930,55","7867,78",-,-,"2062,77",-,-,"331,02","331,02",71,"2,4",-,-
130010 ANORI,51,51,"16560,23","12684,41",-,-,"3875,82",-,-,"324,71","324,71",164,"3,2",-,-
130014 APUI,84,84,"29730,14","22369,33",-,-,"7360,81",-,-,"353,93","353,93",330,"3,9",-,-
130030 AUTAZES,28,28,"11339,34","9905,11",-,-,"1434,23",-,-,"404,98","404,98",84,3,-,-
130040 BARCELOS,62,62,"20719,95","16186,83",-,-,"4533,12",-,-,"334,19","334,19",195,"3,1",-,-
130060 BENJAMIN CONSTANT,111,111,"49515,63","34952,36",-,-,"14563,27",-,-,"446,09","446,09",290,"2,6",-,-
130063 BERURI,42,42,"17758,82","10954,28",-,-,"6804,54",-,-,"422,83","422,83",120,"2,9",-,-
130068 BOA VISTA DO RAMOS,88,88,"37408,28","27304,84",-,-,"10103,44",-,-,"425,09","425,09",222,"2,5",-,-
130080 BORBA,81,81,"36756,79","27482,13",-,-,"9274,66",-,-,"453,79","453,79",271,"3,3",1,"1,23"
130083 CAAPIRANGA,26,26,"8218,34","6694,1",-,-,"1524,24",-,-,"316,09","316,09",79,3,-,-
130090 CANUTAMA,40,40,"14802,9","11652,77",-,-,"3150,13",-,-,"370,07","370,07",161,4,1,"2,5"
130100 CARAUARI,115,115,"40410,25","29455,09",-,-,"10955,16",-,-,"351,39","351,39",424,"3,7",-,-
130110 CAREIRO,31,31,"11652,15","9776,21",-,-,"1875,94",-,-,"375,88","375,88",104,"3,4",-,-
130120 COARI,201,201,"96627,05","59616,33",-,-,"37010,72",-,-,"480,73","480,73",456,"2,3",-,-
130130 CODAJAS,93,93,"40150,39","26821,25",-,-,"13329,14",-,-,"431,72","431,72",133,"1,4",-,-
130140 EIRUNEPE,104,104,"45944,52","33861,31",-,-,"12083,21",-,-,"441,77","441,77",314,3,1,"0,96"
130150 ENVIRA,35,35,"15953,93","12220,73",-,-,"3733,2",-,-,"455,83","455,83",125,"3,6",-,-
130160 FONTE BOA,172,172,"55685,01","41240,2",-,-,"14444,81",-,-,"323,75","323,75",950,"5,5",-,-
130165 GUAJARA,40,40,"12601,64","10098,25",-,-,"2503,39",-,-,"315,04","315,04",120,3,-,-
130170 HUMAITA,140,140,"61391,21","43087,66",-,-,"18303,55",-,-,"438,51","438,51",343,"2,5",-,-
130180 IPIXUNA,61,61,"40543,83","35442,47",-,-,"5101,36",-,-,"664,65","664,65",244,4,-,-
130185 IRANDUBA,124,124,"52109,43","38175,49",-,-,"13933,94",-,-,"420,24","420,24",288,"2,3",-,-
130190 ITACOATIARA,368,368,"174253,37","122402,4",-,-,"51850,97",-,-,"473,51","473,51",1030,"2,8",3,"0,82"
130195 ITAMARATI,95,95,36526,"26502,54",-,-,"10023,46",-,-,"384,48","384,48",223,"2,3",-,-
130200 ITAPIRANGA,36,36,"15768,73","12167,71",-,-,"3601,02",-,-,"438,02","438,02",97,"2,7",-,-
130220 JURUA,24,24,"9827,04","7370,01",-,-,"2457,03",-,-,"409,46","409,46",55,"2,3",-,-
130230 JUTAI,64,64,"28078,2","19929,55",-,-,"8148,65",-,-,"438,72","438,72",163,"2,5",-,-
130240 LABREA,76,76,"27223,66","20036,63",-,-,"7187,03",-,-,"358,21","358,21",241,"3,2",-,-
130250 MANACAPURU,340,340,"151377,88","100816,94",-,-,"50560,94",-,-,"445,23","445,23",838,"2,5",1,"0,29"
130255 MANAQUIRI,40,40,"11324,26","9485,22",-,-,"1839,04",-,-,"283,11","283,11",147,"3,7",-,-
130260 MANAUS,8529,8575,"7444333,03","5852112,73",-,-,"1592220,3",-,-,"868,14","872,83",49622,"5,8",294,"3,45"
130270 MANICORE,184,184,"110184,43","94537,06",-,-,"15647,37",-,-,"598,83","598,83",530,"2,9",-,-
130280 MARAA,86,86,"33245,4","25362,38",-,-,"7883,02",-,-,"386,57","386,57",346,4,-,-
130290 MAUES,172,172,"72553,41","51961,87",-,-,"20591,54",-,-,"421,82","421,82",602,"3,5",2,"1,16"
130300 NHAMUNDA,15,15,"3881,48","3375,65",-,-,"505,83",-,-,"258,77","258,77",47,"3,1",-,-
130310 NOVA OLINDA DO NORTE,120,120,"54352,37","38936,42",-,-,"15415,95",-,-,"452,94","452,94",353,"2,9",-,-
130320 NOVO AIRAO,29,29,"12799,48","7858,17",-,-,"4941,31",-,-,"441,36","441,36",87,3,-,-
130340 PARINTINS,501,501,"214408,94","151521,07",-,-,"62887,87",-,-,"427,96","427,96",1721,"3,4",2,"0,4"
130350 PAUINI,161,161,"56462,8","40853,01",-,-,"15609,79",-,-,"350,7","350,7",494,"3,1",-,-
130353 PRESIDENTE FIGUEIREDO,108,108,"47104,11","33298,89",-,-,"13805,22",-,-,"436,15","436,15",383,"3,5",-,-
130356 RIO PRETO DA EVA,15,15,"4941,55","3746,99",-,-,"1194,56",-,-,"329,44","329,44",67,"4,5",-,-
130360 SANTA ISABEL DO RIO NEGRO,57,57,"20540,3","15542,18",-,-,"4998,12",-,-,"360,36","360,36",160,"2,8",-,-
130370 SANTO ANTONIO DO ICA,54,54,"29892,43","23724,39",-,-,"6168,04",-,-,"553,56","553,56",210,"3,9",-,-
130380 SAO GABRIEL DA CACHOEIRA,93,93,"45052,99","32937,84",-,-,"12115,15",-,-,"484,44","484,44",341,"3,7",2,"2,15"
130390 SAO PAULO DE OLIVENCA,101,101,"34239,78","26154,25",-,-,"8085,53",-,-,"339,01","339,01",272,"2,7",-,-
130395 SAO SEBASTIAO DO UATUMA,24,24,"10888,65","9040,69",-,-,"1847,96",-,-,"453,69","453,69",67,"2,8",-,-
130406 TABATINGA,141,141,"57569,48","38652,27",-,-,"18917,21",-,-,"408,29","408,29",577,"4,1",8,"5,67"
130410 TAPAUA,73,73,"32928,47","25310,37",-,-,"7618,1",-,-,"451,07","451,07",201,"2,8",-,-
130420 TEFE,318,318,"125078,49","90971,41",-,-,"34107,08",-,-,"393,33","393,33",1079,"3,4",-,-
130423 TONANTINS,55,55,"20653,66","14067,76",-,-,"6585,9",-,-,"375,52","375,52",289,"5,3",-,-
130426 UARINI,4,4,"1762,47","1645,84",-,-,"116,63",-,-,"440,62","440,62",9,"2,3",-,-
130430 URUCARA,60,60,"24151,48","18676,47",-,-,"5475,01",-,-,"402,52","402,52",192,"3,2",-,-
130440 URUCURITUBA,96,96,"37250,1","28605,83",-,-,"8644,27",-,-,"388,02","388,02",265,"2,8",-,-
140005 ALTO ALEGRE,29,29,"16636,46","14909,53",-,-,"1726,93",-,-,"573,67","573,67",46,"1,6",-,-
140010 BOA VISTA,2601,2601,"1548058,33","1121346,16",-,-,"426712,17",-,-,"595,18","595,18",12038,"4,6",48,"1,85"
140015 BONFIM,34,34,"12793,67","10241,31",-,-,"2552,36",-,-,"376,28","376,28",67,2,-,-
140020 CARACARAI,31,31,"10476,52","7856,17",-,-,"2620,35",-,-,"337,95","337,95",81,"2,6",-,-
140023 CAROEBE,77,77,"20351,91","17303,31",-,-,"3048,6",-,-,"264,31","264,31",197,"2,6",-,-
140030 MUCAJAI,22,22,"5627,97","4737,59",-,-,"890,38",-,-,"255,82","255,82",95,"4,3",-,-
140040 NORMANDIA,58,58,"21617,94","18023,94",-,-,3594,-,-,"372,72","372,72",226,"3,9",-,-
140045 PACARAIMA,73,73,"26389,74","21760,24",-,-,"4629,5",-,-,"361,5","361,5",272,"3,7",-,-
140047 RORAINOPOLIS,45,45,"17622,25","13334,81",-,-,"4287,44",-,-,"391,61","391,61",111,"2,5",-,-
140050 SAO JOAO DA BALIZA,65,65,"16602,02","13639,96",-,-,"2962,06",-,-,"255,42","255,42",308,"4,7",-,-
140060 SAO LUIZ,14,14,"5434,44","4554,56",-,-,"879,88",-,-,"388,17","388,17",37,"2,6",-,-
150010 ABAETETUBA,943,943,"402334,12","299078,73",-,-,"103255,39",-,-,"426,65","426,65",2834,3,6,"0,64"
150013 ABEL FIGUEIREDO,36,36,"12350,9","10522,71",-,-,"1828,19",-,-,"343,08","343,08",109,3,-,-
150020 ACARA,147,147,"56156,82","43639,91",-,-,"12516,91",-,-,"382,02","382,02",355,"2,4",-,-
150030 AFUA,85,85,"29786,35","24366,02",-,-,"5420,33",-,-,"350,43","350,43",215,"2,5",-,-
150034 AGUA AZUL DO NORTE,169,169,"63491,3","53936,21",-,-,"9555,09",-,-,"375,69","375,69",383,"2,3",-,-
150040 ALENQUER,269,269,"107386,24",86535,-,-,"20851,24",-,-,"399,21","399,21",942,"3,5",6,"2,23"
150050 ALMEIRIM,417,417,"150172,46","118140,63",-,-,"32031,83",-,-,"360,13","360,13",1126,"2,7",2,"0,48"
150060 ALTAMIRA,1228,1228,"850794,1","692218,13",-,-,"158575,97",-,-,"692,83","692,83",5221,"4,3",34,"2,77"
150070 ANAJAS,103,103,"34078,71","26250,28",-,-,"7828,43",-,-,"330,86","330,86",222,"2,2",-,-
150080 ANANINDEUA,3102,3102,"2048863,67","1629805,16",-,-,"419058,51",-,-,"660,5","660,5",13323,"4,3",51,"1,64"
150085 ANAPU,112,112,"44029,72","34113,64",-,-,"9916,08",-,-,"393,12","393,12",280,"2,5",-,-
150090 AUGUSTO CORREA,218,218,"89022,83","75199,92",-,-,"13822,91",-,-,"408,36","408,36",647,3,1,"0,46"
150095 AURORA DO PARA,122,122,"55015,93","42454,3",-,-,"12561,63",-,-,"450,95","450,95",283,"2,3",-,-
150120 BAIAO,131,131,"56642,95","43446,72",-,-,"13196,23",-,-,"432,39","432,39",408,"3,1",1,"0,76"
150130 BARCARENA,376,376,"165573,12","121275,2",-,-,"44297,92",-,-,"440,35","440,35",1092,"2,9",-,-
150140 BELEM,10543,10543,10256399,"8166259,62",-,-,"2090139,38",-,-,"972,82","972,82",57970,"5,5",425,"4,03"
150145 BELTERRA,55,55,"15712,43","13013,25",-,-,"2699,18",-,-,"285,68","285,68",164,3,-,-
150150 BENEVIDES,121,166,"100631,07","87879,52",-,-,"12751,55",-,-,"606,21","831,66",1772,"14,6",1,"0,83"
150157 BOM JESUS DO TOCANTINS,102,102,"41282,79","34870,79",-,-,6412,-,-,"404,73","404,73",294,"2,9",-,-
150170 BRAGANCA,1391,1391,"764089,09","591304,19",-,-,"172784,9",-,-,"549,31","549,31",4354,"3,1",19,"1,37"
150172 BRASIL NOVO,237,237,"112337,42","93551,26",-,-,"18786,16",-,-,474,474,750,"3,2",-,-
150175 BREJO GRANDE DO ARAGUAIA,64,64,"17567,2","14582,6",-,-,"2984,6",-,-,"274,49","274,49",189,3,-,-
150178 BREU BRANCO,152,152,"63669,32","47545,3",-,-,"16124,02",-,-,"418,88","418,88",360,"2,4",-,-
150180 BREVES,449,449,"206553,43","145835,45",-,-,"60717,98",-,-,"460,03","460,03",1341,3,12,"2,67"
150190 BUJARU,178,178,"78196,91","64249,93",-,-,"13946,98",-,-,"439,31","439,31",678,"3,8",-,-
150200 CACHOEIRA DO ARARI,93,93,"41331,05","34469,69",-,-,"6861,36",-,-,"444,42","444,42",217,"2,3",-,-
150210 CAMETA,646,646,"268093,71","192870,05",-,-,"75223,66",-,-,"415,01","415,01",1830,"2,8",6,"0,93"
150215 CANAA DOS CARAJAS,106,106,"43524,75","35634,65",-,-,"7890,1",-,-,"410,61","410,61",324,"3,1",-,-
150220 CAPANEMA,824,824,"383868,44","299034,66",-,-,"84833,78",-,-,"465,86","465,86",2361,"2,9",5,"0,61"
150230 CAPITAO POCO,501,501,"188999,12","151194,93",-,-,"37804,19",-,-,"377,24","377,24",1451,"2,9",-,-
150240 CASTANHAL,1357,1357,"786314,16","578214,15",-,-,"208100,01",-,-,"579,45","579,45",4816,"3,5",26,"1,92"
150270 CONCEICAO DO ARAGUAIA,384,384,"172699,47","134521,02",-,-,"38178,45",-,-,"449,74","449,74",1268,"3,3",-,-
150275 CONCORDIA DO PARA,103,103,"37927,28","26551,24",-,-,"11376,04",-,-,"368,23","368,23",266,"2,6",-,-
150276 CUMARU DO NORTE,49,49,"16156,24","12743,09",-,-,"3413,15",-,-,"329,72","329,72",196,4,-,-
150277 CURIONOPOLIS,137,137,"50108,97","43448,09",-,-,"6660,88",-,-,"365,76","365,76",407,3,-,-
150280 CURRALINHO,122,122,"49545,84","37469,58",-,-,"12076,26",-,-,"406,11","406,11",257,"2,1",1,"0,82"
150293 DOM ELISEU,404,404,"174900,76","145999,41",-,-,"28901,35",-,-,"432,92","432,92",1156,"2,9",-,-
150295 ELDORADO DOS CARAJAS,227,227,"95739,13","79345,35",-,-,"16393,78",-,-,"421,76","421,76",663,"2,9",1,"0,44"
150304 FLORESTA DO ARAGUAIA,108,108,"53794,45","43911,91",-,-,"9882,54",-,-,"498,1","498,1",291,"2,7",-,-
150309 GOIANESIA DO PARA,261,261,"112443,81","84095,07",-,-,"28348,74",-,-,"430,82","430,82",566,"2,2",-,-
150310 GURUPA,98,98,"42933,9","32679,21",-,-,"10254,69",-,-,"438,1","438,1",235,"2,4",-,-
150320 IGARAPE-ACU,148,148,"55449,14","42961,33",-,-,"12487,81",-,-,"374,66","374,66",454,"3,1",-,-
150330 IGARAPE-MIRI,599,599,"238084,17","185649,82",-,-,"52434,35",-,-,"397,47","397,47",1714,"2,9",-,-
150340 INHANGAPI,51,51,"17797,48","15927,4",-,-,"1870,08",-,-,"348,97","348,97",191,"3,7",-,-
