Período:Fev/2009,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,190,190,"67695,89","56129,8",-,-,"11566,09",-,-,"356,29","356,29",429,"2,3",1,"0,53"
110002 ARIQUEMES,461,461,"182342,04","129394,01",-,-,"52948,03",-,-,"395,54","395,54",1373,3,4,"0,87"
110003 CABIXI,32,32,"9053,44","6724,91",-,-,"2328,53",-,-,"282,92","282,92",58,"1,8",-,-
110004 CACOAL,412,412,"146120,21","116132,93",-,-,"29987,28",-,-,"354,66","354,66",1296,"3,1",4,"0,97"
110005 CEREJEIRAS,150,150,"54692,16","45038,46",-,-,"9653,7",-,-,"364,61","364,61",419,"2,8",-,-
110006 COLORADO DO OESTE,101,101,"34441,5","28438,93",-,-,"6002,57",-,-,341,341,277,"2,7",-,-
110008 COSTA MARQUES,55,55,"22933,69","17022,26",-,-,"5911,43",-,-,"416,98","416,98",122,"2,2",-,-
110009 ESPIGAO D'OESTE,155,155,"52676,42","42892,29",-,-,"9784,13",-,-,"339,85","339,85",544,"3,5",2,"1,29"
110011 JARU,251,251,"96000,85","70317,65",-,-,"25683,2",-,-,"382,47","382,47",542,"2,2",1,"0,4"
110012 JI-PARANA,735,735,"289180,04","227528,97",-,-,"61651,07",-,-,"393,44","393,44",2430,"3,3",7,"0,95"
110013 MACHADINHO D'OESTE,130,130,"45594,15","34921,65",-,-,"10672,5",-,-,"350,72","350,72",416,"3,2",2,"1,54"
110014 NOVA BRASILANDIA D'OESTE,149,149,"57941,74","44947,69",-,-,"12994,05",-,-,"388,87","388,87",434,"2,9",-,-
110015 OURO PRETO DO OESTE,162,162,"55486,2","46020,58",-,-,"9465,62",-,-,"342,51","342,51",372,"2,3",4,"2,47"
110018 PIMENTA BUENO,235,235,"77938,1","64454,18",-,-,"13483,92",-,-,"331,65","331,65",710,3,1,"0,43"
110020 PORTO VELHO,1888,1888,"842523,03","575002,39",-,-,"267520,64",-,-,"446,25","446,25",9169,"4,9",43,"2,28"
110025 PRESIDENTE MEDICI,75,75,"27464,06","23859,8",-,-,"3604,26",-,-,"366,19","366,19",278,"3,7",1,"1,33"
110028 ROLIM DE MOURA,429,429,"168595,35","135481,8",-,-,"33113,55",-,-,393,393,907,"2,1",7,"1,63"
110029 SANTA LUZIA D'OESTE,60,60,"22833,62","20577,41",-,-,"2256,21",-,-,"380,56","380,56",246,"4,1",-,-
110030 VILHENA,575,575,"237467,56","172147,61",-,-,"65319,95",-,-,"412,99","412,99",1920,"3,3",12,"2,09"
110032 SAO MIGUEL DO GUAPORE,133,133,"46738,6","36748,75",-,-,"9989,85",-,-,"351,42","351,42",322,"2,4",-,-
110033 NOVA MAMORE,73,73,"21581,36","17803,78",-,-,"3777,58",-,-,"295,64","295,64",203,"2,8",2,"2,74"
110034 ALVORADA D'OESTE,111,111,"30404,54","24217,47",-,-,"6187,07",-,-,"273,91","273,91",307,"2,8",-,-
110037 ALTO ALEGRE DOS PARECIS,70,70,"3147,25","2373,07",-,-,"774,18",-,-,"44,96","44,96",66,"0,9",-,-
110040 ALTO PARAISO,30,30,"7586,27","6527,98",-,-,"1058,29",-,-,"252,88","252,88",39,"1,3",-,-
110060 CACAULANDIA,27,27,"7628,11","6535,96",-,-,"1092,15",-,-,"282,52","282,52",63,"2,3",-,-
110070 CAMPO NOVO DE RONDONIA,83,83,"25689,58","22472,24",-,-,"3217,34",-,-,"309,51","309,51",191,"2,3",-,-
110120 MINISTRO ANDREAZZA,41,41,"11455,42","9788,55",-,-,"1666,87",-,-,"279,4","279,4",85,"2,1",-,-
110130 MIRANTE DA SERRA,94,94,"32472,08","27540,56",-,-,"4931,52",-,-,"345,45","345,45",199,"2,1",1,"1,06"
110140 MONTE NEGRO,259,259,"84665,51","73571,68",-,-,"11093,83",-,-,"326,89","326,89",646,"2,5",-,-
110143 NOVA UNIAO,40,40,"14684,07","12701,9",-,-,"1982,17",-,-,"367,1","367,1",83,"2,1",-,-
110149 SAO FRANCISCO DO GUAPORE,97,97,"26309,6","21940,73",-,-,"4368,87",-,-,"271,23","271,23",194,2,1,"1,03"
110150 SERINGUEIRAS,93,93,"27206,26","21607,5",-,-,"5598,76",-,-,"292,54","292,54",285,"3,1",-,-
110160 THEOBROMA,42,42,"11840,59","10301,95",-,-,"1538,64",-,-,"281,92","281,92",86,2,-,-
110170 URUPA,36,36,"9643,66","8227,17",-,-,"1416,49",-,-,"267,88","267,88",78,"2,2",-,-
110175 VALE DO ANARI,10,10,"2460,39","2186,12",-,-,"274,27",-,-,"246,04","246,04",18,"1,8",-,-
110180 VALE DO PARAISO,17,17,"5610,4","4853,42",-,-,"756,98",-,-,"330,02","330,02",30,"1,8",-,-
120001 ACRELANDIA,48,48,"19857,48","16862,03",-,-,"2995,45",-,-,"413,7","413,7",168,"3,5",-,-
120005 ASSIS BRASIL,24,24,"6897,51","4978,82",-,-,"1918,69",-,-,"287,4","287,4",46,"1,9",1,"4,17"
120010 BRASILEIA,209,209,64149,"44541,9",-,-,"19607,1",-,-,"306,93","306,93",485,"2,3",-,-
120020 CRUZEIRO DO SUL,850,850,"357335,52","259326,97",-,-,"98008,55",-,-,"420,39","420,39",2738,"3,2",6,"0,71"
120030 FEIJO,87,87,"36689,62","24601,28",-,-,"12088,34",-,-,"421,72","421,72",130,"1,5",-,-
120034 MANOEL URBANO,36,36,"12535,74","10093,66",-,-,"2442,08",-,-,"348,21","348,21",76,"2,1",-,-
120038 PLACIDO DE CASTRO,41,41,"11230,03","9689,99",-,-,"1540,04",-,-,"273,9","273,9",148,"3,6",-,-
120040 RIO BRANCO,2448,2448,"1574384,26","1174135,57",-,-,"400248,69",-,-,"643,13","643,13",12613,"5,2",89,"3,64"
120042 RODRIGUES ALVES,31,31,"2868,35","2386,18",-,-,"482,17",-,-,"92,53","92,53",32,1,-,-
120045 SENADOR GUIOMARD,4,4,"1002,94","849,5",-,-,"153,44",-,-,"250,74","250,74",13,"3,3",-,-
120050 SENA MADUREIRA,257,257,"91907,92","69903,04",-,-,"22004,88",-,-,"357,62","357,62",806,"3,1",-,-
120060 TARAUACA,127,127,"56901,21","39065,73",-,-,"17835,48",-,-,"448,04","448,04",298,"2,3",-,-
120070 XAPURI,78,78,"17798,43","15277,29",-,-,"2521,14",-,-,"228,19","228,19",229,"2,9",1,"1,28"
130002 ALVARAES,21,21,"8044,64","5688,52",-,-,"2356,12",-,-,"383,08","383,08",49,"2,3",-,-
130006 AMATURA,31,31,"21062,9","19130,48",-,-,"1932,42",-,-,"679,45","679,45",99,"3,2",-,-
130008 ANAMA,74,74,"29559,29","22739,69",-,-,"6819,6",-,-,"399,45","399,45",271,"3,7",-,-
130010 ANORI,92,92,"37355,87","27407,85",-,-,"9948,02",-,-,"406,04","406,04",272,3,-,-
130014 APUI,83,83,"37470,77","26628,77",-,-,10842,-,-,"451,46","451,46",249,3,-,-
130030 AUTAZES,2,2,"442,16","332,96",-,-,"109,2",-,-,"221,08","221,08",5,"2,5",-,-
130050 BARREIRINHA,94,94,"35569,83","25886,5",-,-,"9683,33",-,-,"378,4","378,4",288,"3,1",-,-
130060 BENJAMIN CONSTANT,125,125,"51882,46","37147,65",-,-,"14734,81",-,-,"415,06","415,06",378,3,1,"0,8"
130080 BORBA,33,33,"14532,09","13019,97",-,-,"1512,12",-,-,"440,37","440,37",117,"3,5",-,-
130090 CANUTAMA,31,31,"10281,97","7602,65",-,-,"2679,32",-,-,"331,68","331,68",90,"2,9",-,-
