Período:Out/2009,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,190,190,"69604,36","57138,75",-,-,"12465,61",-,-,"366,34","366,34",480,"2,5",-,-
110002 ARIQUEMES,560,560,"196327,59","147408,9",-,-,"48918,69",-,-,"350,58","350,58",1593,"2,8",15,"2,68"
110003 CABIXI,16,16,"4739,49","4148,21",-,-,"591,28",-,-,"296,22","296,22",31,"1,9",-,-
110004 CACOAL,438,438,"163323,51","125126,9",-,-,"38196,61",-,-,"372,88","372,88",1492,"3,4",9,"2,05"
110005 CEREJEIRAS,150,150,"52467,31","41247,16",-,-,"11220,15",-,-,"349,78","349,78",391,"2,6",-,-
110006 COLORADO DO OESTE,112,112,"36990,21","31255,56",-,-,"5734,65",-,-,"330,27","330,27",284,"2,5",1,"0,89"
110008 COSTA MARQUES,69,69,"32084,32","25114,04",-,-,"6970,28",-,-,"464,99","464,99",173,"2,5",-,-
110009 ESPIGAO D'OESTE,155,155,"29322,33","24485,16",-,-,"4837,17",-,-,"189,18","189,18",460,3,2,"1,29"
110010 GUAJARA-MIRIM,289,289,"101223,98","74917,44",-,-,"26306,54",-,-,"350,26","350,26",736,"2,5",5,"1,73"
110011 JARU,257,257,"96573,85","73946,12",-,-,"22627,73",-,-,"375,77","375,77",621,"2,4",1,"0,39"
110012 JI-PARANA,908,908,"376752,16","288193,38",-,-,"88558,78",-,-,"414,93","414,93",2713,3,11,"1,21"
110013 MACHADINHO D'OESTE,133,133,"48538,72","35970,09",-,-,"12568,63",-,-,"364,95","364,95",381,"2,9",-,-
110014 NOVA BRASILANDIA D'OESTE,166,166,"57880,5","45841,6",-,-,"12038,9",-,-,"348,68","348,68",385,"2,3",1,"0,6"
110015 OURO PRETO DO OESTE,295,295,"116425,89","95718,51",-,-,"20707,38",-,-,"394,66","394,66",699,"2,4",4,"1,36"
110018 PIMENTA BUENO,235,235,"74559,15","60392,88",-,-,"14166,27",-,-,"317,27","317,27",639,"2,7",3,"1,28"
110020 PORTO VELHO,1938,1938,"1618070,59","1254905,45",-,-,"363165,14",-,-,"834,92","834,92",13309,"6,9",52,"2,68"
110025 PRESIDENTE MEDICI,99,99,"29698,3","24827,04",-,-,"4871,26",-,-,"299,98","299,98",252,"2,5",-,-
110028 ROLIM DE MOURA,433,433,"170256,23","135993,3",-,-,"34262,93",-,-,"393,2","393,2",1297,3,5,"1,15"
