Período:Ago/2010,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,190,190,"69058,41","57970,92",-,-,"11087,49",-,-,"363,47","363,47",426,"2,2",-,-
110002 ARIQUEMES,462,462,"182843,1","133914,42",-,-,"48928,68",-,-,"395,76","395,76",1499,"3,2",9,"1,95"
110003 CABIXI,26,26,"8588,12","6977,98",-,-,"1610,14",-,-,"330,31","330,31",57,"2,2",-,-
110004 CACOAL,522,522,"198810,35","154167,78",-,-,"44642,57",-,-,"380,86","380,86",1824,"3,5",13,"2,49"
110005 CEREJEIRAS,91,91,"30694,01","25495,41",-,-,"5198,6",-,-,"337,3","337,3",222,"2,4",-,-
110006 COLORADO DO OESTE,128,128,"43548,23","35303,06",-,-,"8245,17",-,-,"340,22","340,22",325,"2,5",-,-
110007 CORUMBIARA,23,23,"6789,03","5976,58",-,-,"812,45",-,-,"295,18","295,18",63,"2,7",-,-
110009 ESPIGAO D'OESTE,154,154,"32796,37","27193,01",-,-,"5603,36",-,-,"212,96","212,96",484,"3,1",3,"1,95"
110010 GUAJARA-MIRIM,267,267,"113703,74","85611,75",-,-,"28091,99",-,-,"425,86","425,86",723,"2,7",3,"1,12"
110011 JARU,164,164,"69080,48","49015,6",-,-,"20064,88",-,-,"421,22","421,22",322,2,-,-
110012 JI-PARANA,827,827,"444572,77","354813,6",-,-,"89759,17",-,-,"537,57","537,57",3448,"4,2",33,"3,99"
110013 MACHADINHO D'OESTE,178,178,"60341,02","48718,08",-,-,"11622,94",-,-,"338,99","338,99",422,"2,4",-,-
110014 NOVA BRASILANDIA D'OESTE,129,129,"46431,83","38862,2",-,-,"7569,63",-,-,"359,94","359,94",322,"2,5",-,-
110015 OURO PRETO DO OESTE,165,165,"42088,58","36654,04",-,-,"5434,54",-,-,"255,08","255,08",359,"2,2",-,-
110018 PIMENTA BUENO,235,235,"78471,43","67357,19",-,-,"11114,24",-,-,"333,92","333,92",639,"2,7",7,"2,98"
110020 PORTO VELHO,2318,2318,"1979600,52","1580647,77",-,-,"398952,75",-,-,"854,01","854,01",17044,"7,4",96,"4,14"
110025 PRESIDENTE MEDICI,101,101,"33253,17","27978,77",-,-,"5274,4",-,-,"329,24","329,24",269,"2,7",2,"1,98"
110028 ROLIM DE MOURA,424,424,"175072,86","141218,95",-,-,"33853,91",-,-,"412,91","412,91",1122,"2,6",7,"1,65"
110030 VILHENA,521,521,"378686,01","309874,33",-,-,"68811,68",-,-,"726,84","726,84",2268,"4,4",23,"4,41"
110032 SAO MIGUEL DO GUAPORE,129,129,"45075,01","37423,24",-,-,"7651,77",-,-,"349,42","349,42",330,"2,6",-,-
110033 NOVA MAMORE,72,72,"29033,67","21372,55",-,-,"7661,12",-,-,"403,25","403,25",186,"2,6",-,-
110034 ALVORADA D'OESTE,109,109,"34340,11","26943,91",-,-,"7396,2",-,-,"315,05","315,05",261,"2,4",-,-
110037 ALTO ALEGRE DOS PARECIS,75,75,"22631,33","19821,38",-,-,"2809,95",-,-,"301,75","301,75",186,"2,5",-,-
110040 ALTO PARAISO,57,57,"15187,59","12907,33",-,-,"2280,26",-,-,"266,45","266,45",99,"1,7",-,-
110050 NOVO HORIZONTE DO OESTE,45,45,"14594,92","12900,04",-,-,"1694,88",-,-,"324,33","324,33",92,2,-,-
110060 CACAULANDIA,27,27,"8712,53","7493,03",-,-,"1219,5",-,-,"322,69","322,69",72,"2,7",-,-
110070 CAMPO NOVO DE RONDONIA,86,86,"28838,63","25208,23",-,-,"3630,4",-,-,"335,33","335,33",194,"2,3",-,-
110094 CUJUBIM,44,44,"10930,76","9344,43",-,-,"1586,33",-,-,"248,43","248,43",164,"3,7",-,-
110100 GOVERNADOR JORGE TEIXEIRA,32,32,"9423,75","8087,48",-,-,"1336,27",-,-,"294,49","294,49",86,"2,7",-,-
110110 ITAPUA DO OESTE,3,3,"1140,56","961,94",-,-,"178,62",-,-,"380,19","380,19",6,2,-,-
110120 MINISTRO ANDREAZZA,41,41,"16928,71","14798,73",-,-,"2129,98",-,-,"412,9","412,9",136,"3,3",-,-
110130 MIRANTE DA SERRA,70,70,"23825,32","19859,28",-,-,"3966,04",-,-,"340,36","340,36",146,"2,1",-,-
110140 MONTE NEGRO,238,238,"81785,17","66758,17",-,-,15027,-,-,"343,64","343,64",466,2,-,-
110143 NOVA UNIAO,32,32,"12723,97","11060,02",-,-,"1663,95",-,-,"397,62","397,62",70,"2,2",-,-
110145 PARECIS,16,16,"728,87","549,61",-,-,"179,26",-,-,"45,55","45,55",21,"1,3",-,-
110146 PIMENTEIRAS DO OESTE,11,11,"2561,73","2154,91",-,-,"406,82",-,-,"232,88","232,88",22,2,-,-
