Período:Dez/2010,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,190,190,"69152,58","58100,88",-,-,"11051,7",-,-,"363,96","363,96",443,"2,3",-,-
110002 ARIQUEMES,425,425,"229216,87","175934,58",-,-,"53282,29",-,-,"539,33","539,33",1602,"3,8",12,"2,82"
110003 CABIXI,30,30,"10053,84","8321,18",-,-,"1732,66",-,-,"335,13","335,13",61,2,-,-
110004 CACOAL,442,442,"184386,47","141627,29",-,-,"42759,18",-,-,"417,16","417,16",1838,"4,2",11,"2,49"
110005 CEREJEIRAS,150,150,"45957,36","39103,11",-,-,"6854,25",-,-,"306,38","306,38",348,"2,3",2,"1,33"
110006 COLORADO DO OESTE,158,158,"54751,29","44824,97",-,-,"9926,32",-,-,"346,53","346,53",384,"2,4",2,"1,27"
110009 ESPIGAO D'OESTE,100,100,"19412,23","16032,47",-,-,"3379,76",-,-,"194,12","194,12",237,"2,4",-,-
110011 JARU,237,237,"76229,51","55788,52",-,-,"20440,99",-,-,"321,64","321,64",797,"3,4",4,"1,69"
110012 JI-PARANA,755,755,"396857,81","312734,95",-,-,"84122,86",-,-,"525,64","525,64",2925,"3,9",31,"4,11"
110013 MACHADINHO D'OESTE,107,107,"34635,77","27787,89",-,-,"6847,88",-,-,"323,7","323,7",228,"2,1",-,-
110014 NOVA BRASILANDIA D'OESTE,129,129,"45288,53","39085,15",-,-,"6203,38",-,-,"351,07","351,07",312,"2,4",-,-
110015 OURO PRETO DO OESTE,350,350,"118511,11","93744,65",-,-,"24766,46",-,-,"338,6","338,6",677,"1,9",4,"1,14"
110018 PIMENTA BUENO,235,235,"84432,91","70067,3",-,-,"14365,61",-,-,"359,29","359,29",628,"2,7",4,"1,7"
110020 PORTO VELHO,1984,1984,"1733184,3","1342154,04",-,-,"391030,26",-,-,"873,58","873,58",13633,"6,9",64,"3,23"
110025 PRESIDENTE MEDICI,56,56,"18940,83","16401,44",-,-,"2539,39",-,-,"338,23","338,23",175,"3,1",-,-
110028 ROLIM DE MOURA,425,425,"173499,17","146886,33",-,-,"26612,84",-,-,"408,23","408,23",2044,"4,8",8,"1,88"
110030 VILHENA,511,511,"322972,58","264738,9",-,-,"58233,68",-,-,"632,04","632,04",2329,"4,6",24,"4,7"
110032 SAO MIGUEL DO GUAPORE,135,135,"49084,92","39923,35",-,-,"9161,57",-,-,"363,59","363,59",290,"2,1",1,"0,74"
110033 NOVA MAMORE,76,76,"26558,25","19946,42",-,-,"6611,83",-,-,"349,45","349,45",202,"2,7",-,-
110034 ALVORADA D'OESTE,166,166,"44617,16","35517,55",-,-,"9099,61",-,-,"268,78","268,78",385,"2,3",-,-
110037 ALTO ALEGRE DOS PARECIS,74,74,"22130,72","19187,73",-,-,"2942,99",-,-,"299,06","299,06",134,"1,8",-,-
110040 ALTO PARAISO,30,30,"9179,94","7736,89",-,-,"1443,05",-,-,306,306,48,"1,6",-,-
110050 NOVO HORIZONTE DO OESTE,45,45,"16058,32","14009,51",-,-,"2048,81",-,-,"356,85","356,85",104,"2,3",-,-
110060 CACAULANDIA,27,27,"8255,44","7127,33",-,-,"1128,11",-,-,"305,76","305,76",64,"2,4",-,-
110070 CAMPO NOVO DE RONDONIA,90,90,"30481,35","26445,32",-,-,"4036,03",-,-,"338,68","338,68",213,"2,4",-,-
110094 CUJUBIM,44,44,"13811,91","11703,41",-,-,"2108,5",-,-,"313,91","313,91",155,"3,5",-,-
110100 GOVERNADOR JORGE TEIXEIRA,94,94,"29389,47","25381,07",-,-,"4008,4",-,-,"312,65","312,65",253,"2,7",1,"1,06"
110120 MINISTRO ANDREAZZA,41,41,"15526,34","13693,6",-,-,"1832,74",-,-,"378,69","378,69",126,"3,1",-,-
110130 MIRANTE DA SERRA,104,104,"35839,54","30264,09",-,-,"5575,45",-,-,"344,61","344,61",224,"2,2",-,-
110140 MONTE NEGRO,259,259,"92283,12","77228,03",-,-,"15055,09",-,-,"356,31","356,31",520,2,-,-
110143 NOVA UNIAO,36,36,"11791,45","10015,46",-,-,"1775,99",-,-,"327,54","327,54",80,"2,2",-,-
110146 PIMENTEIRAS DO OESTE,6,6,"1108,11","905,41",-,-,"202,7",-,-,"184,68","184,68",12,2,-,-
110149 SAO FRANCISCO DO GUAPORE,107,107,"35651,75","29831,79",-,-,"5819,96",-,-,"333,19","333,19",371,"3,5",-,-
110150 SERINGUEIRAS,85,85,"20772,05","15701,18",-,-,"5070,87",-,-,"244,38","244,38",156,"1,8",-,-
110155 TEIXEIROPOLIS,9,9,"2808,79","2413,11",-,-,"395,68",-,-,"312,09","312,09",14,"1,6",-,-
110160 THEOBROMA,15,15,"3185,85","2702,24",-,-,"483,61",-,-,"212,39","212,39",30,2,-,-
110175 VALE DO ANARI,34,34,"7458,03","6295,43",-,-,"1162,6",-,-,"219,35","219,35",75,"2,2",-,-
110180 VALE DO PARAISO,11,11,"5266,13","4609,27",-,-,"656,86",-,-,"478,74","478,74",11,1,-,-
120005 ASSIS BRASIL,53,53,"23186,22","19318,25",-,-,"3867,97",-,-,"437,48","437,48",148,"2,8",-,-
120010 BRASILEIA,174,174,"60634,19","43790,3",-,-,"16843,89",-,-,"348,47","348,47",476,"2,7",1,"0,57"
120020 CRUZEIRO DO SUL,866,866,"421363,95","318699,02",-,-,"102664,93",-,-,"486,56","486,56",3669,"4,2",15,"1,73"
120030 FEIJO,29,29,"12570,75","8397,84",-,-,"4172,91",-,-,"433,47","433,47",65,"2,2",-,-
120033 MANCIO LIMA,19,19,"9192,6","5852,4",-,-,"3340,2",-,-,"483,82","483,82",28,"1,5",-,-
120034 MANOEL URBANO,94,94,"13492,61","11422,98",-,-,"2069,63",-,-,"143,54","143,54",132,"1,4",1,"1,06"
120038 PLACIDO DE CASTRO,41,41,"12448,88","9811,85",-,-,"2637,03",-,-,"303,63","303,63",159,"3,9",-,-
120039 PORTO WALTER,6,6,"1547,22","1346,78",-,-,"200,44",-,-,"257,87","257,87",14,"2,3",-,-
120040 RIO BRANCO,2123,2123,"1737362,76","1330447,51",-,-,"406915,25",-,-,"818,35","818,35",13067,"6,2",100,"4,71"
120042 RODRIGUES ALVES,21,21,"1749,94","1450,26",-,-,"299,68",-,-,"83,33","83,33",21,1,-,-
120043 SANTA ROSA DO PURUS,30,30,"8778,23","7658,15",-,-,"1120,08",-,-,"292,61","292,61",62,"2,1",-,-
120045 SENADOR GUIOMARD,14,14,"4665,88","3505,52",-,-,"1160,36",-,-,"333,28","333,28",30,"2,1",-,-
120050 SENA MADUREIRA,387,387,"136975,28",111427,-,-,"25548,28",-,-,"353,94","353,94",1715,"4,4",4,"1,03"
120060 TARAUACA,105,105,"43659,58","29961,37",-,-,"13698,21",-,-,"415,81","415,81",201,"1,9",1,"0,95"
120070 XAPURI,93,93,"28656,45","22803,01",-,-,"5853,44",-,-,"308,13","308,13",299,"3,2",3,"3,23"
130002 ALVARAES,98,98,"36541,87","25705,83",-,-,"10836,04",-,-,"372,88","372,88",213,"2,2",-,-
130006 AMATURA,9,9,"3941,25","2755,72",-,-,"1185,53",-,-,"437,92","437,92",31,"3,4",-,-
130008 ANAMA,30,30,"9637,2","7445,83",-,-,"2191,37",-,-,"321,24","321,24",97,"3,2",-,-
130010 ANORI,58,58,"20855,93","15413,99",-,-,"5441,94",-,-,"359,59","359,59",173,3,-,-
130014 APUI,84,84,"31653,47","23566,54",-,-,"8086,93",-,-,"376,83","376,83",238,"2,8",-,-
130030 AUTAZES,106,106,"45242,6","30002,77",-,-,"15239,83",-,-,"426,82","426,82",212,2,-,-
130040 BARCELOS,160,160,"54952,9","41222,54",-,-,"13730,36",-,-,"343,46","343,46",561,"3,5",-,-
130050 BARREIRINHA,92,92,"39112,22","28684,95",-,-,"10427,27",-,-,"425,13","425,13",300,"3,3",-,-
130060 BENJAMIN CONSTANT,68,68,"26210,31","17617,83",-,-,"8592,48",-,-,"385,45","385,45",160,"2,4",-,-
130063 BERURI,46,46,"18973,74","12274,37",-,-,"6699,37",-,-,"412,47","412,47",114,"2,5",-,-
130068 BOA VISTA DO RAMOS,38,38,"17708,28",11054,-,-,"6654,28",-,-,"466,01","466,01",93,"2,4",-,-
130070 BOCA DO ACRE,101,101,"42476,56","29355,28",-,-,"13121,28",-,-,"420,56","420,56",275,"2,7",-,-
130080 BORBA,218,218,"101240,4","72395,25",-,-,"28845,15",-,-,"464,41","464,41",665,"3,1",-,-
130090 CANUTAMA,33,33,"17241,71","11522,3",-,-,"5719,41",-,-,"522,48","522,48",77,"2,3",-,-
130100 CARAUARI,115,115,"46800,98","33527,43",-,-,"13273,55",-,-,"406,97","406,97",327,"2,8",-,-
130120 COARI,324,324,"133617,3","96907,15",-,-,"36710,15",-,-,"412,4","412,4",1042,"3,2",-,-
130130 CODAJAS,93,93,"43242,95","34625,76",-,-,"8617,19",-,-,"464,98","464,98",351,"3,8",-,-
130140 EIRUNEPE,100,100,"43238,97","30012,45",-,-,"13226,52",-,-,"432,39","432,39",277,"2,8",2,2
130150 ENVIRA,2,2,"1229,82","807,36",-,-,"422,46",-,-,"614,91","614,91",5,"2,5",-,-
