Período:Set/2010,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,190,190,"69246,01","58292,36",-,-,"10953,65",-,-,"364,45","364,45",454,"2,4",-,-
110002 ARIQUEMES,514,514,"379174,71","304531,5",-,-,"74643,21",-,-,"737,69","737,69",2160,"4,2",27,"5,25"
110003 CABIXI,27,27,"8335,87","6904,38",-,-,"1431,49",-,-,"308,74","308,74",52,"1,9",-,-
110004 CACOAL,517,517,"206182,78","163448,37",-,-,"42734,41",-,-,"398,81","398,81",1768,"3,4",18,"3,48"
110005 CEREJEIRAS,94,94,"28345,6","23786,49",-,-,"4559,11",-,-,"301,55","301,55",225,"2,4",-,-
110006 COLORADO DO OESTE,137,137,"51557,35","41905,62",-,-,"9651,73",-,-,"376,33","376,33",372,"2,7",-,-
110007 CORUMBIARA,39,39,"12680,34","11090,58",-,-,"1589,76",-,-,"325,14","325,14",102,"2,6",-,-
110009 ESPIGAO D'OESTE,139,139,"27511,37","23173,99",-,-,"4337,38",-,-,"197,92","197,92",840,6,1,"0,72"
110010 GUAJARA-MIRIM,249,249,"88692,6","67821,7",-,-,"20870,9",-,-,"356,2","356,2",697,"2,8",2,"0,8"
110011 JARU,176,176,"68655,83","49352,02",-,-,"19303,81",-,-,"390,09","390,09",361,"2,1",2,"1,14"
110012 JI-PARANA,657,657,"366686,6","286557,97",-,-,"80128,63",-,-,"558,12","558,12",2613,4,30,"4,57"
110013 MACHADINHO D'OESTE,164,164,"52704,98","40730,06",-,-,"11974,92",-,-,"321,37","321,37",348,"2,1",-,-
110014 NOVA BRASILANDIA D'OESTE,129,129,"46759,47","39617,81",-,-,"7141,66",-,-,"362,48","362,48",276,"2,1",-,-
110015 OURO PRETO DO OESTE,425,425,"144238,79","109912,92",-,-,"34325,87",-,-,"339,39","339,39",715,"1,7",5,"1,18"
110018 PIMENTA BUENO,235,235,"79124,31","65819,4",-,-,"13304,91",-,-,"336,7","336,7",623,"2,7",2,"0,85"
110020 PORTO VELHO,2666,2666,"2486254,83","2014518,38",-,-,"471736,45",-,-,"932,58","932,58",19022,"7,1",158,"5,93"
110025 PRESIDENTE MEDICI,96,96,"33143,98","28132,08",-,-,"5011,9",-,-,"345,25","345,25",292,3,2,"2,08"
110028 ROLIM DE MOURA,363,363,"138658,9","114329,73",-,-,"24329,17",-,-,"381,98","381,98",872,"2,4",5,"1,38"
110030 VILHENA,521,521,"309018,7","250389,68",-,-,"58629,02",-,-,"593,13","593,13",2272,"4,4",16,"3,07"
110032 SAO MIGUEL DO GUAPORE,136,136,"52641,93","41918,29",-,-,"10723,64",-,-,"387,07","387,07",365,"2,7",2,"1,47"
110033 NOVA MAMORE,89,89,"32289,66","24741,89",-,-,"7547,77",-,-,"362,81","362,81",227,"2,6",1,"1,12"
