Período:Mar/2010,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,190,190,"67064,82","55391,59",-,-,"11673,23",-,-,"352,97","352,97",430,"2,3",-,-
110002 ARIQUEMES,509,509,"253998,28","197239,99",-,-,"56758,29",-,-,"499,01","499,01",1529,3,6,"1,18"
110003 CABIXI,22,22,"8307,08","6516,11",-,-,"1790,97",-,-,"377,59","377,59",43,2,-,-
110004 CACOAL,501,501,"193164,9","149289,72",-,-,"43875,18",-,-,"385,56","385,56",1588,"3,2",5,1
110005 CEREJEIRAS,150,150,"52329,18","43057,74",-,-,"9271,44",-,-,"348,86","348,86",386,"2,6",-,-
110006 COLORADO DO OESTE,134,134,"40618,57","33991,98",-,-,"6626,59",-,-,"303,12","303,12",349,"2,6",1,"0,75"
110007 CORUMBIARA,30,30,"9616,12","8423,29",-,-,"1192,83",-,-,"320,54","320,54",81,"2,7",-,-
110008 COSTA MARQUES,29,29,"11248,99","8178,64",-,-,"3070,35",-,-,"387,9","387,9",78,"2,7",-,-
110009 ESPIGAO D'OESTE,155,155,"32939,16","27275,37",-,-,"5663,79",-,-,"212,51","212,51",337,"2,2",1,"0,65"
110010 GUAJARA-MIRIM,246,246,"99971,24","77678,13",-,-,"22293,11",-,-,"406,39","406,39",683,"2,8",2,"0,81"
110011 JARU,203,203,"84544,94","62161,86",-,-,"22383,08",-,-,"416,48","416,48",554,"2,7",2,"0,99"
110012 JI-PARANA,893,893,"380032,72","290535,89",-,-,"89496,83",-,-,"425,57","425,57",3124,"3,5",11,"1,23"
110013 MACHADINHO D'OESTE,151,151,"55874,24","43990,88",-,-,"11883,36",-,-,"370,03","370,03",335,"2,2",-,-
110014 NOVA BRASILANDIA D'OESTE,142,142,"48763,76","40179,73",-,-,"8584,03",-,-,"343,41","343,41",327,"2,3",-,-
110015 OURO PRETO DO OESTE,314,314,"106783,34","85182,29",-,-,"21601,05",-,-,"340,07","340,07",634,2,4,"1,27"
110018 PIMENTA BUENO,237,237,"81495,79","65509,78",-,-,"15986,01",-,-,"343,86","343,86",787,"3,3",4,"1,69"
110020 PORTO VELHO,1704,1704,"1372280,74","1070185,32",-,-,"302095,42",-,-,"805,33","805,33",11136,"6,5",51,"2,99"
110025 PRESIDENTE MEDICI,117,117,"40006,1","33483,04",-,-,"6523,06",-,-,"341,93","341,93",374,"3,2",2,"1,71"
110028 ROLIM DE MOURA,483,483,"183427,89","148863,42",-,-,"34564,47",-,-,"379,77","379,77",1170,"2,4",2,"0,41"
110029 SANTA LUZIA D'OESTE,64,64,"23068,66","20010,99",-,-,"3057,67",-,-,"360,45","360,45",246,"3,8",-,-
110030 VILHENA,521,521,"289357,95","235699,55",-,-,"53658,4",-,-,"555,39","555,39",2107,4,21,"4,03"
110032 SAO MIGUEL DO GUAPORE,118,118,"41790,8","33823,44",-,-,"7967,36",-,-,"354,16","354,16",318,"2,7",-,-
110033 NOVA MAMORE,76,76,"27803,81","21537,56",-,-,"6266,25",-,-,"365,84","365,84",187,"2,5",-,-
110034 ALVORADA D'OESTE,117,117,"37778,45","29795,34",-,-,"7983,11",-,-,"322,89","322,89",264,"2,3",-,-
110037 ALTO ALEGRE DOS PARECIS,56,56,"2543,42","1917,86",-,-,"625,56",-,-,"45,42","45,42",4,"0,1",-,-
110040 ALTO PARAISO,25,25,"5859,98","5040,55",-,-,"819,43",-,-,"234,4","234,4",68,"2,7",-,-
110050 NOVO HORIZONTE DO OESTE,45,45,"16011,53","13903,04",-,-,"2108,49",-,-,"355,81","355,81",104,"2,3",-,-
110060 CACAULANDIA,27,27,"9174,7","8064,85",-,-,"1109,85",-,-,"339,8","339,8",72,"2,7",-,-
110070 CAMPO NOVO DE RONDONIA,86,86,"26359,93","22552,71",-,-,"3807,22",-,-,"306,51","306,51",184,"2,1",-,-
110100 GOVERNADOR JORGE TEIXEIRA,31,31,"9028,97","7677,62",-,-,"1351,35",-,-,"291,26","291,26",83,"2,7",-,-
110120 MINISTRO ANDREAZZA,41,41,"14673,29","12596,6",-,-,"2076,69",-,-,"357,89","357,89",95,"2,3",-,-
110130 MIRANTE DA SERRA,104,104,"41220,82","34481,54",-,-,"6739,28",-,-,"396,35","396,35",222,"2,1",-,-
110140 MONTE NEGRO,259,259,"86744,77","70870,91",-,-,"15873,86",-,-,"334,92","334,92",514,2,2,"0,77"
