Período:Mai/2010,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,190,190,"67609,22","54946,49",-,-,"12662,73",-,-,"355,84","355,84",417,"2,2",1,"0,53"
110002 ARIQUEMES,558,558,"287532,13","226946,48",-,-,"60585,65",-,-,"515,29","515,29",1629,"2,9",13,"2,33"
110003 CABIXI,31,31,"10200,82","8232,8",-,-,"1968,02",-,-,"329,06","329,06",60,"1,9",-,-
110004 CACOAL,445,445,"172902,32","135162,41",-,-,"37739,91",-,-,"388,54","388,54",1468,"3,3",9,"2,02"
110005 CEREJEIRAS,110,110,"38746,89","32566,99",-,-,"6179,9",-,-,"352,24","352,24",280,"2,5",-,-
110006 COLORADO DO OESTE,128,128,"38705,04","32636,51",-,-,"6068,53",-,-,"302,38","302,38",416,"3,3",-,-
110009 ESPIGAO D'OESTE,133,133,"30333,19","25205,15",-,-,"5128,04",-,-,"228,07","228,07",323,"2,4",1,"0,75"
110010 GUAJARA-MIRIM,256,256,"108406,79","81474,69",-,-,"26932,1",-,-,"423,46","423,46",675,"2,6",4,"1,56"
110011 JARU,314,314,"127730,96","93945,92",-,-,"33785,04",-,-,"406,79","406,79",669,"2,1",1,"0,32"
110012 JI-PARANA,967,967,"684764,62","560868,08",-,-,"123896,54",-,-,"708,13","708,13",3842,4,36,"3,72"
110013 MACHADINHO D'OESTE,162,162,"56609,88","44999,33",-,-,"11610,55",-,-,"349,44","349,44",356,"2,2",-,-
110014 NOVA BRASILANDIA D'OESTE,129,129,"49317,67","42054,07",-,-,"7263,6",-,-,"382,31","382,31",290,"2,2",1,"0,78"
110015 OURO PRETO DO OESTE,361,361,"121779,24","94863,03",-,-,"26916,21",-,-,"337,34","337,34",641,"1,8",5,"1,39"
110018 PIMENTA BUENO,235,235,"83984,04","69926,01",-,-,"14058,03",-,-,"357,38","357,38",634,"2,7",3,"1,28"
110020 PORTO VELHO,2161,2161,"1667497,89","1297524,68",-,-,"369973,21",-,-,"771,63","771,63",14489,"6,7",78,"3,61"
110025 PRESIDENTE MEDICI,100,100,"36920,03","31126,52",-,-,"5793,51",-,-,"369,2","369,2",271,"2,7",3,3
110028 ROLIM DE MOURA,439,439,"182769,79","149092,06",-,-,"33677,73",-,-,"416,33","416,33",1242,"2,8",9,"2,05"
110030 VILHENA,521,521,"274188,98","220882,99",-,-,"53305,99",-,-,"526,27","526,27",2098,4,13,"2,5"
110032 SAO MIGUEL DO GUAPORE,156,156,"55438,51","45058,98",-,-,"10379,53",-,-,"355,38","355,38",400,"2,6",1,"0,64"
110033 NOVA MAMORE,89,89,"34772,55","26720,94",-,-,"8051,61",-,-,"390,7","390,7",230,"2,6",-,-
110034 ALVORADA D'OESTE,117,117,"30158,68","24629,72",-,-,"5528,96",-,-,"257,77","257,77",234,2,-,-
110037 ALTO ALEGRE DOS PARECIS,58,58,"2619,66","1975,3",-,-,"644,36",-,-,"45,17","45,17",55,"0,9",-,-
110040 ALTO PARAISO,51,51,"13234,11","11111,97",-,-,"2122,14",-,-,"259,49","259,49",102,2,-,-
110050 NOVO HORIZONTE DO OESTE,45,45,"15901,54","13736,44",-,-,"2165,1",-,-,"353,37","353,37",101,"2,2",-,-
110060 CACAULANDIA,27,27,"8293,28","7220,31",-,-,"1072,97",-,-,"307,16","307,16",81,3,-,-
110070 CAMPO NOVO DE RONDONIA,88,88,"28674,43","24621,87",-,-,"4052,56",-,-,"325,85","325,85",188,"2,1",-,-
110100 GOVERNADOR JORGE TEIXEIRA,106,106,"31182,27","26846,25",-,-,"4336,02",-,-,"294,17","294,17",265,"2,5",-,-
110120 MINISTRO ANDREAZZA,41,41,"15632,56","13617,52",-,-,"2015,04",-,-,"381,28","381,28",159,"3,9",1,"2,44"
110130 MIRANTE DA SERRA,86,86,"29198,65","24513,07",-,-,"4685,58",-,-,"339,52","339,52",175,2,-,-
110140 MONTE NEGRO,246,246,"88662,1","73083,26",-,-,"15578,84",-,-,"360,42","360,42",514,"2,1",1,"0,41"
110143 NOVA UNIAO,34,34,"12856,43","11190,33",-,-,"1666,1",-,-,"378,13","378,13",76,"2,2",-,-
110145 PARECIS,16,16,"713,62","538,06",-,-,"175,56",-,-,"44,6","44,6",24,"1,5",-,-
110146 PIMENTEIRAS DO OESTE,3,3,"697,02","605,08",-,-,"91,94",-,-,"232,34","232,34",9,3,-,-
110149 SAO FRANCISCO DO GUAPORE,99,99,"31701,85","26546,61",-,-,"5155,24",-,-,"320,22","320,22",309,"3,1",-,-
110150 SERINGUEIRAS,70,70,"25503,67",19614,-,-,"5889,67",-,-,"364,34","364,34",156,"2,2",-,-
110155 TEIXEIROPOLIS,15,15,"4122,15","3534,43",-,-,"587,72",-,-,"274,81","274,81",39,"2,6",-,-
110160 THEOBROMA,33,33,"10507,06","9243,8",-,-,"1263,26",-,-,"318,4","318,4",74,"2,2",-,-
110170 URUPA,48,48,"19903,56","17709,47",-,-,"2194,09",-,-,"414,66","414,66",143,3,-,-
110175 VALE DO ANARI,9,9,"1882,27","1607,18",-,-,"275,09",-,-,"209,14","209,14",19,"2,1",-,-
