Período:Jun/2010,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,190,190,"70198,07","57860,9",-,-,"12337,17",-,-,"369,46","369,46",439,"2,3",2,"1,05"
110002 ARIQUEMES,521,521,"301590,26","234372,96",-,-,"67217,3",-,-,"578,87","578,87",1533,"2,9",12,"2,3"
110003 CABIXI,30,30,"11222,95","8875,85",-,-,"2347,1",-,-,"374,1","374,1",69,"2,3",-,-
110004 CACOAL,424,424,"182359,84","143877,34",-,-,"38482,5",-,-,"430,09","430,09",1623,"3,8",7,"1,65"
110005 CEREJEIRAS,107,107,"34354,53","28311,47",-,-,"6043,06",-,-,"321,07","321,07",408,"3,8",-,-
110006 COLORADO DO OESTE,147,147,"51642,8","42171,97",-,-,"9470,83",-,-,"351,31","351,31",347,"2,4",-,-
110009 ESPIGAO D'OESTE,103,103,"27482,28","22955,67",-,-,"4526,61",-,-,"266,82","266,82",316,"3,1",2,"1,94"
110010 GUAJARA-MIRIM,257,257,"103113,54","77128,06",-,-,"25985,48",-,-,"401,22","401,22",752,"2,9",1,"0,39"
110011 JARU,153,153,"67946,59","47468,7",-,-,"20477,89",-,-,"444,1","444,1",266,"1,7",-,-
110012 JI-PARANA,884,884,"429880,21","339500,87",-,-,"90379,34",-,-,"486,29","486,29",3644,"4,1",19,"2,15"
110013 MACHADINHO D'OESTE,128,128,"46156,94","35987,67",-,-,"10169,27",-,-,"360,6","360,6",265,"2,1",-,-
110014 NOVA BRASILANDIA D'OESTE,129,129,"48706,3","41736,77",-,-,"6969,53",-,-,"377,57","377,57",278,"2,2",-,-
110015 OURO PRETO DO OESTE,296,296,"101227,99","78165,24",-,-,"23062,75",-,-,"341,99","341,99",562,"1,9",3,"1,01"
110018 PIMENTA BUENO,235,235,"85059,56","69435,14",-,-,"15624,42",-,-,"361,96","361,96",706,3,3,"1,28"
110020 PORTO VELHO,2036,2036,"1911726,9","1514888,2",-,-,"396838,7",-,-,"938,96","938,96",14650,"7,2",92,"4,52"
110025 PRESIDENTE MEDICI,54,54,"19353,17","16597,29",-,-,"2755,88",-,-,"358,39","358,39",175,"3,2",1,"1,85"
110028 ROLIM DE MOURA,457,457,"196030,97","158209,2",-,-,"37821,77",-,-,"428,95","428,95",1176,"2,6",4,"0,88"
110030 VILHENA,521,521,"312335,67","254943,79",-,-,"57391,88",-,-,"599,49","599,49",2233,"4,3",20,"3,84"
110032 SAO MIGUEL DO GUAPORE,115,115,"44026,04","35284,65",-,-,"8741,39",-,-,"382,84","382,84",271,"2,4",-,-
110033 NOVA MAMORE,73,73,"27964,47","21703,6",-,-,"6260,87",-,-,"383,07","383,07",210,"2,9",-,-
110034 ALVORADA D'OESTE,75,75,"26057,24","19983,77",-,-,"6073,47",-,-,"347,43","347,43",186,"2,5",-,-
110037 ALTO ALEGRE DOS PARECIS,74,74,22443,"19486,47",-,-,"2956,53",-,-,"303,28","303,28",180,"2,4",-,-
110040 ALTO PARAISO,40,40,"10016,57","8522,84",-,-,"1493,73",-,-,"250,41","250,41",63,"1,6",-,-
110050 NOVO HORIZONTE DO OESTE,45,45,15096,"13180,94",-,-,"1915,06",-,-,"335,47","335,47",132,"2,9",-,-
110060 CACAULANDIA,27,27,"9030,46","7960,77",-,-,"1069,69",-,-,"334,46","334,46",65,"2,4",-,-
110070 CAMPO NOVO DE RONDONIA,87,87,"27942,07","23989,99",-,-,"3952,08",-,-,"321,17","321,17",196,"2,3",-,-
110100 GOVERNADOR JORGE TEIXEIRA,101,101,"31688,23","27303,03",-,-,"4385,2",-,-,"313,74","313,74",263,"2,6",-,-
110120 MINISTRO ANDREAZZA,41,41,"15879,47","14153,17",-,-,"1726,3",-,-,"387,3","387,3",135,"3,3",-,-
110130 MIRANTE DA SERRA,71,71,"22468,62","18748,54",-,-,"3720,08",-,-,"316,46","316,46",150,"2,1",-,-
110140 MONTE NEGRO,256,256,"90894,91","75136,8",-,-,"15758,11",-,-,"355,06","355,06",549,"2,1",-,-
110143 NOVA UNIAO,28,28,"8085,24","6967,6",-,-,"1117,64",-,-,"288,76","288,76",61,"2,2",-,-
110146 PIMENTEIRAS DO OESTE,3,3,"1295,46","1158,46",-,-,137,-,-,"431,82","431,82",7,"2,3",-,-
110149 SAO FRANCISCO DO GUAPORE,99,99,"33448,25","28531,69",-,-,"4916,56",-,-,"337,86","337,86",305,"3,1",-,-
110150 SERINGUEIRAS,103,103,"32728,42","26204,97",-,-,"6523,45",-,-,"317,75","317,75",248,"2,4",-,-
110155 TEIXEIROPOLIS,14,14,"4294,3","3754,64",-,-,"539,66",-,-,"306,74","306,74",25,"1,8",-,-
110160 THEOBROMA,12,12,"4394,58","3918,96",-,-,"475,62",-,-,"366,21","366,21",30,"2,5",-,-
110170 URUPA,36,36,"15150,2","13456,97",-,-,"1693,23",-,-,"420,84","420,84",81,"2,3",1,"2,78"
110175 VALE DO ANARI,17,17,"4002,03","3408,45",-,-,"593,58",-,-,"235,41","235,41",43,"2,5",-,-
110180 VALE DO PARAISO,16,16,"3913,9","3326,4",-,-,"587,5",-,-,"244,62","244,62",19,"1,2",-,-
120001 ACRELANDIA,127,127,"36324,55","30302,75",-,-,"6021,8",-,-,"286,02","286,02",307,"2,4",1,"0,79"
120005 ASSIS BRASIL,33,33,"12900,66","10310,42",-,-,"2590,24",-,-,"390,93","390,93",76,"2,3",-,-
120010 BRASILEIA,124,124,"44630,59","32148,4",-,-,"12482,19",-,-,"359,92","359,92",317,"2,6",1,"0,81"
120020 CRUZEIRO DO SUL,906,906,"431763,42","328250,43",-,-,"103512,99",-,-,"476,56","476,56",3348,"3,7",15,"1,66"
120030 FEIJO,96,96,"37759,87","27564,09",-,-,"10195,78",-,-,"393,33","393,33",272,"2,8",-,-
120032 JORDAO,9,9,"3215,43","2787,28",-,-,"428,15",-,-,"357,27","357,27",23,"2,6",-,-
120033 MANCIO LIMA,117,117,"47933,84","34007,61",-,-,"13926,23",-,-,"409,69","409,69",243,"2,1",-,-
120034 MANOEL URBANO,63,63,"16496,4","13152,88",-,-,"3343,52",-,-,"261,85","261,85",119,"1,9",-,-
120038 PLACIDO DE CASTRO,100,100,"29739,1","25215,35",-,-,"4523,75",-,-,"297,39","297,39",266,"2,7",-,-
120040 RIO BRANCO,2011,2011,"1471122,34","1104467,08",-,-,"366655,26",-,-,"731,54","731,54",10936,"5,4",84,"4,18"
120042 RODRIGUES ALVES,16,16,"1493,16","1257,19",-,-,"235,97",-,-,"93,32","93,32",16,1,-,-
120043 SANTA ROSA DO PURUS,28,28,"9877,29","8643,92",-,-,"1233,37",-,-,"352,76","352,76",93,"3,3",1,"3,57"
120045 SENADOR GUIOMARD,45,45,"15689,04","12261,52",-,-,"3427,52",-,-,"348,65","348,65",95,"2,1",-,-
120050 SENA MADUREIRA,239,239,"92835,7","71226,03",-,-,"21609,67",-,-,"388,43","388,43",727,3,1,"0,42"
120060 TARAUACA,164,164,"66176,14","45720,82",-,-,"20455,32",-,-,"403,51","403,51",325,2,-,-
120070 XAPURI,65,65,"18249,66","13935,62",-,-,"4314,04",-,-,"280,76","280,76",174,"2,7",3,"4,62"
130006 AMATURA,34,34,"14567,99","11718,86",-,-,"2849,13",-,-,"428,47","428,47",125,"3,7",-,-
130008 ANAMA,64,64,"24598,56","18119,75",-,-,"6478,81",-,-,"384,35","384,35",233,"3,6",-,-
130010 ANORI,51,51,"23350,52","17420,58",-,-,"5929,94",-,-,"457,85","457,85",146,"2,9",-,-
130014 APUI,83,83,"37721,76","28776,28",-,-,"8945,48",-,-,"454,48","454,48",274,"3,3",-,-
130050 BARREIRINHA,69,69,"28480,45","20896,45",-,-,7584,-,-,"412,76","412,76",193,"2,8",-,-
130060 BENJAMIN CONSTANT,105,105,"45216,95","31862,48",-,-,"13354,47",-,-,"430,64","430,64",408,"3,9",-,-
130063 BERURI,23,23,"10198,2","6154,8",-,-,"4043,4",-,-,"443,4","443,4",56,"2,4",-,-
130068 BOA VISTA DO RAMOS,39,39,"17636,99","12677,22",-,-,"4959,77",-,-,"452,23","452,23",90,"2,3",-,-
130070 BOCA DO ACRE,48,48,"15215,98","11973,5",-,-,"3242,48",-,-,317,317,152,"3,2",-,-
130080 BORBA,97,97,"44154,86","33330,52",-,-,"10824,34",-,-,"455,2","455,2",295,3,-,-
130083 CAAPIRANGA,15,15,"4799,88","3653,97",-,-,"1145,91",-,-,"319,99","319,99",53,"3,5",-,-
130090 CANUTAMA,40,40,"15180,83","10925,31",-,-,"4255,52",-,-,"379,52","379,52",106,"2,6",-,-
130100 CARAUARI,113,113,"46020,67","34538,72",-,-,"11481,95",-,-,"407,26","407,26",335,3,1,"0,88"
130110 CAREIRO,28,28,"8589,8","7081,97",-,-,"1507,83",-,-,"306,78","306,78",85,3,-,-
130120 COARI,251,251,"103792,55","74380,83",-,-,"29411,72",-,-,"413,52","413,52",701,"2,8",-,-
130130 CODAJAS,90,90,"42687,2","32709,07",-,-,"9978,13",-,-,"474,3","474,3",188,"2,1",-,-
130140 EIRUNEPE,234,234,"98655,65","71218,55",-,-,"27437,1",-,-,"421,61","421,61",721,"3,1",3,"1,28"
130160 FONTE BOA,166,166,"54615,28","41981,4",-,-,"12633,88",-,-,"329,01","329,01",868,"5,2",-,-
130165 GUAJARA,37,37,"11035,77","9388,04",-,-,"1647,73",-,-,"298,26","298,26",82,"2,2",-,-
130170 HUMAITA,140,140,"63356,16","45991,49",-,-,"17364,67",-,-,"452,54","452,54",364,"2,6",-,-
130180 IPIXUNA,71,71,"37513,31","28867,47",-,-,"8645,84",-,-,"528,36","528,36",230,"3,2",-,-
130185 IRANDUBA,145,145,"64659,75","49379,93",-,-,"15279,82",-,-,"445,93","445,93",320,"2,2",-,-
130190 ITACOATIARA,383,383,"177117,77","128018,26",-,-,"49099,51",-,-,"462,45","462,45",1187,"3,1",6,"1,57"
130200 ITAPIRANGA,27,27,"9065,04","6896,24",-,-,"2168,8",-,-,"335,74","335,74",62,"2,3",-,-
130210 JAPURA,8,8,"3177,85","2189,18",-,-,"988,67",-,-,"397,23","397,23",18,"2,3",-,-
130220 JURUA,4,4,"1019,94","694,38",-,-,"325,56",-,-,"254,98","254,98",12,3,-,-
130240 LABREA,95,95,"34006,85","24520,21",-,-,"9486,64",-,-,"357,97","357,97",415,"4,4",-,-
130250 MANACAPURU,397,397,"183772,96","131053,67",-,-,"52719,29",-,-,"462,9","462,9",1164,"2,9",-,-
130255 MANAQUIRI,34,34,"13605,24","10880,18",-,-,"2725,06",-,-,"400,15","400,15",106,"3,1",-,-
130260 MANAUS,9034,9079,"8640948,74","6869048,44",-,-,"1771900,3",-,-,"951,75","956,49",53519,"5,9",329,"3,64"
130270 MANICORE,146,146,"76422,54","61668,4",-,-,"14754,14",-,-,"523,44","523,44",422,"2,9",-,-
130280 MARAA,86,86,"34186,78","26523,52",-,-,"7663,26",-,-,"397,52","397,52",266,"3,1",-,-
130290 MAUES,192,192,"82600,58","60021,59",-,-,"22578,99",-,-,"430,21","430,21",621,"3,2",2,"1,04"
130300 NHAMUNDA,37,37,"12472,78","9381,66",-,-,"3091,12",-,-,"337,1","337,1",75,2,-,-
130310 NOVA OLINDA DO NORTE,108,108,"49971,43","35183,86",-,-,"14787,57",-,-,"462,7","462,7",311,"2,9",-,-
130320 NOVO AIRAO,34,34,"11812,17","8615,2",-,-,"3196,97",-,-,"347,42","347,42",88,"2,6",-,-
130330 NOVO ARIPUANA,90,90,"43799,22","33247,43",-,-,"10551,79",-,-,"486,66","486,66",271,3,-,-
130340 PARINTINS,440,440,"196653,74","135782,96",-,-,"60870,78",-,-,"446,94","446,94",1348,"3,1",-,-
130350 PAUINI,54,54,"19718,15","14425,72",-,-,"5292,43",-,-,"365,15","365,15",164,3,-,-
130353 PRESIDENTE FIGUEIREDO,139,139,"70022,85","53112,83",-,-,"16910,02",-,-,"503,76","503,76",538,"3,9",-,-
130356 RIO PRETO DA EVA,22,22,"9130,62","7424,64",-,-,"1705,98",-,-,"415,03","415,03",130,"5,9",-,-
130370 SANTO ANTONIO DO ICA,32,32,"11402,77","8862,82",-,-,"2539,95",-,-,"356,34","356,34",128,4,-,-
130380 SAO GABRIEL DA CACHOEIRA,105,105,"47061,05","33637,38",-,-,"13423,67",-,-,"448,2","448,2",316,3,-,-
130390 SAO PAULO DE OLIVENCA,109,109,"43476,11","33292,24",-,-,"10183,87",-,-,"398,86","398,86",285,"2,6",-,-
130395 SAO SEBASTIAO DO UATUMA,33,33,"15724,77","11596,25",-,-,"4128,52",-,-,"476,51","476,51",88,"2,7",-,-
130400 SILVES,27,27,"10583,05","9187,59",-,-,"1395,46",-,-,"391,96","391,96",63,"2,3",-,-
130406 TABATINGA,146,146,"71508,04","48263,36",-,-,"23244,68",-,-,"489,78","489,78",539,"3,7",2,"1,37"
130420 TEFE,310,310,"128193,98","93045,78",-,-,"35148,2",-,-,"413,53","413,53",1008,"3,3",-,-
130423 TONANTINS,72,72,"30606,7","21433,97",-,-,"9172,73",-,-,"425,09","425,09",177,"2,5",-,-
130430 URUCARA,9,9,"3676,46","2524,46",-,-,1152,-,-,"408,5","408,5",26,"2,9",-,-
130440 URUCURITUBA,23,23,"10812,18","6923,28",-,-,"3888,9",-,-,"470,09","470,09",47,2,-,-
140005 ALTO ALEGRE,30,30,"10929,26","9360,04",-,-,"1569,22",-,-,"364,31","364,31",49,"1,6",-,-
140010 BOA VISTA,2482,2482,"1651526,09","1252197,18",-,-,"399328,91",-,-,"665,4","665,4",13033,"5,3",62,"2,5"
