Período:Jul/2010,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,190,190,"67192,18","56621,11",-,-,"10571,07",-,-,"353,64","353,64",408,"2,1",-,-
110002 ARIQUEMES,580,580,"459093,93","370889,74",-,-,"88204,19",-,-,"791,54","791,54",1835,"3,2",21,"3,62"
110003 CABIXI,28,28,"10923,05","8580,34",-,-,"2342,71",-,-,"390,11","390,11",57,2,-,-
110004 CACOAL,489,489,"202243,04","156755,94",-,-,"45487,1",-,-,"413,58","413,58",1809,"3,7",5,"1,02"
110005 CEREJEIRAS,108,108,"37963,48","31804,48",-,-,6159,-,-,"351,51","351,51",279,"2,6",-,-
110006 COLORADO DO OESTE,125,125,"43670,43","35880,54",-,-,"7789,89",-,-,"349,36","349,36",307,"2,5",-,-
110007 CORUMBIARA,28,28,"8418,04","7308,83",-,-,"1109,21",-,-,"300,64","300,64",71,"2,5",-,-
110009 ESPIGAO D'OESTE,147,147,"30470,18","25602,26",-,-,"4867,92",-,-,"207,28","207,28",336,"2,3",2,"1,36"
110010 GUAJARA-MIRIM,238,238,"99593,5","76659,98",-,-,"22933,52",-,-,"418,46","418,46",787,"3,3",1,"0,42"
110012 JI-PARANA,823,823,"432190,93","340803,59",-,-,"91387,34",-,-,"525,14","525,14",3156,"3,8",23,"2,79"
110013 MACHADINHO D'OESTE,116,116,"41737,05","33835,89",-,-,"7901,16",-,-,"359,8","359,8",276,"2,4",-,-
110014 NOVA BRASILANDIA D'OESTE,129,129,"47101,36","39986,78",-,-,"7114,58",-,-,"365,13","365,13",312,"2,4",-,-
110015 OURO PRETO DO OESTE,298,298,"101434,39","77901,04",-,-,"23533,35",-,-,"340,38","340,38",512,"1,7",2,"0,67"
110018 PIMENTA BUENO,235,235,"85409,82","71449,25",-,-,"13960,57",-,-,"363,45","363,45",677,"2,9",6,"2,55"
110020 PORTO VELHO,2546,2546,"2223817,78","1753176,43",-,-,"470641,35",-,-,"873,46","873,46",16952,"6,7",112,"4,4"
110025 PRESIDENTE MEDICI,88,88,"33002,89","26663,51",-,-,"6339,38",-,-,"375,03","375,03",241,"2,7",3,"3,41"
110028 ROLIM DE MOURA,394,394,"166208,2","129615,85",-,-,"36592,35",-,-,"421,85","421,85",916,"2,3",6,"1,52"
110030 VILHENA,521,521,"306348,07","248152,31",-,-,"58195,76",-,-,588,588,2310,"4,4",18,"3,45"
110032 SAO MIGUEL DO GUAPORE,107,107,"39641,72","32433,14",-,-,"7208,58",-,-,"370,48","370,48",323,3,-,-
