Período:Abr/2011,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,176,176,"63554,27","53421,37",-,-,"10132,9",-,-,"361,1","361,1",424,"2,4",1,"0,57"
110002 ARIQUEMES,514,514,"310114,19","244282,38",-,-,"65831,81",-,-,"603,34","603,34",1719,"3,3",9,"1,75"
110003 CABIXI,24,24,"7326,52","6192,5",-,-,"1134,02",-,-,"305,27","305,27",60,"2,5",-,-
110004 CACOAL,561,561,"221774,64",174085,-,-,"47689,64",-,-,"395,32","395,32",1902,"3,4",11,"1,96"
110005 CEREJEIRAS,150,150,54960,"43475,91",-,-,"11484,09",-,-,"366,4","366,4",389,"2,6",-,-
110006 COLORADO DO OESTE,181,181,"60463,69","50402,25",-,-,"10061,44",-,-,"334,05","334,05",474,"2,6",5,"2,76"
110008 COSTA MARQUES,55,55,"25121,51","18775,84",-,-,"6345,67",-,-,"456,75","456,75",142,"2,6",-,-
110009 ESPIGAO D'OESTE,154,154,"46309,15","37103,4",-,-,"9205,75",-,-,"300,71","300,71",411,"2,7",5,"3,25"
110010 GUAJARA-MIRIM,285,285,"110999,71","85446,11",-,-,"25553,6",-,-,"389,47","389,47",748,"2,6",2,"0,7"
110011 JARU,233,233,"84856,65","60343,59",-,-,"24513,06",-,-,"364,19","364,19",495,"2,1",2,"0,86"
110012 JI-PARANA,899,899,"532885,41","423612,64",-,-,"109272,77",-,-,"592,75","592,75",3375,"3,8",35,"3,89"
110013 MACHADINHO D'OESTE,171,171,"60353,23","48298,95",-,-,"12054,28",-,-,"352,94","352,94",363,"2,1",2,"1,17"
110014 NOVA BRASILANDIA D'OESTE,129,129,"48116,35","40613,38",-,-,"7502,97",-,-,"372,99","372,99",277,"2,1",-,-
110015 OURO PRETO DO OESTE,311,311,"102161,48","79740,29",-,-,"22421,19",-,-,"328,49","328,49",624,2,1,"0,32"
110018 PIMENTA BUENO,235,235,"89985,76","75418,39",-,-,"14567,37",-,-,"382,92","382,92",681,"2,9",2,"0,85"
110020 PORTO VELHO,2183,2183,"2209006,35","1759177,6",-,-,"449828,75",-,-,"1011,91","1011,91",15325,7,90,"4,12"
110025 PRESIDENTE MEDICI,62,62,"22983,77","19991,59",-,-,"2992,18",-,-,"370,71","370,71",174,"2,8",-,-
110028 ROLIM DE MOURA,472,472,"206812,23","168314,26",-,-,"38497,97",-,-,"438,16","438,16",1459,"3,1",3,"0,64"
110029 SANTA LUZIA D'OESTE,74,74,"28635,94","24904,14",-,-,"3731,8",-,-,"386,97","386,97",292,"3,9",-,-
110030 VILHENA,521,521,"341767,72","274482,36",-,-,"67285,36",-,-,"655,98","655,98",2061,4,25,"4,8"
110032 SAO MIGUEL DO GUAPORE,148,148,"51481,95","42049,15",-,-,"9432,8",-,-,"347,85","347,85",284,"1,9",-,-
110033 NOVA MAMORE,67,67,"21194,5","16295,78",-,-,"4898,72",-,-,"316,34","316,34",164,"2,4",-,-
110034 ALVORADA D'OESTE,94,94,"27448,9","22352,63",-,-,"5096,27",-,-,"292,01","292,01",279,3,-,-
110037 ALTO ALEGRE DOS PARECIS,58,58,"20483,05","17959,05",-,-,2524,-,-,"353,16","353,16",136,"2,3",-,-
110040 ALTO PARAISO,59,59,"14117,17","11802,91",-,-,"2314,26",-,-,"239,27","239,27",90,"1,5",-,-
110050 NOVO HORIZONTE DO OESTE,46,46,"16159,68","13960,87",-,-,"2198,81",-,-,"351,3","351,3",105,"2,3",-,-
110060 CACAULANDIA,27,27,"7084,21","6093,58",-,-,"990,63",-,-,"262,38","262,38",87,"3,2",-,-
110070 CAMPO NOVO DE RONDONIA,88,88,"31513,97","27172,6",-,-,"4341,37",-,-,"358,11","358,11",208,"2,4",-,-
110094 CUJUBIM,44,44,"12622,26","10704,71",-,-,"1917,55",-,-,"286,87","286,87",244,"5,5",-,-
110100 GOVERNADOR JORGE TEIXEIRA,37,37,"8917,55","7734,08",-,-,"1183,47",-,-,"241,01","241,01",78,"2,1",-,-
110110 ITAPUA DO OESTE,4,4,"1012,88","834,88",-,-,178,-,-,"253,22","253,22",4,1,-,-
110120 MINISTRO ANDREAZZA,41,41,"15306,14","13361,48",-,-,"1944,66",-,-,"373,32","373,32",144,"3,5",-,-
110130 MIRANTE DA SERRA,104,104,"38097,95","32822,27",-,-,"5275,68",-,-,"366,33","366,33",226,"2,2",-,-
110140 MONTE NEGRO,179,179,"61307,86","50566,63",-,-,"10741,23",-,-,"342,5","342,5",373,"2,1",-,-
110143 NOVA UNIAO,30,30,"9201,07","8078,88",-,-,"1122,19",-,-,"306,7","306,7",66,"2,2",-,-
110145 PARECIS,10,10,"442,2","333,4",-,-,"108,8",-,-,"44,22","44,22",13,"1,3",-,-
110146 PIMENTEIRAS DO OESTE,7,7,"1604,15","1323,8",-,-,"280,35",-,-,"229,16","229,16",15,"2,1",-,-
110149 SAO FRANCISCO DO GUAPORE,82,82,"29124,95","24250,19",-,-,"4874,76",-,-,"355,18","355,18",219,"2,7",-,-
110150 SERINGUEIRAS,92,92,"36803,24",28302,-,-,"8501,24",-,-,"400,04","400,04",218,"2,4",-,-
110155 TEIXEIROPOLIS,2,2,"374,26","321,24",-,-,"53,02",-,-,"187,13","187,13",2,1,-,-
110160 THEOBROMA,23,23,"5084,46","4351,72",-,-,"732,74",-,-,"221,06","221,06",73,"3,2",-,-
110170 URUPA,44,44,"14425,24","12671,36",-,-,"1753,88",-,-,"327,85","327,85",125,"2,8",1,"2,27"
110175 VALE DO ANARI,25,25,"6867,81","5974,36",-,-,"893,45",-,-,"274,71","274,71",57,"2,3",-,-
110180 VALE DO PARAISO,10,10,"3307,24","2887,4",-,-,"419,84",-,-,"330,72","330,72",11,"1,1",-,-
120005 ASSIS BRASIL,26,26,"7539,93","5183,64",-,-,"2356,29",-,-,290,290,43,"1,7",-,-
120010 BRASILEIA,170,170,"66937,98","48226,05",-,-,"18711,93",-,-,"393,75","393,75",440,"2,6",1,"0,59"
120020 CRUZEIRO DO SUL,877,877,"413040,9","311487,61",-,-,"101553,29",-,-,"470,97","470,97",3133,"3,6",9,"1,03"
120030 FEIJO,50,50,"22681,84","15855,35",-,-,"6826,49",-,-,"453,64","453,64",121,"2,4",-,-
120033 MANCIO LIMA,22,22,"10121,55","6773,43",-,-,"3348,12",-,-,"460,07","460,07",37,"1,7",-,-
120034 MANOEL URBANO,70,70,"19275,76","16275,93",-,-,"2999,83",-,-,"275,37","275,37",155,"2,2",-,-
120038 PLACIDO DE CASTRO,94,94,"31442,25","26876,91",-,-,"4565,34",-,-,"334,49","334,49",309,"3,3",-,-
120040 RIO BRANCO,2450,2450,"1890203,66","1438821,4",-,-,"451382,26",-,-,"771,51","771,51",13096,"5,3",126,"5,14"
120042 RODRIGUES ALVES,34,34,"3242,4","2713,02",-,-,"529,38",-,-,"95,36","95,36",33,1,-,-
120043 SANTA ROSA DO PURUS,38,38,"12074,71","10497,8",-,-,"1576,91",-,-,"317,76","317,76",106,"2,8",-,-
120045 SENADOR GUIOMARD,70,70,"19898,2","16521,54",-,-,"3376,66",-,-,"284,26","284,26",171,"2,4",-,-
120050 SENA MADUREIRA,270,270,"103928,56","82241,25",-,-,"21687,31",-,-,"384,92","384,92",751,"2,8",2,"0,74"
120060 TARAUACA,146,146,"54269,29","37553,9",-,-,"16715,39",-,-,"371,71","371,71",396,"2,7",3,"2,05"
120070 XAPURI,95,95,"30704,44","24590,06",-,-,"6114,38",-,-,"323,2","323,2",304,"3,2",4,"4,21"
130002 ALVARAES,2,2,"398,66","340,24",-,-,"58,42",-,-,"199,33","199,33",10,5,-,-
130008 ANAMA,31,31,"9508,76","7065,17",-,-,"2443,59",-,-,"306,73","306,73",76,"2,5",-,-
130010 ANORI,40,40,"14447,81","10407,29",-,-,"4040,52",-,-,"361,2","361,2",126,"3,1",-,-
