Período:Fev/2011,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,161,161,"58533,38","49456,2",-,-,"9077,18",-,-,"363,56","363,56",380,"2,4",1,"0,62"
110002 ARIQUEMES,418,418,"233673,43","182512,88",-,-,"51160,55",-,-,"559,03","559,03",1160,"2,8",12,"2,87"
110003 CABIXI,21,21,"6951,6","5506,55",-,-,"1445,05",-,-,"331,03","331,03",62,3,-,-
110004 CACOAL,457,457,"183676,26","140397,95",-,-,"43278,31",-,-,"401,92","401,92",1440,"3,2",14,"3,06"
110005 CEREJEIRAS,140,140,"43061,27","35624,25",-,-,"7437,02",-,-,"307,58","307,58",357,"2,5",-,-
110006 COLORADO DO OESTE,103,103,"34422,76","28378,83",-,-,"6043,93",-,-,"334,2","334,2",276,"2,7",1,"0,97"
110008 COSTA MARQUES,54,54,"19746,43","15668,44",-,-,"4077,99",-,-,"365,67","365,67",148,"2,7",-,-
110009 ESPIGAO D'OESTE,84,84,"15877,48","12827,95",-,-,"3049,53",-,-,"189,02","189,02",283,"3,4",-,-
110010 GUAJARA-MIRIM,250,250,"92225,19","69705,91",-,-,"22519,28",-,-,"368,9","368,9",702,"2,8",6,"2,4"
110011 JARU,200,200,"64258,71","45922,74",-,-,"18335,97",-,-,"321,29","321,29",392,2,2,1
110012 JI-PARANA,788,788,"409854,87","320074,15",-,-,"89780,72",-,-,"520,12","520,12",3050,"3,9",21,"2,66"
110013 MACHADINHO D'OESTE,133,133,"45612,49","35319,41",-,-,"10293,08",-,-,"342,95","342,95",280,"2,1",-,-
110014 NOVA BRASILANDIA D'OESTE,129,129,"41454,5","35768,76",-,-,"5685,74",-,-,"321,35","321,35",300,"2,3",-,-
110015 OURO PRETO DO OESTE,215,215,"75564,96","61250,03",-,-,"14314,93",-,-,"351,46","351,46",390,"1,8",3,"1,4"
110018 PIMENTA BUENO,235,235,"69775,4","57939,96",-,-,"11835,44",-,-,"296,92","296,92",627,"2,7",2,"0,85"
110020 PORTO VELHO,2142,2142,"1522982,67","1187612,54",-,-,"335370,13",-,-,"711,01","711,01",13880,"6,5",50,"2,33"
110025 PRESIDENTE MEDICI,43,43,"14510,78","12532,42",-,-,"1978,36",-,-,"337,46","337,46",147,"3,4",2,"4,65"
110028 ROLIM DE MOURA,369,369,"142920,07","114454,49",-,-,"28465,58",-,-,"387,32","387,32",928,"2,5",2,"0,54"
110029 SANTA LUZIA D'OESTE,51,51,"13679,05","11692,97",-,-,"1986,08",-,-,"268,22","268,22",204,4,-,-
110030 VILHENA,521,521,"335812,4","271371,71",-,-,"64440,69",-,-,"644,55","644,55",2264,"4,3",25,"4,8"
110032 SAO MIGUEL DO GUAPORE,170,170,"58893,75","47371,09",-,-,"11522,66",-,-,"346,43","346,43",433,"2,5",-,-
110033 NOVA MAMORE,53,53,"19229,5","14527,61",-,-,"4701,89",-,-,"362,82","362,82",152,"2,9",-,-
110034 ALVORADA D'OESTE,92,92,"26109,98","20815,53",-,-,"5294,45",-,-,"283,8","283,8",227,"2,5",-,-
110037 ALTO ALEGRE DOS PARECIS,75,75,"25901,42","22427,86",-,-,"3473,56",-,-,"345,35","345,35",175,"2,3",-,-
110040 ALTO PARAISO,33,33,"7434,86","6208,97",-,-,"1225,89",-,-,"225,3","225,3",40,"1,2",-,-
110050 NOVO HORIZONTE DO OESTE,45,45,"13730,67","11574,24",-,-,"2156,43",-,-,"305,13","305,13",127,"2,8",-,-
110060 CACAULANDIA,27,27,"7849,44","6772,77",-,-,"1076,67",-,-,"290,72","290,72",65,"2,4",-,-
110070 CAMPO NOVO DE RONDONIA,88,88,"24977,55","21672,15",-,-,"3305,4",-,-,"283,84","283,84",207,"2,4",-,-
110094 CUJUBIM,44,44,"14301,3","12297,15",-,-,"2004,15",-,-,"325,03","325,03",161,"3,7",-,-
110100 GOVERNADOR JORGE TEIXEIRA,36,36,"10996,67","9523,83",-,-,"1472,84",-,-,"305,46","305,46",99,"2,8",-,-
110110 ITAPUA DO OESTE,2,2,"391,28","327,72",-,-,"63,56",-,-,"195,64","195,64",4,2,-,-
110120 MINISTRO ANDREAZZA,41,41,"18335,96","16042,84",-,-,"2293,12",-,-,"447,22","447,22",149,"3,6",-,-
110130 MIRANTE DA SERRA,104,104,"31582,13","27020,19",-,-,"4561,94",-,-,"303,67","303,67",216,"2,1",-,-
110140 MONTE NEGRO,258,258,"82333,65","68432,95",-,-,"13900,7",-,-,"319,12","319,12",542,"2,1",-,-
110143 NOVA UNIAO,26,26,"9503,17","8240,05",-,-,"1263,12",-,-,"365,51","365,51",58,"2,2",-,-
110145 PARECIS,13,13,"584,01","440,35",-,-,"143,66",-,-,"44,92","44,92",15,"1,2",-,-
110146 PIMENTEIRAS DO OESTE,12,12,"3562,45","2991,37",-,-,"571,08",-,-,"296,87","296,87",28,"2,3",-,-
110149 SAO FRANCISCO DO GUAPORE,90,90,"27621,9","23407,12",-,-,"4214,78",-,-,"306,91","306,91",293,"3,3",-,-
110150 SERINGUEIRAS,81,81,"23059,56","17226,85",-,-,"5832,71",-,-,"284,69","284,69",143,"1,8",-,-
110155 TEIXEIROPOLIS,6,6,"1646,38","1447,8",-,-,"198,58",-,-,"274,4","274,4",11,"1,8",-,-
110160 THEOBROMA,14,14,"4266,28","3666,55",-,-,"599,73",-,-,"304,73","304,73",58,"4,1",-,-
110170 URUPA,64,64,"25647,06","22914,57",-,-,"2732,49",-,-,"400,74","400,74",193,3,1,"1,56"
110175 VALE DO ANARI,14,14,"3125,12","2638,89",-,-,"486,23",-,-,"223,22","223,22",30,"2,1",-,-
110180 VALE DO PARAISO,10,10,"2940,16","2556,88",-,-,"383,28",-,-,"294,02","294,02",11,"1,1",-,-
120001 ACRELANDIA,48,48,"15474,18","12716,45",-,-,"2757,73",-,-,"322,38","322,38",110,"2,3",-,-
120005 ASSIS BRASIL,35,35,"12134,99","8690,01",-,-,"3444,98",-,-,"346,71","346,71",64,"1,8",-,-
120010 BRASILEIA,137,137,"51236,58","38424,77",-,-,"12811,81",-,-,"373,99","373,99",394,"2,9",-,-
