Período:Jul/2011,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,165,165,"54999,97","45825,85",-,-,"9174,12",-,-,"333,33","333,33",400,"2,4",3,"1,82"
110002 ARIQUEMES,509,509,"325987,48","254459,01",-,-,"71528,47",-,-,"640,45","640,45",1986,"3,9",12,"2,36"
110003 CABIXI,29,29,"8594,86","7480,1",-,-,"1114,76",-,-,"296,37","296,37",64,"2,2",-,-
110004 CACOAL,556,556,"219727,12","170581,95",-,-,"49145,17",-,-,"395,19","395,19",1837,"3,3",7,"1,26"
110005 CEREJEIRAS,131,131,"47588,45","38293,59",-,-,"9294,86",-,-,"363,27","363,27",342,"2,6",1,"0,76"
110006 COLORADO DO OESTE,98,98,"35387,66","28436,19",-,-,"6951,47",-,-,"361,1","361,1",254,"2,6",1,"1,02"
110008 COSTA MARQUES,50,50,"21389,08","17185,97",-,-,"4203,11",-,-,"427,78","427,78",138,"2,8",-,-
110009 ESPIGAO D'OESTE,131,131,"38810,06","31378,89",-,-,"7431,17",-,-,"296,26","296,26",326,"2,5",3,"2,29"
110010 GUAJARA-MIRIM,256,256,"95339,73","71561,89",-,-,"23777,84",-,-,"372,42","372,42",702,"2,7",4,"1,56"
110011 JARU,200,200,"70697,09","52407,09",-,-,18290,-,-,"353,49","353,49",409,2,2,1
110012 JI-PARANA,793,793,"391398,77","307539,63",-,-,"83859,14",-,-,"493,57","493,57",2855,"3,6",25,"3,15"
110013 MACHADINHO D'OESTE,127,127,"38008,76","30064,05",-,-,"7944,71",-,-,"299,28","299,28",259,2,-,-
110014 NOVA BRASILANDIA D'OESTE,129,129,"47887,69","40533,95",-,-,"7353,74",-,-,"371,22","371,22",318,"2,5",-,-
110015 OURO PRETO DO OESTE,248,248,"76201,72","60392,99",-,-,"15808,73",-,-,"307,26","307,26",559,"2,3",4,"1,61"
110018 PIMENTA BUENO,231,231,"71864,77","58966,85",-,-,"12897,92",-,-,"311,1","311,1",588,"2,5",3,"1,3"
110020 PORTO VELHO,2332,2332,"2028368,39","1597459,35",-,-,"430909,04",-,-,"869,8","869,8",16810,"7,2",64,"2,74"
110025 PRESIDENTE MEDICI,67,67,"21202,17","18330,81",-,-,"2871,36",-,-,"316,45","316,45",193,"2,9",5,"7,46"
110028 ROLIM DE MOURA,356,356,"141026,58","113036,22",-,-,"27990,36",-,-,"396,14","396,14",1085,3,6,"1,69"
110029 SANTA LUZIA D'OESTE,64,64,"21219,04","18449,29",-,-,"2769,75",-,-,"331,55","331,55",230,"3,6",-,-
110030 VILHENA,521,521,"367282,39","300218,99",-,-,"67063,4",-,-,"704,96","704,96",2214,"4,2",26,"4,99"
110032 SAO MIGUEL DO GUAPORE,118,118,"43776,39","35331,86",-,-,"8444,53",-,-,"370,99","370,99",272,"2,3",-,-
110033 NOVA MAMORE,66,66,"21810,42","16372,63",-,-,"5437,79",-,-,"330,46","330,46",177,"2,7",1,"1,52"
110034 ALVORADA D'OESTE,38,38,"12275,58","9451,63",-,-,"2823,95",-,-,"323,04","323,04",96,"2,5",-,-
110037 ALTO ALEGRE DOS PARECIS,60,60,"19618,55","17292,24",-,-,"2326,31",-,-,"326,98","326,98",160,"2,7",-,-
110040 ALTO PARAISO,40,40,"10075,7","8737,49",-,-,"1338,21",-,-,"251,89","251,89",67,"1,7",-,-
110050 NOVO HORIZONTE DO OESTE,45,45,"16839,5","14687,1",-,-,"2152,4",-,-,"374,21","374,21",153,"3,4",-,-
110060 CACAULANDIA,27,27,"6543,05","5632,78",-,-,"910,27",-,-,"242,34","242,34",248,"9,2",-,-
110070 CAMPO NOVO DE RONDONIA,99,99,"34176,53","29590,52",-,-,"4586,01",-,-,"345,22","345,22",272,"2,7",-,-
