Período:Ago/2011,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,148,148,"50083,46","40241,62",-,-,"9841,84",-,-,"338,4","338,4",334,"2,3",-,-
110002 ARIQUEMES,471,471,"296712,83","228844,4",-,-,"67868,43",-,-,"629,96","629,96",1894,4,11,"2,34"
110003 CABIXI,30,30,"9135,25","7747,22",-,-,"1388,03",-,-,"304,51","304,51",73,"2,4",-,-
110004 CACOAL,566,566,"216173,83","165315,05",-,-,"50858,78",-,-,"381,93","381,93",1752,"3,1",10,"1,77"
110005 CEREJEIRAS,150,150,"50040,04","40874,42",-,-,"9165,62",-,-,"333,6","333,6",403,"2,7",-,-
110006 COLORADO DO OESTE,161,161,"54894,49","45585,6",-,-,"9308,89",-,-,"340,96","340,96",374,"2,3",-,-
110008 COSTA MARQUES,55,55,"22190,81","17514,91",-,-,"4675,9",-,-,"403,47","403,47",147,"2,7",-,-
110009 ESPIGAO D'OESTE,144,144,"42941,02","33518,81",-,-,"9422,21",-,-,"298,2","298,2",349,"2,4",3,"2,08"
110010 GUAJARA-MIRIM,264,264,"103735,03","75396,84",-,-,"28338,19",-,-,"392,94","392,94",675,"2,6",4,"1,52"
110011 JARU,249,249,"94986,43","68387,08",-,-,"26599,35",-,-,"381,47","381,47",516,"2,1",5,"2,01"
110012 JI-PARANA,824,824,"430496,15","339399,7",-,-,"91096,45",-,-,"522,45","522,45",3433,"4,2",29,"3,52"
110013 MACHADINHO D'OESTE,126,126,"41220,25","31467,51",-,-,"9752,74",-,-,"327,14","327,14",257,2,-,-
110014 NOVA BRASILANDIA D'OESTE,129,129,"37187,66","31080,79",-,-,"6106,87",-,-,"288,28","288,28",314,"2,4",1,"0,78"
110015 OURO PRETO DO OESTE,87,87,"23828,04","20832,34",-,-,"2995,7",-,-,"273,89","273,89",202,"2,3",3,"3,45"
110018 PIMENTA BUENO,233,233,"72568,05","59520,61",-,-,"13047,44",-,-,"311,45","311,45",615,"2,6",2,"0,86"
110020 PORTO VELHO,2744,2744,"2798613,86","2273204,81",-,-,"525409,05",-,-,"1019,9","1019,9",22834,"8,3",149,"5,43"
110025 PRESIDENTE MEDICI,61,61,"18304,3","16220,14",-,-,"2084,16",-,-,"300,07","300,07",205,"3,4",1,"1,64"
110028 ROLIM DE MOURA,221,221,"83739,26","67130,17",-,-,"16609,09",-,-,"378,91","378,91",681,"3,1",6,"2,71"
110029 SANTA LUZIA D'OESTE,64,64,"23074,23","20244,34",-,-,"2829,89",-,-,"360,53","360,53",271,"4,2",-,-
110030 VILHENA,521,521,"326239,98","266208,11",-,-,"60031,87",-,-,"626,18","626,18",2198,"4,2",22,"4,22"
110032 SAO MIGUEL DO GUAPORE,126,126,"42847,35","35350,4",-,-,"7496,95",-,-,"340,06","340,06",328,"2,6",3,"2,38"
110033 NOVA MAMORE,66,66,"23169,94","17383,6",-,-,"5786,34",-,-,"351,06","351,06",175,"2,7",-,-
110034 ALVORADA D'OESTE,49,49,"14986,37","11560,87",-,-,"3425,5",-,-,"305,84","305,84",136,"2,8",-,-
110037 ALTO ALEGRE DOS PARECIS,25,25,"6208,37","5326,36",-,-,"882,01",-,-,"248,33","248,33",67,"2,7",-,-
110040 ALTO PARAISO,34,34,"9107,62","7858,56",-,-,"1249,06",-,-,"267,87","267,87",62,"1,8",1,"2,94"
110050 NOVO HORIZONTE DO OESTE,45,45,"14741,09","12843,82",-,-,"1897,27",-,-,"327,58","327,58",148,"3,3",-,-
110060 CACAULANDIA,21,21,"7095,92","6218,06",-,-,"877,86",-,-,"337,9","337,9",64,3,-,-
110070 CAMPO NOVO DE RONDONIA,88,88,30534,"26200,36",-,-,"4333,64",-,-,"346,98","346,98",218,"2,5",-,-
110094 CUJUBIM,44,44,"14511,82","12370,99",-,-,"2140,83",-,-,"329,81","329,81",171,"3,9",-,-
110100 GOVERNADOR JORGE TEIXEIRA,40,40,"8776,69","7585,87",-,-,"1190,82",-,-,"219,42","219,42",94,"2,4",-,-
110110 ITAPUA DO OESTE,4,4,"986,3","830,06",-,-,"156,24",-,-,"246,58","246,58",8,2,-,-
110120 MINISTRO ANDREAZZA,41,41,"15928,43","13952,16",-,-,"1976,27",-,-,"388,5","388,5",117,"2,9",-,-
110130 MIRANTE DA SERRA,88,88,"30422,17","26244,02",-,-,"4178,15",-,-,"345,71","345,71",197,"2,2",-,-
110140 MONTE NEGRO,186,186,"68813,28","55361,48",-,-,"13451,8",-,-,"369,96","369,96",387,"2,1",-,-
