Período:Set/2011,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,154,154,"49310,8","40547,28",-,-,"8763,52",-,-,"320,2","320,2",350,"2,3",-,-
110002 ARIQUEMES,463,463,"285901,39","221830,45",-,-,"64070,94",-,-,"617,5","617,5",1764,"3,8",10,"2,16"
110003 CABIXI,18,18,5392,"4398,86",-,-,"993,14",-,-,"299,56","299,56",37,"2,1",-,-
110004 CACOAL,569,569,"204057,69","160627,38",-,-,"43430,31",-,-,"358,63","358,63",1823,"3,2",14,"2,46"
110005 CEREJEIRAS,161,161,"52536,18","43288,01",-,-,"9248,17",-,-,"326,31","326,31",391,"2,4",-,-
110006 COLORADO DO OESTE,176,176,"55365,67","45639,57",-,-,"9726,1",-,-,"314,58","314,58",405,"2,3",-,-
110008 COSTA MARQUES,28,28,"10271,38","7981,71",-,-,"2289,67",-,-,"366,83","366,83",76,"2,7",-,-
110009 ESPIGAO D'OESTE,144,144,"46381,56","36899,52",-,-,"9482,04",-,-,"322,09","322,09",395,"2,7",2,"1,39"
110010 GUAJARA-MIRIM,258,258,"100580,17","73476,44",-,-,"27103,73",-,-,"389,85","389,85",676,"2,6",3,"1,16"
110011 JARU,188,188,"70953,57","49191,43",-,-,"21762,14",-,-,"377,41","377,41",379,2,1,"0,53"
110012 JI-PARANA,760,760,"411727,66","323361,89",-,-,"88365,77",-,-,"541,75","541,75",3343,"4,4",29,"3,82"
110013 MACHADINHO D'OESTE,120,120,"40829,62","31880,09",-,-,"8949,53",-,-,"340,25","340,25",266,"2,2",-,-
110014 NOVA BRASILANDIA D'OESTE,129,129,"42805,37","36008,16",-,-,"6797,21",-,-,"331,82","331,82",277,"2,1",1,"0,78"
110015 OURO PRETO DO OESTE,365,365,"112352,99","85986,61",-,-,"26366,38",-,-,"307,82","307,82",685,"1,9",4,"1,1"
110018 PIMENTA BUENO,235,235,"81895,53","65169,1",-,-,"16726,43",-,-,"348,49","348,49",592,"2,5",3,"1,28"
110020 PORTO VELHO,3085,3085,"3041356,55","2441046,84",-,-,"600309,71",-,-,"985,85","985,85",25892,"8,4",170,"5,51"
110025 PRESIDENTE MEDICI,66,66,"19422,76","16808,13",-,-,"2614,63",-,-,"294,28","294,28",208,"3,2",1,"1,52"
110028 ROLIM DE MOURA,475,475,"186033,04","146388,17",-,-,"39644,87",-,-,"391,65","391,65",1636,"3,4",7,"1,47"
110029 SANTA LUZIA D'OESTE,60,60,"21022,42","18439,06",-,-,"2583,36",-,-,"350,37","350,37",226,"3,8",-,-
110030 VILHENA,521,521,"299547,96","237095,44",-,-,"62452,52",-,-,"574,95","574,95",2068,4,21,"4,03"
110032 SAO MIGUEL DO GUAPORE,95,95,"31821,82","25545,7",-,-,"6276,12",-,-,"334,97","334,97",216,"2,3",2,"2,11"
110033 NOVA MAMORE,81,81,"29042,54","21088,41",-,-,"7954,13",-,-,"358,55","358,55",232,"2,9",-,-
110034 ALVORADA D'OESTE,121,121,"36728,16","29609,67",-,-,"7118,49",-,-,"303,54","303,54",338,"2,8",-,-
110037 ALTO ALEGRE DOS PARECIS,75,75,"23038,57","19993,14",-,-,"3045,43",-,-,"307,18","307,18",207,"2,8",-,-
110040 ALTO PARAISO,62,62,"15543,67","13097,12",-,-,"2446,55",-,-,"250,7","250,7",94,"1,5",-,-
110050 NOVO HORIZONTE DO OESTE,45,45,"13787,58","11865,15",-,-,"1922,43",-,-,"306,39","306,39",99,"2,2",-,-
110060 CACAULANDIA,22,22,"5300,71","4480,17",-,-,"820,54",-,-,"240,94","240,94",67,3,-,-
110070 CAMPO NOVO DE RONDONIA,79,79,"29869,61","25808,58",-,-,"4061,03",-,-,"378,1","378,1",192,"2,4",-,-
110094 CUJUBIM,44,44,"13645,53","11589,96",-,-,"2055,57",-,-,"310,13","310,13",213,"4,8",-,-
110100 GOVERNADOR JORGE TEIXEIRA,29,29,"8476,65","7332,43",-,-,"1144,22",-,-,"292,3","292,3",69,"2,4",-,-
110110 ITAPUA DO OESTE,1,1,"287,76","229,44",-,-,"58,32",-,-,"287,76","287,76",4,4,-,-
110120 MINISTRO ANDREAZZA,41,41,"13300,64","11484,98",-,-,"1815,66",-,-,"324,41","324,41",133,"3,2",-,-
110130 MIRANTE DA SERRA,76,76,"25654,39","22339,07",-,-,"3315,32",-,-,"337,56","337,56",161,"2,1",-,-
110140 MONTE NEGRO,187,187,"68104,94","55567,79",-,-,"12537,15",-,-,"364,2","364,2",403,"2,2",-,-
110143 NOVA UNIAO,23,23,"7269,11","6438,32",-,-,"830,79",-,-,"316,05","316,05",58,"2,5",-,-
110145 PARECIS,16,16,"719,72","542,68",-,-,"177,04",-,-,"44,98","44,98",22,"1,4",-,-
110146 PIMENTEIRAS DO OESTE,4,4,"1262,52","1068,69",-,-,"193,83",-,-,"315,63","315,63",11,"2,8",-,-
110149 SAO FRANCISCO DO GUAPORE,75,75,"25412,03","20596,66",-,-,"4815,37",-,-,"338,83","338,83",148,2,-,-
110150 SERINGUEIRAS,113,113,"34956,67","27212,4",-,-,"7744,27",-,-,"309,35","309,35",243,"2,2",-,-
110155 TEIXEIROPOLIS,15,15,"3689,88","3174,71",-,-,"515,17",-,-,"245,99","245,99",27,"1,8",-,-
110160 THEOBROMA,6,6,"1505,2","1301,68",-,-,"203,52",-,-,"250,87","250,87",19,"3,2",-,-
110170 URUPA,52,52,"17021,55","14919,97",-,-,"2101,58",-,-,"327,34","327,34",139,"2,7",1,"1,92"
110175 VALE DO ANARI,13,13,"3682,96","3048,29",-,-,"634,67",-,-,"283,3","283,3",28,"2,2",-,-
110180 VALE DO PARAISO,22,22,"6924,99","6065,84",-,-,"859,15",-,-,"314,77","314,77",24,"1,1",-,-
120005 ASSIS BRASIL,15,15,"6131,67","4174,63",-,-,"1957,04",-,-,"408,78","408,78",23,"1,5",-,-
120010 BRASILEIA,190,190,"62620,62","45749,34",-,-,"16871,28",-,-,"329,58","329,58",482,"2,5",1,"0,53"
120020 CRUZEIRO DO SUL,859,859,"433387,46","322040,64",-,-,"111346,82",-,-,"504,53","504,53",3102,"3,6",13,"1,51"
120030 FEIJO,95,95,"34813,14","25350,52",-,-,"9462,62",-,-,"366,45","366,45",214,"2,3",1,"1,05"
120033 MANCIO LIMA,33,33,"13728,19","9773,66",-,-,"3954,53",-,-,"416,01","416,01",129,"3,9",-,-
120034 MANOEL URBANO,77,77,"19077,08","14847,55",-,-,"4229,53",-,-,"247,75","247,75",134,"1,7",1,"1,3"
120038 PLACIDO DE CASTRO,50,50,"15698,91","13391,71",-,-,"2307,2",-,-,"313,98","313,98",201,4,-,-
120039 PORTO WALTER,11,11,"2280,8","1958,06",-,-,"322,74",-,-,"207,35","207,35",19,"1,7",-,-
120040 RIO BRANCO,2333,2339,"2051513,2","1609768,04",-,-,"441745,16",-,-,"877,09","879,35",14894,"6,4",126,"5,4"
120042 RODRIGUES ALVES,41,41,"12767,51","11495,51",-,-,1272,-,-,"311,4","311,4",74,"1,8",-,-
120043 SANTA ROSA DO PURUS,16,16,"4128,26","3535,09",-,-,"593,17",-,-,"258,02","258,02",58,"3,6",-,-
120045 SENADOR GUIOMARD,58,58,"17621,67","14731,65",-,-,"2890,02",-,-,"303,82","303,82",144,"2,5",-,-
120050 SENA MADUREIRA,237,237,"88721,83","68470,86",-,-,"20250,97",-,-,"374,35","374,35",634,"2,7",1,"0,42"
120060 TARAUACA,132,132,"55371,56","38115,66",-,-,"17255,9",-,-,"419,48","419,48",407,"3,1",-,-
120070 XAPURI,81,81,"25925,14","21190,98",-,-,"4734,16",-,-,"320,06","320,06",237,"2,9",1,"1,23"
130002 ALVARAES,5,5,"816,47","680,86",-,-,"135,61",-,-,"163,29","163,29",17,"3,4",-,-
130006 AMATURA,33,33,"10872,6","9358,85",-,-,"1513,75",-,-,"329,47","329,47",112,"3,4",-,-
130010 ANORI,21,21,"5154,22","4473,56",-,-,"680,66",-,-,"245,44","245,44",71,"3,4",-,-
130014 APUI,112,112,"49611,15","35085,31",-,-,"14525,84",-,-,"442,96","442,96",422,"3,8",1,"0,89"
130020 ATALAIA DO NORTE,44,44,"18289,91",12484,-,-,"5805,91",-,-,"415,68","415,68",104,"2,4",-,-
130040 BARCELOS,92,92,"33258,3","24871,19",-,-,"8387,11",-,-,"361,5","361,5",297,"3,2",1,"1,09"
130050 BARREIRINHA,86,86,"34767,88","25103,11",-,-,"9664,77",-,-,"404,28","404,28",267,"3,1",-,-
130060 BENJAMIN CONSTANT,114,114,"49217,57","34800,64",-,-,"14416,93",-,-,"431,73","431,73",300,"2,6",-,-
130063 BERURI,50,50,22170,13380,-,-,8790,-,-,"443,4","443,4",143,"2,9",-,-
130070 BOCA DO ACRE,128,128,"51176,14","39828,37",-,-,"11347,77",-,-,"399,81","399,81",383,3,-,-
130080 BORBA,134,134,"55430,99","39571,74",-,-,"15859,25",-,-,"413,66","413,66",459,"3,4",-,-
130083 CAAPIRANGA,22,22,"8441,93","6345,33",-,-,"2096,6",-,-,"383,72","383,72",63,"2,9",-,-
130100 CARAUARI,68,68,"24633,52","18242,7",-,-,"6390,82",-,-,"362,26","362,26",230,"3,4",-,-
130120 COARI,60,60,"24013,93","17256,97",-,-,"6756,96",-,-,"400,23","400,23",199,"3,3",-,-
130130 CODAJAS,56,56,"21863,64","15325,64",-,-,6538,-,-,"390,42","390,42",108,"1,9",-,-
130150 ENVIRA,50,50,"19080,96","13807,77",-,-,"5273,19",-,-,"381,62","381,62",181,"3,6",-,-
130160 FONTE BOA,104,104,"42098,44","29790,18",-,-,"12308,26",-,-,"404,79","404,79",345,"3,3",-,-
130165 GUAJARA,45,45,"14120,86","11950,14",-,-,"2170,72",-,-,"313,8","313,8",93,"2,1",-,-
130170 HUMAITA,140,140,"59598,48","43850,23",-,-,"15748,25",-,-,"425,7","425,7",367,"2,6",-,-
130180 IPIXUNA,81,81,"26850,48","20163,5",-,-,"6686,98",-,-,"331,49","331,49",259,"3,2",-,-
130185 IRANDUBA,142,142,"60454,25","42278,54",-,-,"18175,71",-,-,"425,73","425,73",380,"2,7",-,-
130190 ITACOATIARA,347,347,"146522,51","100132,48",-,-,"46390,03",-,-,"422,26","422,26",1019,"2,9",4,"1,15"
130200 ITAPIRANGA,15,15,"5714,97","4242,12",-,-,"1472,85",-,-,381,381,31,"2,1",-,-
130210 JAPURA,3,3,"740,89","635,38",-,-,"105,51",-,-,"246,96","246,96",11,"3,7",-,-
130230 JUTAI,62,62,"27924,19","20703,93",-,-,"7220,26",-,-,"450,39","450,39",165,"2,7",-,-
130240 LABREA,36,36,"13572,37","9268,38",-,-,"4303,99",-,-,"377,01","377,01",131,"3,6",-,-
130250 MANACAPURU,402,402,"179854,96","112182,47",-,-,"67672,49",-,-,"447,4","447,4",904,"2,2",-,-
130255 MANAQUIRI,33,33,"12595,96","10738,84",-,-,"1857,12",-,-,"381,7","381,7",85,"2,6",-,-
130260 MANAUS,8834,8834,"8199500,02","6294286,95",-,-,"1905213,07",-,-,"928,18","928,18",49822,"5,6",312,"3,53"
130280 MARAA,83,83,"30120,95","24577,37",-,-,"5543,58",-,-,"362,9","362,9",237,"2,9",-,-
130290 MAUES,248,248,"98977,91","71487,91",-,-,27490,-,-,"399,1","399,1",727,"2,9",2,"0,81"
130310 NOVA OLINDA DO NORTE,114,114,"44864,57","33473,02",-,-,"11391,55",-,-,"393,55","393,55",379,"3,3",-,-
130330 NOVO ARIPUANA,82,82,"37721,53","29297,07",-,-,"8424,46",-,-,"460,02","460,02",246,3,-,-
130340 PARINTINS,443,443,"184968,81","129025,98",-,-,"55942,83",-,-,"417,54","417,54",1320,3,-,-
130350 PAUINI,52,52,"21388,8","14519,2",-,-,"6869,6",-,-,"411,32","411,32",153,"2,9",-,-
130353 PRESIDENTE FIGUEIREDO,113,113,"54307,54","36912,41",-,-,"17395,13",-,-,"480,6","480,6",403,"3,6",-,-
130356 RIO PRETO DA EVA,52,52,"17228,86","14208,33",-,-,"3020,53",-,-,"331,32","331,32",172,"3,3",-,-
130360 SANTA ISABEL DO RIO NEGRO,36,36,"16057,61","11331,55",-,-,"4726,06",-,-,"446,04","446,04",118,"3,3",-,-
130370 SANTO ANTONIO DO ICA,36,36,"10795,97","8824,07",-,-,"1971,9",-,-,"299,89","299,89",132,"3,7",-,-
130380 SAO GABRIEL DA CACHOEIRA,90,90,"47928,81","29004,99",-,-,"18923,82",-,-,"532,54","532,54",237,"2,6",-,-
130395 SAO SEBASTIAO DO UATUMA,42,42,"19916,3","13744,29",-,-,"6172,01",-,-,"474,2","474,2",110,"2,6",-,-
130400 SILVES,30,30,"10428,41","9063,78",-,-,"1364,63",-,-,"347,61","347,61",63,"2,1",-,-
130406 TABATINGA,183,183,"93411,39","51253,78",-,-,"42157,61",-,-,"510,44","510,44",407,"2,2",-,-
130410 TAPAUA,30,30,"9823,1","8357,5",-,-,"1465,6",-,-,"327,44","327,44",191,"6,4",-,-
130420 TEFE,340,340,"124951,02","88015,57",-,-,"36935,45",-,-,"367,5","367,5",900,"2,6",12,"3,53"
130423 TONANTINS,26,26,"13222,62","7421,76",-,-,"5800,86",-,-,"508,56","508,56",26,1,-,-
130430 URUCARA,53,53,"22189,62","16376,65",-,-,"5812,97",-,-,"418,67","418,67",163,"3,1",-,-
130440 URUCURITUBA,13,13,"6231,5","4222,12",-,-,"2009,38",-,-,"479,35","479,35",26,2,-,-
140005 ALTO ALEGRE,92,92,"34436,21","29914,36",-,-,"4521,85",-,-,"374,31","374,31",169,"1,8",-,-
140010 BOA VISTA,2065,2065,"1569470,93","1187397,2",-,-,"382073,73",-,-,"760,03","760,03",10971,"5,3",44,"2,13"
140015 BONFIM,25,25,"9090,94","6861,23",-,-,"2229,71",-,-,"363,64","363,64",37,"1,5",-,-
140020 CARACARAI,24,24,"7992,23","5498,37",-,-,"2493,86",-,-,"333,01","333,01",49,2,-,-
140023 CAROEBE,10,10,"2254,41","1797,63",-,-,"456,78",-,-,"225,44","225,44",19,"1,9",-,-
140030 MUCAJAI,10,10,"2752,64","2349,34",-,-,"403,3",-,-,"275,26","275,26",44,"4,4",-,-
140040 NORMANDIA,54,54,"19492,87","15227,26",-,-,"4265,61",-,-,"360,98","360,98",186,"3,4",-,-
140045 PACARAIMA,31,31,"10109,23","7778,47",-,-,"2330,76",-,-,"326,1","326,1",95,"3,1",-,-
140047 RORAINOPOLIS,28,28,"12438,33","9625,1",-,-,"2813,23",-,-,"444,23","444,23",95,"3,4",-,-
140050 SAO JOAO DA BALIZA,38,38,"12616,29","10770,11",-,-,"1846,18",-,-,"332,01","332,01",98,"2,6",-,-
150010 ABAETETUBA,1134,1134,"480787,14","360440,48",-,-,"120346,66",-,-,"423,97","423,97",3067,"2,7",6,"0,53"
150013 ABEL FIGUEIREDO,39,39,"15020,95","11644,23",-,-,"3376,72",-,-,"385,15","385,15",114,"2,9",-,-
