Período:Nov/2011,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,185,185,"63273,47","52376,86",-,-,"10896,61",-,-,"342,02","342,02",446,"2,4",-,-
110002 ARIQUEMES,479,479,"330434,57","257083,7",-,-,"73350,87",-,-,"689,84","689,84",1526,"3,2",7,"1,46"
110003 CABIXI,8,8,"2304,03","2006,41",-,-,"297,62",-,-,288,288,20,"2,5",-,-
110004 CACOAL,564,564,"207172,43","162236,11",-,-,"44936,32",-,-,"367,33","367,33",2272,4,12,"2,13"
110005 CEREJEIRAS,150,150,"47140,65","37811,06",-,-,"9329,59",-,-,"314,27","314,27",342,"2,3",2,"1,33"
110006 COLORADO DO OESTE,117,117,"36405,01","29199,73",-,-,"7205,28",-,-,"311,15","311,15",399,"3,4",4,"3,42"
110008 COSTA MARQUES,65,65,"22142,15","17157,28",-,-,"4984,87",-,-,"340,65","340,65",172,"2,6",-,-
110009 ESPIGAO D'OESTE,150,150,"36126,29","28598,77",-,-,"7527,52",-,-,"240,84","240,84",403,"2,7",4,"2,67"
110010 GUAJARA-MIRIM,260,260,"95002,65","74529,65",-,-,20473,-,-,"365,39","365,39",693,"2,7",4,"1,54"
110011 JARU,226,226,"85766,21","59816,89",-,-,"25949,32",-,-,"379,5","379,5",448,2,1,"0,44"
110012 JI-PARANA,652,652,"335321,46","263005,5",-,-,"72315,96",-,-,"514,3","514,3",2508,"3,8",25,"3,83"
110013 MACHADINHO D'OESTE,132,132,"42348,83","32896,67",-,-,"9452,16",-,-,"320,82","320,82",288,"2,2",-,-
110014 NOVA BRASILANDIA D'OESTE,129,129,"39985,73","33717,44",-,-,"6268,29",-,-,"309,97","309,97",262,2,1,"0,78"
110015 OURO PRETO DO OESTE,158,158,"50710,64","38918,04",-,-,"11792,6",-,-,"320,95","320,95",275,"1,7",2,"1,27"
110018 PIMENTA BUENO,235,235,"78832,48","62937,07",-,-,"15895,41",-,-,"335,46","335,46",551,"2,3",4,"1,7"
110020 PORTO VELHO,2451,2451,"2078649,05","1615976,51",-,-,"462672,54",-,-,"848,08","848,08",16636,"6,8",53,"2,16"
110025 PRESIDENTE MEDICI,69,69,"20313,53","17559,56",-,-,"2753,97",-,-,"294,4","294,4",183,"2,7",1,"1,45"
110028 ROLIM DE MOURA,263,263,"106703,86","89168,08",-,-,"17535,78",-,-,"405,72","405,72",643,"2,4",4,"1,52"
110029 SANTA LUZIA D'OESTE,42,42,"15531,17","13694,73",-,-,"1836,44",-,-,"369,79","369,79",162,"3,9",-,-
110030 VILHENA,521,521,"365455,23","296712,4",-,-,"68742,83",-,-,"701,45","701,45",2322,"4,5",23,"4,41"
110032 SAO MIGUEL DO GUAPORE,82,82,"27955,85","23921,31",-,-,"4034,54",-,-,"340,93","340,93",200,"2,4",1,"1,22"
110033 NOVA MAMORE,56,56,"20013,69","15346,46",-,-,"4667,23",-,-,"357,39","357,39",201,"3,6",-,-
110034 ALVORADA D'OESTE,126,126,"36204,66","28852,29",-,-,"7352,37",-,-,"287,34","287,34",310,"2,5",-,-
110037 ALTO ALEGRE DOS PARECIS,75,75,"24172,96","21058,09",-,-,"3114,87",-,-,"322,31","322,31",187,"2,5",-,-
110040 ALTO PARAISO,35,35,"8461,91","7265,88",-,-,"1196,03",-,-,"241,77","241,77",53,"1,5",-,-
110050 NOVO HORIZONTE DO OESTE,45,45,"13820,38","12119,74",-,-,"1700,64",-,-,"307,12","307,12",148,"3,3",-,-
110060 CACAULANDIA,14,14,"3118,05","2655,15",-,-,"462,9",-,-,"222,72","222,72",49,"3,5",-,-
110070 CAMPO NOVO DE RONDONIA,88,88,"27791,17","23942,03",-,-,"3849,14",-,-,"315,81","315,81",204,"2,3",-,-
