Período:Dez/2012,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,164,164,"50811,91","42770,19",-,-,"8041,72",-,-,"309,83","309,83",402,"2,5",-,-
110002 ARIQUEMES,246,246,"206961,37","167017,08",-,-,"39944,29",-,-,"841,31","841,31",943,"3,8",9,"3,66"
110003 CABIXI,26,26,"9281,27","7631,18",-,-,"1650,09",-,-,"356,97","356,97",58,"2,2",-,-
110004 CACOAL,681,681,"300108,51","230331,1",-,-,"69777,41",-,-,"440,69","440,69",3859,"5,7",32,"4,7"
110005 CEREJEIRAS,151,151,"46568,38","38618,72",-,-,"7949,66",-,-,"308,4","308,4",397,"2,6",-,-
110006 COLORADO DO OESTE,84,84,"28464,17","24741,7",-,-,"3722,47",-,-,"338,86","338,86",323,"3,8",-,-
110009 ESPIGAO D'OESTE,154,154,"35000,81","28814,32",-,-,"6186,49",-,-,"227,28","227,28",421,"2,7",3,"1,95"
110010 GUAJARA-MIRIM,239,239,"90507,55","66524,25",-,-,"23983,3",-,-,"378,69","378,69",659,"2,8",3,"1,26"
110011 JARU,194,194,"44991,36","34131,07",-,-,"10860,29",-,-,"231,91","231,91",318,"1,6",3,"1,55"
110012 JI-PARANA,707,707,"327160,79","251992,11",-,-,"75168,68",-,-,"462,75","462,75",2299,"3,3",17,"2,4"
110013 MACHADINHO D'OESTE,110,110,"42559,09","32307,73",-,-,"10251,36",-,-,"386,9","386,9",263,"2,4",1,"0,91"
110014 NOVA BRASILANDIA D'OESTE,129,129,"40990,32","35324,15",-,-,"5666,17",-,-,"317,75","317,75",493,"3,8",1,"0,78"
110015 OURO PRETO DO OESTE,234,234,"82960,55","62700,31",-,-,"20260,24",-,-,"354,53","354,53",414,"1,8",3,"1,28"
110018 PIMENTA BUENO,154,154,"30128,53","24207,51",-,-,"5921,02",-,-,"195,64","195,64",252,"1,6",1,"0,65"
110020 PORTO VELHO,1434,1434,"1191275,6","946573,23",-,-,"244702,37",-,-,"830,74","830,74",9599,"6,7",65,"4,53"
110025 PRESIDENTE MEDICI,59,59,"20101,14","16756,83",-,-,"3344,31",-,-,"340,7","340,7",182,"3,1",1,"1,69"
110028 ROLIM DE MOURA,418,418,"138138,82","113266,11",-,-,"24872,71",-,-,"330,48","330,48",1316,"3,1",1,"0,24"
110029 SANTA LUZIA D'OESTE,48,48,"15078,08","13318,93",-,-,"1759,15",-,-,"314,13","314,13",167,"3,5",-,-
110030 VILHENA,568,568,"309378,76","244158,03",-,-,"65220,73",-,-,"544,68","544,68",2147,"3,8",19,"3,35"
110032 SAO MIGUEL DO GUAPORE,120,120,"40121,49","33040,43",-,-,"7081,06",-,-,"334,35","334,35",371,"3,1",-,-
110033 NOVA MAMORE,79,79,"30497,15","21724,15",-,-,8773,-,-,"386,04","386,04",269,"3,4",-,-
