Período:Fev/2012,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,153,153,"49854,05","41948,66",-,-,"7905,39",-,-,"325,84","325,84",366,"2,4",1,"0,65"
110002 ARIQUEMES,419,419,"211200,54","159040,68",-,-,"52159,86",-,-,"504,06","504,06",1211,"2,9",5,"1,19"
110003 CABIXI,27,27,"8091,89","6823,1",-,-,"1268,79",-,-,"299,7","299,7",61,"2,3",-,-
110004 CACOAL,626,626,"251361,76","191219,22",-,-,"60142,54",-,-,"401,54","401,54",3253,"5,2",23,"3,67"
110005 CEREJEIRAS,150,150,"50297,69","40316,94",-,-,"9980,75",-,-,"335,32","335,32",339,"2,3",1,"0,67"
110006 COLORADO DO OESTE,133,133,"41191,57","34428,14",-,-,"6763,43",-,-,"309,71","309,71",469,"3,5",1,"0,75"
110008 COSTA MARQUES,55,55,"22664,61","16434,78",-,-,"6229,83",-,-,"412,08","412,08",110,2,-,-
110009 ESPIGAO D'OESTE,153,153,"36134,76","28614,17",-,-,"7520,59",-,-,"236,17","236,17",397,"2,6",2,"1,31"
110010 GUAJARA-MIRIM,232,232,"88763,3","67400,72",-,-,"21362,58",-,-,"382,6","382,6",586,"2,5",4,"1,72"
110011 JARU,220,220,"74948,03","54269,43",-,-,"20678,6",-,-,"340,67","340,67",477,"2,2",-,-
110012 JI-PARANA,773,773,"363161,12","289834,91",-,-,"73326,21",-,-,"469,81","469,81",2869,"3,7",37,"4,79"
110013 MACHADINHO D'OESTE,91,91,"36794,24","27782,5",-,-,"9011,74",-,-,"404,33","404,33",187,"2,1",-,-
110014 NOVA BRASILANDIA D'OESTE,128,128,"36971,39","31531,28",-,-,"5440,11",-,-,"288,84","288,84",300,"2,3",-,-
110015 OURO PRETO DO OESTE,187,187,"62281,57","49064,5",-,-,"13217,07",-,-,"333,06","333,06",394,"2,1",2,"1,07"
110018 PIMENTA BUENO,184,184,"60188,31","49458,85",-,-,"10729,46",-,-,"327,11","327,11",514,"2,8",6,"3,26"
110020 PORTO VELHO,2032,2032,"2224921,5","1787363,46",-,-,"437558,04",-,-,"1094,94","1094,94",16030,"7,9",99,"4,87"
110025 PRESIDENTE MEDICI,58,58,"17974,79","15581,82",-,-,"2392,97",-,-,"309,91","309,91",186,"3,2",2,"3,45"
110028 ROLIM DE MOURA,416,416,"130289,37","105711,93",-,-,"24577,44",-,-,"313,2","313,2",1065,"2,6",10,"2,4"
110029 SANTA LUZIA D'OESTE,41,41,"13739,74","11827,8",-,-,"1911,94",-,-,"335,12","335,12",153,"3,7",-,-
110030 VILHENA,566,566,"329662,82","260521,02",-,-,"69141,8",-,-,"582,44","582,44",2311,"4,1",21,"3,71"
110032 SAO MIGUEL DO GUAPORE,141,141,"47300,45",38329,-,-,"8971,45",-,-,"335,46","335,46",347,"2,5",-,-
110033 NOVA MAMORE,64,64,"22509,11","17090,85",-,-,"5418,26",-,-,"351,7","351,7",195,3,-,-
110034 ALVORADA D'OESTE,48,48,"13263,96","10394,96",-,-,2869,-,-,"276,33","276,33",135,"2,8",-,-
110037 ALTO ALEGRE DOS PARECIS,73,73,"22110,79","19296,29",-,-,"2814,5",-,-,"302,89","302,89",190,"2,6",-,-
110040 ALTO PARAISO,31,31,"8906,16","7638,58",-,-,"1267,58",-,-,"287,3","287,3",53,"1,7",2,"6,45"
110050 NOVO HORIZONTE DO OESTE,40,40,"12964,59","11263,79",-,-,"1700,8",-,-,"324,11","324,11",90,"2,3",-,-
110060 CACAULANDIA,23,23,"7276,18","6319,02",-,-,"957,16",-,-,"316,36","316,36",62,"2,7",-,-
110070 CAMPO NOVO DE RONDONIA,53,53,"16110,25","13798,85",-,-,"2311,4",-,-,"303,97","303,97",110,"2,1",-,-
110094 CUJUBIM,61,61,"17589,79","15031,7",-,-,"2558,09",-,-,"288,36","288,36",215,"3,5",-,-
110100 GOVERNADOR JORGE TEIXEIRA,27,27,"5734,23","4825,26",-,-,"908,97",-,-,"212,38","212,38",79,"2,9",-,-
110110 ITAPUA DO OESTE,13,13,"3817,54","3088,16",-,-,"729,38",-,-,"293,66","293,66",44,"3,4",-,-
110120 MINISTRO ANDREAZZA,41,41,"15382,41","13459,37",-,-,"1923,04",-,-,"375,18","375,18",115,"2,8",-,-
110130 MIRANTE DA SERRA,52,52,"18325,58","16074,84",-,-,"2250,74",-,-,"352,41","352,41",114,"2,2",-,-
110140 MONTE NEGRO,156,156,"57933,31","47859,21",-,-,"10074,1",-,-,"371,37","371,37",339,"2,2",-,-
110143 NOVA UNIAO,17,17,"4641,77","4059,47",-,-,"582,3",-,-,"273,05","273,05",36,"2,1",-,-
