Período:Jan/2012,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,190,190,"60947,45","52000,4",-,-,"8947,05",-,-,"320,78","320,78",432,"2,3",1,"0,53"
110002 ARIQUEMES,448,448,"298595,88","236417,2",-,-,"62178,68",-,-,"666,51","666,51",1525,"3,4",12,"2,68"
110003 CABIXI,27,27,"8807,49","7394,41",-,-,"1413,08",-,-,"326,2","326,2",54,2,-,-
110004 CACOAL,528,528,"191128,82","146933,73",-,-,"44195,09",-,-,"361,99","361,99",1799,"3,4",12,"2,27"
110005 CEREJEIRAS,150,150,"47086,63","38563,2",-,-,"8523,43",-,-,"313,91","313,91",377,"2,5",1,"0,67"
110006 COLORADO DO OESTE,135,135,"43638,32","35568,62",-,-,"8069,7",-,-,"323,25","323,25",446,"3,3",-,-
110008 COSTA MARQUES,55,55,"18976,93","14805,24",-,-,"4171,69",-,-,"345,04","345,04",145,"2,6",-,-
110009 ESPIGAO D'OESTE,155,155,"38052,8","30166,12",-,-,"7886,68",-,-,"245,5","245,5",425,"2,7",3,"1,94"
110010 GUAJARA-MIRIM,237,237,"91328,73","67578,18",-,-,"23750,55",-,-,"385,35","385,35",582,"2,5",-,-
110011 JARU,229,229,"73511,57","53589,36",-,-,"19922,21",-,-,"321,01","321,01",445,"1,9",1,"0,44"
110012 JI-PARANA,835,835,"422707,47","322438,65",-,-,"100268,82",-,-,"506,24","506,24",2810,"3,4",13,"1,56"
110013 MACHADINHO D'OESTE,161,161,"54424,29","42311,32",-,-,"12112,97",-,-,"338,04","338,04",373,"2,3",-,-
110014 NOVA BRASILANDIA D'OESTE,129,129,"37597,44","32207,74",-,-,"5389,7",-,-,"291,45","291,45",284,"2,2",-,-
110015 OURO PRETO DO OESTE,171,171,"58471,75","43663,79",-,-,"14807,96",-,-,"341,94","341,94",317,"1,9",2,"1,17"
110018 PIMENTA BUENO,147,147,"47802,84","37272,77",-,-,"10530,07",-,-,"325,19","325,19",447,3,6,"4,08"
110020 PORTO VELHO,2198,2198,"1697868,66","1297686,39",-,-,"400182,27",-,-,"772,46","772,46",14456,"6,6",59,"2,68"
110025 PRESIDENTE MEDICI,43,43,"10562,8","9134,63",-,-,"1428,17",-,-,"245,65","245,65",103,"2,4",-,-
110028 ROLIM DE MOURA,430,430,"130862,97","104373,81",-,-,"26489,16",-,-,"304,33","304,33",959,"2,2",5,"1,16"
110029 SANTA LUZIA D'OESTE,63,63,"21174,12","18558,43",-,-,"2615,69",-,-,"336,1","336,1",249,4,-,-
