Período:Jun/2012,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,163,163,"50429,79","43551,79",-,-,6878,-,-,"309,39","309,39",372,"2,3",1,"0,61"
110002 ARIQUEMES,639,639,"368543,55","286852,42",-,-,"81691,13",-,-,"576,75","576,75",2076,"3,2",13,"2,03"
110003 CABIXI,16,16,"6335,37","4979,63",-,-,"1355,74",-,-,"395,96","395,96",33,"2,1",-,-
110004 CACOAL,728,728,"320239,39","245988,75",-,-,"74250,64",-,-,"439,89","439,89",4429,"6,1",28,"3,85"
110005 CEREJEIRAS,150,150,"56563,56","45705,69",-,-,"10857,87",-,-,"377,09","377,09",415,"2,8",-,-
110006 COLORADO DO OESTE,147,147,"50154,41","41454,93",-,-,"8699,48",-,-,"341,19","341,19",637,"4,3",5,"3,4"
110009 ESPIGAO D'OESTE,151,151,"44824,59","36661,23",-,-,"8163,36",-,-,"296,85","296,85",477,"3,2",4,"2,65"
110010 GUAJARA-MIRIM,278,278,"105449,17","78886,1",-,-,"26563,07",-,-,"379,31","379,31",721,"2,6",4,"1,44"
110011 JARU,286,286,"92591,15","68430,39",-,-,"24160,76",-,-,"323,75","323,75",540,"1,9",2,"0,7"
110012 JI-PARANA,727,727,"384629,63","301952,23",-,-,"82677,4",-,-,"529,06","529,06",2662,"3,7",20,"2,75"
110013 MACHADINHO D'OESTE,196,196,"73590,7","56508,16",-,-,"17082,54",-,-,"375,46","375,46",428,"2,2",-,-
110014 NOVA BRASILANDIA D'OESTE,129,129,"42257,98","36095,29",-,-,"6162,69",-,-,"327,58","327,58",291,"2,3",1,"0,78"
110015 OURO PRETO DO OESTE,220,220,"74585,03","58752,01",-,-,"15833,02",-,-,"339,02","339,02",430,2,1,"0,45"
110018 PIMENTA BUENO,208,208,"73052,38","59971,82",-,-,"13080,56",-,-,"351,21","351,21",488,"2,3",3,"1,44"
110020 PORTO VELHO,2539,2539,"2585009,89","2077441,63",-,-,"507568,26",-,-,"1018,12","1018,12",20873,"8,2",134,"5,28"
110025 PRESIDENTE MEDICI,63,63,"20674,49","18022,58",-,-,"2651,91",-,-,"328,17","328,17",201,"3,2",-,-
110028 ROLIM DE MOURA,498,498,"159864,22","132027,53",-,-,"27836,69",-,-,"321,01","321,01",1233,"2,5",9,"1,81"
110029 SANTA LUZIA D'OESTE,37,37,"13015,02","11162,82",-,-,"1852,2",-,-,"351,76","351,76",135,"3,6",-,-
110030 VILHENA,579,579,"364371,1","288675,86",-,-,"75695,24",-,-,"629,31","629,31",2752,"4,8",16,"2,76"
110032 SAO MIGUEL DO GUAPORE,132,132,"46308,99","38221,33",-,-,"8087,66",-,-,"350,83","350,83",310,"2,3",-,-
110033 NOVA MAMORE,88,88,31649,"22625,43",-,-,"9023,57",-,-,"359,65","359,65",268,3,1,"1,14"
110034 ALVORADA D'OESTE,95,95,"27406,35","22321,63",-,-,"5084,72",-,-,"288,49","288,49",244,"2,6",-,-
110037 ALTO ALEGRE DOS PARECIS,58,58,"17141,44","14919,82",-,-,"2221,62",-,-,"295,54","295,54",164,"2,8",-,-
110040 ALTO PARAISO,14,14,"3829,6","3294,77",-,-,"534,83",-,-,"273,54","273,54",29,"2,1",-,-
110050 NOVO HORIZONTE DO OESTE,45,45,"14403,11","12426,72",-,-,"1976,39",-,-,"320,07","320,07",92,2,-,-
110060 CACAULANDIA,7,7,"2788,05","2442,49",-,-,"345,56",-,-,"398,29","398,29",15,"2,1",-,-
110070 CAMPO NOVO DE RONDONIA,51,51,"18036,58","15626,84",-,-,"2409,74",-,-,"353,66","353,66",112,"2,2",-,-
110094 CUJUBIM,11,11,"2105,84","1789,33",-,-,"316,51",-,-,"191,44","191,44",37,"3,4",-,-
110100 GOVERNADOR JORGE TEIXEIRA,21,21,"4827,06","4007,37",-,-,"819,69",-,-,"229,86","229,86",47,"2,2",-,-
110110 ITAPUA DO OESTE,9,9,"2418,38","2070,02",-,-,"348,36",-,-,"268,71","268,71",26,"2,9",1,"11,11"
110120 MINISTRO ANDREAZZA,41,41,"12265,96","10466,79",-,-,"1799,17",-,-,"299,17","299,17",105,"2,6",-,-
110130 MIRANTE DA SERRA,60,60,"26641,87","24072,01",-,-,"2569,86",-,-,"444,03","444,03",138,"2,3",1,"1,67"
110140 MONTE NEGRO,158,158,"59261,27","48214,91",-,-,"11046,36",-,-,"375,07","375,07",376,"2,4",-,-
110143 NOVA UNIAO,16,16,"4478,77","3823,71",-,-,"655,06",-,-,"279,92","279,92",32,2,-,-
110145 PARECIS,20,20,"905,75","682,97",-,-,"222,78",-,-,"45,29","45,29",19,"0,9",-,-
110146 PIMENTEIRAS DO OESTE,13,13,"5074,06","4336,56",-,-,"737,5",-,-,"390,31","390,31",33,"2,5",-,-
110149 SAO FRANCISCO DO GUAPORE,58,58,"9732,9","7457,54",-,-,"2275,36",-,-,"167,81","167,81",84,"1,4",-,-
110150 SERINGUEIRAS,83,83,"30761,33","23248,65",-,-,"7512,68",-,-,"370,62","370,62",180,"2,2",-,-
110155 TEIXEIROPOLIS,18,18,"5547,16","4775,27",-,-,"771,89",-,-,"308,18","308,18",37,"2,1",-,-
110160 THEOBROMA,14,14,"3462,65","3028,96",-,-,"433,69",-,-,"247,33","247,33",40,"2,9",-,-
110170 URUPA,5,5,"2649,36","2371,23",-,-,"278,13",-,-,"529,87","529,87",11,"2,2",-,-
110175 VALE DO ANARI,4,4,"1814,64","1578,94",-,-,"235,7",-,-,"453,66","453,66",9,"2,3",-,-
110180 VALE DO PARAISO,23,23,"7049,57","6095,07",-,-,"954,5",-,-,"306,5","306,5",23,1,-,-
120001 ACRELANDIA,4,4,"378,45","305,7",-,-,"72,75",-,-,"94,61","94,61",8,2,-,-
120005 ASSIS BRASIL,22,22,"6839,69","4706,5",-,-,"2133,19",-,-,"310,89","310,89",99,"4,5",-,-
120010 BRASILEIA,187,187,"63126,8","45847,78",-,-,"17279,02",-,-,"337,58","337,58",473,"2,5",2,"1,07"
120020 CRUZEIRO DO SUL,824,824,"403675,45","308448,59",-,-,"95226,86",-,-,"489,9","489,9",3369,"4,1",10,"1,21"
120030 FEIJO,86,86,"27267,04","19552,99",-,-,"7714,05",-,-,"317,06","317,06",302,"3,5",1,"1,16"
120033 MANCIO LIMA,24,24,"11540,6",7594,-,-,"3946,6",-,-,"480,86","480,86",42,"1,8",-,-
120034 MANOEL URBANO,59,59,"16695,49","13483,31",-,-,"3212,18",-,-,"282,97","282,97",113,"1,9",-,-
120038 PLACIDO DE CASTRO,57,57,"17398,08","14612,21",-,-,"2785,87",-,-,"305,23","305,23",183,"3,2",-,-
120040 RIO BRANCO,2688,2712,"2198830,77","1649760,4",-,-,"549070,37",-,-,"810,78","818,02",15876,"5,9",92,"3,42"
120042 RODRIGUES ALVES,17,17,"4804,52","4072,04",-,-,"732,48",-,-,"282,62","282,62",38,"2,2",-,-
120043 SANTA ROSA DO PURUS,10,10,"2594,55","2253,21",-,-,"341,34",-,-,"259,46","259,46",22,"2,2",1,10
120045 SENADOR GUIOMARD,83,83,"26173,58","22420,57",-,-,"3753,01",-,-,"315,34","315,34",198,"2,4",1,"1,2"
120050 SENA MADUREIRA,283,283,"95265,68","79109,26",-,-,"16156,42",-,-,"336,63","336,63",759,"2,7",1,"0,35"
120060 TARAUACA,169,169,68391,"49891,97",-,-,"18499,03",-,-,"404,68","404,68",480,"2,8",1,"0,59"
120070 XAPURI,99,99,"29544,62","24046,41",-,-,"5498,21",-,-,"298,43","298,43",272,"2,7",2,"2,02"
130002 ALVARAES,84,84,"28895,67","21243,43",-,-,"7652,24",-,-,344,344,193,"2,3",-,-
130006 AMATURA,28,28,"11212,96","9618,02",-,-,"1594,94",-,-,"400,46","400,46",80,"2,9",-,-
130010 ANORI,1,1,"582,42","504,07",-,-,"78,35",-,-,"582,42","582,42",4,4,-,-
130014 APUI,80,80,"30462,51","23638,42",-,-,"6824,09",-,-,"380,78","380,78",223,"2,8",-,-
130020 ATALAIA DO NORTE,37,37,"15075,51","11029,2",-,-,"4046,31",-,-,"407,45","407,45",99,"2,7",-,-
130030 AUTAZES,87,87,"38457,23","25613,67",-,-,"12843,56",-,-,"442,04","442,04",174,2,1,"1,15"
130040 BARCELOS,70,70,"22684,65","17673,14",-,-,"5011,51",-,-,"324,07","324,07",232,"3,3",1,"1,43"
130050 BARREIRINHA,16,16,"8752,71","6001,12",-,-,"2751,59",-,-,"547,04","547,04",56,"3,5",-,-
130060 BENJAMIN CONSTANT,77,77,"33617,97","23536,81",-,-,"10081,16",-,-,"436,6","436,6",201,"2,6",-,-
130063 BERURI,80,80,"34727,32",25898,-,-,"8829,32",-,-,"434,09","434,09",218,"2,7",-,-
130068 BOA VISTA DO RAMOS,39,39,"17829,52","13727,99",-,-,"4101,53",-,-,"457,17","457,17",137,"3,5",-,-
130070 BOCA DO ACRE,171,171,"64974,66","49161,88",-,-,"15812,78",-,-,"379,97","379,97",483,"2,8",1,"0,58"
130080 BORBA,110,110,"54429,84","40604,02",-,-,"13825,82",-,-,"494,82","494,82",352,"3,2",-,-
130083 CAAPIRANGA,23,23,"6666,52","5295,49",-,-,"1371,03",-,-,"289,85","289,85",59,"2,6",-,-
130090 CANUTAMA,21,21,"9006,85","6330,07",-,-,"2676,78",-,-,"428,9","428,9",47,"2,2",1,"4,76"
130100 CARAUARI,61,61,"22069,08","18586,97",-,-,"3482,11",-,-,"361,79","361,79",211,"3,5",-,-
130110 CAREIRO,30,30,"8761,2","7049,13",-,-,"1712,07",-,-,"292,04","292,04",100,"3,3",-,-
130120 COARI,244,244,"105616,61","76068,41",-,-,"29548,2",-,-,"432,85","432,85",824,"3,4",-,-
130130 CODAJAS,62,62,"22814,14","17606,74",-,-,"5207,4",-,-,"367,97","367,97",126,2,-,-
130150 ENVIRA,79,79,"32429,6","23992,3",-,-,"8437,3",-,-,"410,5","410,5",303,"3,8",-,-
130165 GUAJARA,42,42,"13421,33","11261,12",-,-,"2160,21",-,-,"319,56","319,56",122,"2,9",-,-
130170 HUMAITA,170,170,"80839,26","57285,96",-,-,"23553,3",-,-,"475,53","475,53",438,"2,6",-,-
130180 IPIXUNA,100,100,"34586,12","24426,47",-,-,"10159,65",-,-,"345,86","345,86",273,"2,7",-,-
130185 IRANDUBA,134,134,"55275,12","42044,8",-,-,"13230,32",-,-,"412,5","412,5",276,"2,1",-,-
130190 ITACOATIARA,343,343,"147550,93","101702,01",-,-,"45848,92",-,-,"430,18","430,18",999,"2,9",3,"0,87"
130195 ITAMARATI,5,5,"1437,81","1013,74",-,-,"424,07",-,-,"287,56","287,56",15,3,-,-
130200 ITAPIRANGA,68,68,"27708,66","19615,2",-,-,"8093,46",-,-,"407,48","407,48",141,"2,1",1,"1,47"
130220 JURUA,44,44,"19691,31","16715,47",-,-,"2975,84",-,-,"447,53","447,53",125,"2,8",-,-
130230 JUTAI,96,96,"37003,92","28649,85",-,-,"8354,07",-,-,"385,46","385,46",255,"2,7",-,-
130240 LABREA,96,96,"36903,13","29221,04",-,-,"7682,09",-,-,"384,41","384,41",313,"3,3",2,"2,08"
130250 MANACAPURU,372,372,"162149,65","111888,18",-,-,"50261,47",-,-,"435,89","435,89",995,"2,7",2,"0,54"
130260 MANAUS,9372,9410,"8583240,78","6705278,97",-,-,"1877961,81",-,-,"912,14","915,84",55573,"5,9",331,"3,53"
130270 MANICORE,117,117,"42887,96","32999,29",-,-,"9888,67",-,-,"366,56","366,56",445,"3,8",-,-
130280 MARAA,70,70,"21724,15","18232,72",-,-,"3491,43",-,-,"310,35","310,35",207,3,-,-
130290 MAUES,296,296,"122992,4","91557,81",-,-,"31434,59",-,-,"415,51","415,51",1018,"3,4",2,"0,68"
130300 NHAMUNDA,43,43,"14895,54","11037,11",-,-,"3858,43",-,-,"346,41","346,41",108,"2,5",-,-
130330 NOVO ARIPUANA,87,87,"40598,45","30913,86",-,-,"9684,59",-,-,"466,65","466,65",267,"3,1",-,-
130340 PARINTINS,426,426,"181527,28","124153,08",-,-,"57374,2",-,-,"426,12","426,12",1388,"3,3",-,-
130350 PAUINI,99,99,"35839,81","27269,38",-,-,"8570,43",-,-,"362,02","362,02",339,"3,4",-,-
130353 PRESIDENTE FIGUEIREDO,129,129,"57702,94","43772,03",-,-,"13930,91",-,-,"447,31","447,31",404,"3,1",1,"0,78"
130356 RIO PRETO DA EVA,54,54,"21180,21","17058,05",-,-,"4122,16",-,-,"392,23","392,23",140,"2,6",-,-
130370 SANTO ANTONIO DO ICA,105,105,"37523,8","26352,23",-,-,"11171,57",-,-,"357,37","357,37",293,"2,8",-,-
130380 SAO GABRIEL DA CACHOEIRA,65,65,"20753,64","17657,97",-,-,"3095,67",-,-,"319,29","319,29",311,"4,8",1,"1,54"
130390 SAO PAULO DE OLIVENCA,76,76,"25961,68","20086,6",-,-,"5875,08",-,-,"341,6","341,6",272,"3,6",-,-
130400 SILVES,27,27,"9591,63","8238,29",-,-,"1353,34",-,-,"355,25","355,25",96,"3,6",-,-
130406 TABATINGA,128,128,"59527,32","38301,78",-,-,"21225,54",-,-,"465,06","465,06",380,3,-,-
130410 TAPAUA,11,11,"5856,7","4458,12",-,-,"1398,58",-,-,"532,43","532,43",46,"4,2",-,-
130420 TEFE,310,310,"112740,23","80772,42",-,-,"31967,81",-,-,"363,68","363,68",743,"2,4",10,"3,23"
130423 TONANTINS,14,14,"3937,32","3271,92",-,-,"665,4",-,-,"281,24","281,24",38,"2,7",-,-
130430 URUCARA,46,46,"16561,46","12341,36",-,-,"4220,1",-,-,"360,03","360,03",131,"2,8",-,-
130440 URUCURITUBA,32,32,"13579,21","10540,77",-,-,"3038,44",-,-,"424,35","424,35",100,"3,1",1,"3,13"
140005 ALTO ALEGRE,46,46,"17939,16","15390,18",-,-,"2548,98",-,-,"389,98","389,98",97,"2,1",-,-
140010 BOA VISTA,2708,2708,"1802565,98","1358881,99",-,-,"443683,99",-,-,"665,64","665,64",13933,"5,1",72,"2,66"
140015 BONFIM,15,15,"5576,96","4528,86",-,-,"1048,1",-,-,"371,8","371,8",33,"2,2",1,"6,67"
140020 CARACARAI,29,29,"13388,08","9167,15",-,-,"4220,93",-,-,"461,66","461,66",71,"2,4",-,-
140030 MUCAJAI,9,9,"2891,2","2438,77",-,-,"452,43",-,-,"321,24","321,24",32,"3,6",-,-
140040 NORMANDIA,12,12,"5168,93","4525,28",-,-,"643,65",-,-,"430,74","430,74",41,"3,4",-,-
140047 RORAINOPOLIS,15,15,"5479,72","4248,4",-,-,"1231,32",-,-,"365,31","365,31",29,"1,9",-,-
140050 SAO JOAO DA BALIZA,44,44,"11391,75","9315,72",-,-,"2076,03",-,-,"258,9","258,9",138,"3,1",-,-
140060 SAO LUIZ,48,48,"16987,06","14702,22",-,-,"2284,84",-,-,"353,9","353,9",178,"3,7",-,-
150010 ABAETETUBA,630,630,"285971,39","209784,7",-,-,"76186,69",-,-,"453,92","453,92",1834,"2,9",4,"0,63"
150013 ABEL FIGUEIREDO,72,72,"26461,12","21459,27",-,-,"5001,85",-,-,"367,52","367,52",212,"2,9",-,-
150020 ACARA,207,207,"84501,77","60242,22",-,-,"24259,55",-,-,"408,22","408,22",453,"2,2",-,-
150030 AFUA,160,160,"61447,79","49435,79",-,-,12012,-,-,"384,05","384,05",316,2,-,-
150034 AGUA AZUL DO NORTE,67,67,"24480,02","20550,77",-,-,"3929,25",-,-,"365,37","365,37",171,"2,6",-,-
150040 ALENQUER,465,465,"209809,75","164232,34",-,-,"45577,41",-,-,"451,2","451,2",1282,"2,8",9,"1,94"
150050 ALMEIRIM,45,45,"18714,8","14859,65",-,-,"3855,15",-,-,"415,88","415,88",87,"1,9",-,-
150060 ALTAMIRA,1245,1245,"899905,51","723659,83",-,-,"176245,68",-,-,"722,82","722,82",5282,"4,2",31,"2,49"
150070 ANAJAS,115,115,"44619,86","33415,46",-,-,"11204,4",-,-,388,388,217,"1,9",-,-
150080 ANANINDEUA,3167,3167,"2142245,42","1694038,32",-,-,"448207,1",-,-,"676,43","676,43",13332,"4,2",36,"1,14"
150085 ANAPU,83,83,"30971,72","25086,12",-,-,"5885,6",-,-,"373,15","373,15",218,"2,6",-,-
150090 AUGUSTO CORREA,232,232,"89083,27","70164,29",-,-,"18918,98",-,-,"383,98","383,98",624,"2,7",-,-
150095 AURORA DO PARA,145,145,"58984,35","49080,74",-,-,"9903,61",-,-,"406,79","406,79",351,"2,4",-,-
150120 BAIAO,82,82,"33277,09","25399,23",-,-,"7877,86",-,-,"405,82","405,82",236,"2,9",-,-
150125 BANNACH,68,68,"21885,47","18830,27",-,-,"3055,2",-,-,"321,85","321,85",203,3,-,-
150130 BARCARENA,411,411,"189022,8","138890,43",-,-,"50132,37",-,-,"459,91","459,91",1403,"3,4",2,"0,49"
150140 BELEM,8328,8328,"8719575,71","6782105,72",-,-,"1937469,99",-,-,"1047,02","1047,02",43590,"5,2",348,"4,18"
150145 BELTERRA,63,63,"16294,59","14151,27",-,-,"2143,32",-,-,"258,64","258,64",120,"1,9",1,"1,59"
150150 BENEVIDES,187,209,"94053,58","74060,96",-,-,"19992,62",-,-,"450,02","502,96",1218,"6,5",-,-
150157 BOM JESUS DO TOCANTINS,115,115,"50880,18","43982,12",-,-,"6898,06",-,-,"442,44","442,44",321,"2,8",-,-
150170 BRAGANCA,1331,1331,"1026955,15","815064,79",-,-,"211890,36",-,-,"771,57","771,57",4557,"3,4",21,"1,58"
150172 BRASIL NOVO,235,235,"119406,19","101946,73",-,-,"17459,46",-,-,"508,11","508,11",677,"2,9",-,-
150175 BREJO GRANDE DO ARAGUAIA,34,34,"8932,57","7487,8",-,-,"1444,77",-,-,"262,72","262,72",74,"2,2",-,-
150178 BREU BRANCO,95,95,"32040,96","25933,55",-,-,"6107,41",-,-,"337,27","337,27",209,"2,2",-,-
150180 BREVES,709,709,"328937,77","239933,18",-,-,"89004,59",-,-,"463,95","463,95",2738,"3,9",19,"2,68"
150190 BUJARU,202,202,"78392,21","67972,98",-,-,"10419,23",-,-,"388,08","388,08",672,"3,3",1,"0,5"
150200 CACHOEIRA DO ARARI,103,103,"51415,13","44970,4",-,-,"6444,73",-,-,"499,18","499,18",240,"2,3",-,-
150210 CAMETA,620,620,"263799,56","192320,58",-,-,"71478,98",-,-,"425,48","425,48",1845,3,14,"2,26"
150215 CANAA DOS CARAJAS,69,69,"28818,84","21796,97",-,-,"7021,87",-,-,"417,66","417,66",191,"2,8",-,-
150220 CAPANEMA,667,667,"441085,8","341577,3",-,-,"99508,5",-,-,"661,3","661,3",1900,"2,8",14,"2,1"
150230 CAPITAO POCO,599,599,"256625,03","207297,43",-,-,"49327,6",-,-,"428,42","428,42",1628,"2,7",-,-
150240 CASTANHAL,1372,1372,"852747,61","577396,34",-,-,"275351,27",-,-,"621,54","621,54",5394,"3,9",17,"1,24"
150270 CONCEICAO DO ARAGUAIA,406,406,"169342,93","135224,64",-,-,"34118,29",-,-,"417,1","417,1",1263,"3,1",1,"0,25"
