Período:Mar/2012,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,25,25,"10569,15","7700,11",-,-,"2869,04",-,-,"422,77","422,77",49,2,-,-
110002 ARIQUEMES,397,397,"231025,38","176492,05",-,-,"54533,33",-,-,"581,93","581,93",1264,"3,2",12,"3,02"
110003 CABIXI,21,21,"6080,68","5278,32",-,-,"802,36",-,-,"289,56","289,56",42,2,-,-
110004 CACOAL,691,691,"273699,77","210541,97",-,-,"63157,8",-,-,"396,09","396,09",3166,"4,6",21,"3,04"
110005 CEREJEIRAS,150,150,"45308,73","37169,13",-,-,"8139,6",-,-,"302,06","302,06",340,"2,3",-,-
110006 COLORADO DO OESTE,140,140,"46134,85","36906,81",-,-,"9228,04",-,-,"329,53","329,53",443,"3,2",-,-
110009 ESPIGAO D'OESTE,149,149,"42568,87","34374,4",-,-,"8194,47",-,-,"285,7","285,7",402,"2,7",3,"2,01"
110010 GUAJARA-MIRIM,236,236,"93109,08","68660,68",-,-,"24448,4",-,-,"394,53","394,53",656,"2,8",4,"1,69"
110011 JARU,304,304,"111749,04","80112,32",-,-,"31636,72",-,-,"367,6","367,6",622,2,3,"0,99"
110012 JI-PARANA,914,914,"451478,93","354886,35",-,-,"96592,58",-,-,"493,96","493,96",3265,"3,6",21,"2,3"
110013 MACHADINHO D'OESTE,133,133,"47826,98","36483,32",-,-,"11343,66",-,-,"359,6","359,6",308,"2,3",-,-
110014 NOVA BRASILANDIA D'OESTE,129,129,"41620,73","34745,02",-,-,"6875,71",-,-,"322,64","322,64",316,"2,4",-,-
110015 OURO PRETO DO OESTE,155,155,"63197,8","47930,7",-,-,"15267,1",-,-,"407,73","407,73",299,"1,9",-,-
110018 PIMENTA BUENO,232,232,"83691,49","68123,43",-,-,"15568,06",-,-,"360,74","360,74",622,"2,7",6,"2,59"
110020 PORTO VELHO,2413,2413,"2457963,57","1955720,06",-,-,"502243,51",-,-,"1018,63","1018,63",17796,"7,4",101,"4,19"
110025 PRESIDENTE MEDICI,69,69,"18841,79","16408,42",-,-,"2433,37",-,-,"273,07","273,07",200,"2,9",2,"2,9"
110028 ROLIM DE MOURA,319,319,"102110,99","84237,08",-,-,"17873,91",-,-,"320,1","320,1",864,"2,7",9,"2,82"
110029 SANTA LUZIA D'OESTE,33,33,"11178,76","9576,86",-,-,"1601,9",-,-,"338,75","338,75",128,"3,9",-,-
110030 VILHENA,588,588,"425573,9","339998,2",-,-,"85575,7",-,-,"723,77","723,77",2595,"4,4",26,"4,42"
110032 SAO MIGUEL DO GUAPORE,137,137,"42637,52","34100,71",-,-,"8536,81",-,-,"311,22","311,22",299,"2,2",3,"2,19"
110033 NOVA MAMORE,70,70,22991,"17150,42",-,-,"5840,58",-,-,"328,44","328,44",221,"3,2",-,-
110034 ALVORADA D'OESTE,49,49,"14906,02","11505,1",-,-,"3400,92",-,-,"304,2","304,2",168,"3,4",-,-
110037 ALTO ALEGRE DOS PARECIS,75,75,"21363,29","18467,71",-,-,"2895,58",-,-,"284,84","284,84",177,"2,4",-,-
110040 ALTO PARAISO,57,57,"14175,06","12082,77",-,-,"2092,29",-,-,"248,69","248,69",94,"1,6",-,-
110050 NOVO HORIZONTE DO OESTE,45,45,"14856,18","12981,67",-,-,"1874,51",-,-,"330,14","330,14",99,"2,2",-,-
110060 CACAULANDIA,21,21,"6578,08","5667,99",-,-,"910,09",-,-,"313,24","313,24",57,"2,7",-,-
110070 CAMPO NOVO DE RONDONIA,37,37,"10655,6","9077,56",-,-,"1578,04",-,-,"287,99","287,99",102,"2,8",-,-
110094 CUJUBIM,35,35,"10579,2","9107,46",-,-,"1471,74",-,-,"302,26","302,26",120,"3,4",-,-
110100 GOVERNADOR JORGE TEIXEIRA,36,36,"10791,93","9126,19",-,-,"1665,74",-,-,"299,78","299,78",88,"2,4",-,-
110110 ITAPUA DO OESTE,4,4,"940,15","780,81",-,-,"159,34",-,-,"235,04","235,04",11,"2,8",-,-
110120 MINISTRO ANDREAZZA,41,41,"14690,81","12950,39",-,-,"1740,42",-,-,"358,31","358,31",129,"3,1",-,-
110130 MIRANTE DA SERRA,54,54,"18677,13","16289,75",-,-,"2387,38",-,-,"345,87","345,87",116,"2,1",-,-
110140 MONTE NEGRO,122,122,"44328,34","37131,7",-,-,"7196,64",-,-,"363,35","363,35",289,"2,4",2,"1,64"
110143 NOVA UNIAO,10,10,"3210,32","2783,07",-,-,"427,25",-,-,"321,03","321,03",25,"2,5",-,-
110145 PARECIS,9,9,"410,18","309,3",-,-,"100,88",-,-,"45,58","45,58",9,1,-,-
110146 PIMENTEIRAS DO OESTE,10,10,"2509,75","2176,22",-,-,"333,53",-,-,"250,97","250,97",18,"1,8",-,-
110149 SAO FRANCISCO DO GUAPORE,49,49,"10491,32","8497,01",-,-,"1994,31",-,-,"214,11","214,11",77,"1,6",-,-
110150 SERINGUEIRAS,66,66,"23505,34","17461,47",-,-,"6043,87",-,-,"356,14","356,14",150,"2,3",-,-
110155 TEIXEIROPOLIS,15,15,"4462,69","3825,73",-,-,"636,96",-,-,"297,51","297,51",27,"1,8",-,-
110160 THEOBROMA,11,11,"2918,7","2551,57",-,-,"367,13",-,-,"265,34","265,34",40,"3,6",-,-
110170 URUPA,9,9,"2508,38","2216,74",-,-,"291,64",-,-,"278,71","278,71",22,"2,4",-,-
110175 VALE DO ANARI,10,10,"2806,53","2459,02",-,-,"347,51",-,-,"280,65","280,65",28,"2,8",-,-
110180 VALE DO PARAISO,31,31,"8640,25","7456,92",-,-,"1183,33",-,-,"278,72","278,72",39,"1,3",-,-
120005 ASSIS BRASIL,34,34,"10549,4","8291,65",-,-,"2257,75",-,-,"310,28","310,28",74,"2,2",-,-
120010 BRASILEIA,193,193,"73864,03","52714,04",-,-,"21149,99",-,-,"382,72","382,72",512,"2,7",3,"1,55"
120020 CRUZEIRO DO SUL,724,724,"345765,12","262362,42",-,-,"83402,7",-,-,"477,58","477,58",2738,"3,8",14,"1,93"
120030 FEIJO,31,31,"10163,42","7207,96",-,-,"2955,46",-,-,"327,85","327,85",79,"2,5",-,-
120032 JORDAO,8,8,"2794,66","2419,32",-,-,"375,34",-,-,"349,33","349,33",20,"2,5",-,-
120033 MANCIO LIMA,49,49,"15982,45","11752,33",-,-,"4230,12",-,-,"326,17","326,17",91,"1,9",-,-
120034 MANOEL URBANO,31,31,"7646,03","6005,55",-,-,"1640,48",-,-,"246,65","246,65",52,"1,7",-,-
120038 PLACIDO DE CASTRO,63,63,"18953,25","16411,6",-,-,"2541,65",-,-,"300,85","300,85",212,"3,4",-,-
120039 PORTO WALTER,2,2,"649,8","570,8",-,-,79,-,-,"324,9","324,9",4,2,-,-
120040 RIO BRANCO,2704,2712,"2180397,55","1618553,42",-,-,"561844,13",-,-,"803,98","806,36",15117,"5,6",97,"3,59"
120042 RODRIGUES ALVES,10,10,"3417,01","3018,87",-,-,"398,14",-,-,"341,7","341,7",26,"2,6",-,-
120043 SANTA ROSA DO PURUS,12,12,"3413,15","2949,82",-,-,"463,33",-,-,"284,43","284,43",27,"2,3",-,-
120045 SENADOR GUIOMARD,87,87,"31356,47","26128,66",-,-,"5227,81",-,-,"360,42","360,42",240,"2,8",-,-
120050 SENA MADUREIRA,286,286,"95376,34","78105,35",-,-,"17270,99",-,-,"333,48","333,48",814,"2,8",1,"0,35"
120060 TARAUACA,170,170,"66012,64","47383,58",-,-,"18629,06",-,-,"388,31","388,31",421,"2,5",1,"0,59"
120070 XAPURI,76,76,"24662,88","19329,35",-,-,"5333,53",-,-,"324,51","324,51",240,"3,2",1,"1,32"
130006 AMATURA,29,29,"10081,26","8923,5",-,-,"1157,76",-,-,"347,63","347,63",91,"3,1",-,-
130008 ANAMA,69,69,"23243,42","17557,13",-,-,"5686,29",-,-,"336,86","336,86",157,"2,3",-,-
130014 APUI,101,101,"36894,95","27771,04",-,-,"9123,91",-,-,"365,3","365,3",345,"3,4",-,-
130020 ATALAIA DO NORTE,28,28,"10212,08","8142,89",-,-,"2069,19",-,-,"364,72","364,72",87,"3,1",-,-
130030 AUTAZES,168,168,"76078,36","49688,17",-,-,"26390,19",-,-,"452,85","452,85",401,"2,4",-,-
130040 BARCELOS,65,65,"19177,34","15673,48",-,-,"3503,86",-,-,"295,04","295,04",227,"3,5",1,"1,54"
130050 BARREIRINHA,51,51,"24051,68","15794,18",-,-,"8257,5",-,-,"471,6","471,6",133,"2,6",-,-
130060 BENJAMIN CONSTANT,83,83,"32972,91","21270,97",-,-,"11701,94",-,-,"397,26","397,26",213,"2,6",-,-
130068 BOA VISTA DO RAMOS,36,36,"12161,63","8504,26",-,-,"3657,37",-,-,"337,82","337,82",97,"2,7",-,-
130070 BOCA DO ACRE,138,138,"48637,18","37319,16",-,-,"11318,02",-,-,"352,44","352,44",405,"2,9",-,-
130080 BORBA,134,134,"67900,68","51537,19",-,-,"16363,49",-,-,"506,72","506,72",441,"3,3",1,"0,75"
130083 CAAPIRANGA,22,22,"9092,62","7159,65",-,-,"1932,97",-,-,"413,3","413,3",52,"2,4",-,-
130100 CARAUARI,76,76,"31024,63","23014,08",-,-,"8010,55",-,-,"408,22","408,22",223,"2,9",-,-
130120 COARI,84,84,"35858,13","25123,87",-,-,"10734,26",-,-,"426,88","426,88",307,"3,7",-,-
130130 CODAJAS,93,93,"34327,94","24125,98",-,-,"10201,96",-,-,"369,12","369,12",169,"1,8",-,-
130165 GUAJARA,40,40,"13310,57","9618,5",-,-,"3692,07",-,-,"332,76","332,76",111,"2,8",-,-
130170 HUMAITA,140,140,"67866,15","47325,99",-,-,"20540,16",-,-,"484,76","484,76",404,"2,9",1,"0,71"
130180 IPIXUNA,53,53,"21268,33","14780,54",-,-,"6487,79",-,-,"401,29","401,29",156,"2,9",-,-
130185 IRANDUBA,98,98,"39600,13","30131,39",-,-,"9468,74",-,-,"404,08","404,08",197,2,-,-
130190 ITACOATIARA,329,329,"138831,09","98311,17",-,-,"40519,92",-,-,"421,98","421,98",957,"2,9",7,"2,13"
130195 ITAMARATI,2,2,"375,73","307,64",-,-,"68,09",-,-,"187,87","187,87",6,3,-,-
130200 ITAPIRANGA,58,58,"22377,27","16844,93",-,-,"5532,34",-,-,"385,82","385,82",120,"2,1",-,-
130230 JUTAI,85,85,"38336,13","29317,39",-,-,"9018,74",-,-,"451,01","451,01",254,3,-,-
130250 MANACAPURU,373,373,"165044,33","109545,22",-,-,"55499,11",-,-,"442,48","442,48",944,"2,5",-,-
130255 MANAQUIRI,34,34,"11362,75","8955,17",-,-,"2407,58",-,-,"334,2","334,2",81,"2,4",-,-
130260 MANAUS,10056,10085,"8697540,66","6754397,02",-,-,"1943143,64",-,-,"862,42","864,91",56281,"5,6",314,"3,12"
130280 MARAA,83,83,"27541,57","22307,78",-,-,"5233,79",-,-,"331,83","331,83",270,"3,3",-,-
130290 MAUES,163,163,"67307,03","47415,59",-,-,"19891,44",-,-,"412,93","412,93",486,3,-,-
130320 NOVO AIRAO,49,49,"17960,76","13220,48",-,-,"4740,28",-,-,"366,55","366,55",172,"3,5",-,-
130340 PARINTINS,449,449,"187947,83","130764,03",-,-,"57183,8",-,-,"418,59","418,59",1431,"3,2",-,-
130350 PAUINI,62,62,"23421,46","16909,66",-,-,"6511,8",-,-,"377,77","377,77",197,"3,2",-,-
130353 PRESIDENTE FIGUEIREDO,96,96,"40835,65","30163,11",-,-,"10672,54",-,-,"425,37","425,37",312,"3,3",-,-
130360 SANTA ISABEL DO RIO NEGRO,50,50,"18882,08","14827,93",-,-,"4054,15",-,-,"377,64","377,64",157,"3,1",-,-
