Período:Nov/2012,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,186,186,"62950,47","53300,96",-,-,"9649,51",-,-,"338,44","338,44",459,"2,5",2,"1,08"
110002 ARIQUEMES,416,416,236971,"186311,25",-,-,"50659,75",-,-,"569,64","569,64",1362,"3,3",7,"1,68"
110003 CABIXI,25,25,"7581,88","6280,02",-,-,"1301,86",-,-,"303,28","303,28",58,"2,3",-,-
110004 CACOAL,640,640,297445,"225435,24",-,-,"72009,76",-,-,"464,76","464,76",3244,"5,1",34,"5,31"
110005 CEREJEIRAS,148,148,"44511,87","36618,02",-,-,"7893,85",-,-,"300,76","300,76",660,"4,5",1,"0,68"
110006 COLORADO DO OESTE,98,98,"35344,46","29790,2",-,-,"5554,26",-,-,"360,66","360,66",353,"3,6",-,-
110009 ESPIGAO D'OESTE,151,151,"36667,65","29299,18",-,-,"7368,47",-,-,"242,83","242,83",396,"2,6",3,"1,99"
110010 GUAJARA-MIRIM,285,285,"110459,22","82201,01",-,-,"28258,21",-,-,"387,58","387,58",857,3,7,"2,46"
110011 JARU,211,211,"71940,04","50195,21",-,-,"21744,83",-,-,"340,95","340,95",375,"1,8",4,"1,9"
110012 JI-PARANA,743,743,"339854,9","265655,99",-,-,"74198,91",-,-,"457,41","457,41",2773,"3,7",14,"1,88"
110013 MACHADINHO D'OESTE,158,158,"56520,06","43442,29",-,-,"13077,77",-,-,"357,72","357,72",397,"2,5",-,-
110014 NOVA BRASILANDIA D'OESTE,129,129,"45215,82","39523,72",-,-,"5692,1",-,-,"350,51","350,51",296,"2,3",-,-
110015 OURO PRETO DO OESTE,176,176,"63724,11","49896,61",-,-,"13827,5",-,-,"362,07","362,07",404,"2,3",2,"1,14"
110018 PIMENTA BUENO,210,210,"73255,81","60156,25",-,-,"13099,56",-,-,"348,84","348,84",500,"2,4",6,"2,86"
110020 PORTO VELHO,1837,1837,"1354422,88","1063401,3",-,-,"291021,58",-,-,"737,3","737,3",11229,"6,1",59,"3,21"
110025 PRESIDENTE MEDICI,83,83,"28003,54","22913,63",-,-,"5089,91",-,-,"337,39","337,39",303,"3,7",-,-
110028 ROLIM DE MOURA,487,487,"171904,34","139120,64",-,-,"32783,7",-,-,"352,99","352,99",1769,"3,6",1,"0,21"
110029 SANTA LUZIA D'OESTE,54,54,"15174,49","13326,8",-,-,"1847,69",-,-,"281,01","281,01",181,"3,4",-,-
110030 VILHENA,557,557,"290441,66","229377,33",-,-,"61064,33",-,-,"521,44","521,44",2259,"4,1",29,"5,21"
