Período:Out/2012,,,,,,,,,,,,,,,
Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade
110001 ALTA FLORESTA D'OESTE,184,184,"59417,29","50190,67",-,-,"9226,62",-,-,"322,92","322,92",468,"2,5",1,"0,54"
110002 ARIQUEMES,476,476,"380616,7","307203,4",-,-,"73413,3",-,-,"799,61","799,61",1653,"3,5",19,"3,99"
110003 CABIXI,23,23,"7755,93","6725,98",-,-,"1029,95",-,-,"337,21","337,21",50,"2,2",-,-
110004 CACOAL,745,745,"314287,41","238430,03",-,-,"75857,38",-,-,"421,86","421,86",3312,"4,4",17,"2,28"
110005 CEREJEIRAS,160,160,"48740,44","40291,65",-,-,"8448,79",-,-,"304,63","304,63",394,"2,5",-,-
110006 COLORADO DO OESTE,134,134,"44338,04","37272,07",-,-,"7065,97",-,-,"330,88","330,88",456,"3,4",-,-
110009 ESPIGAO D'OESTE,153,153,"39581,92","32648,27",-,-,"6933,65",-,-,"258,71","258,71",421,"2,8",4,"2,61"
110010 GUAJARA-MIRIM,251,251,"98078,38",74574,-,-,"23504,38",-,-,"390,75","390,75",840,"3,3",6,"2,39"
110011 JARU,208,208,"73110,39","52647,83",-,-,"20462,56",-,-,"351,49","351,49",447,"2,1",1,"0,48"
110012 JI-PARANA,657,657,"315337,27","246168,51",-,-,"69168,76",-,-,"479,97","479,97",2754,"4,2",17,"2,59"
110013 MACHADINHO D'OESTE,79,79,"30112,05","22075,14",-,-,"8036,91",-,-,"381,17","381,17",177,"2,2",-,-
110014 NOVA BRASILANDIA D'OESTE,129,129,"45819,69","39502,01",-,-,"6317,68",-,-,"355,19","355,19",297,"2,3",-,-
110015 OURO PRETO DO OESTE,272,272,"76067,67","59058,34",-,-,"17009,33",-,-,"279,66","279,66",446,"1,6",1,"0,37"
110018 PIMENTA BUENO,150,150,"44106,55","35909,68",-,-,"8196,87",-,-,"294,04","294,04",295,2,1,"0,67"
110020 PORTO VELHO,1895,1895,"1454679,32","1128489,22",-,-,"326190,1",-,-,"767,64","767,64",11991,"6,3",69,"3,64"
110025 PRESIDENTE MEDICI,70,70,"21304,84","17937,56",-,-,"3367,28",-,-,"304,35","304,35",202,"2,9",1,"1,43"
110028 ROLIM DE MOURA,457,457,"153643,41","124403,73",-,-,"29239,68",-,-,"336,2","336,2",1249,"2,7",12,"2,63"
110029 SANTA LUZIA D'OESTE,52,52,"16398,38","14200,39",-,-,"2197,99",-,-,"315,35","315,35",183,"3,5",-,-
110030 VILHENA,565,565,"378529,38","299413,41",-,-,"79115,97",-,-,"669,96","669,96",2538,"4,5",26,"4,6"
110032 SAO MIGUEL DO GUAPORE,113,113,"37588,57","31071,54",-,-,"6517,03",-,-,"332,64","332,64",298,"2,6",-,-
110033 NOVA MAMORE,91,91,"32792,95","24306,12",-,-,"8486,83",-,-,"360,36","360,36",240,"2,6",-,-
110034 ALVORADA D'OESTE,69,69,"18455,4","14855,09",-,-,"3600,31",-,-,"267,47","267,47",215,"3,1",-,-
110037 ALTO ALEGRE DOS PARECIS,26,26,"8344,01","7272,64",-,-,"1071,37",-,-,"320,92","320,92",72,"2,8",-,-
110040 ALTO PARAISO,12,12,"3002,93","2602,43",-,-,"400,5",-,-,"250,24","250,24",24,2,-,-
110045 BURITIS,1,1,"179,62","109,21",-,-,"70,41",-,-,"179,62","179,62",1,1,-,-
110050 NOVO HORIZONTE DO OESTE,42,42,"13425,97","11535,26",-,-,"1890,71",-,-,"319,67","319,67",86,2,-,-
110060 CACAULANDIA,12,12,"2856,72","2429,26",-,-,"427,46",-,-,"238,06","238,06",31,"2,6",-,-
110070 CAMPO NOVO DE RONDONIA,53,53,"17318,44","14985,79",-,-,"2332,65",-,-,"326,76","326,76",115,"2,2",-,-
