Per�odo:Jun/2022
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 ALTA FLORESTA D'OESTE";159;159;51087,54;43953,56;-;-;7133,98;-;-;321,31;321,31;405;2,5;-;-
"110002 ARIQUEMES";597;597;472279,77;380868,95;-;-;91410,82;-;-;791,09;791,09;1711;2,9;13;2,18
"110003 CABIXI";10;10;3995,22;3563,74;-;-;431,48;-;-;399,52;399,52;37;3,7;-;-
"110004 CACOAL";967;967;847879,14;678386,39;-;-;169492,75;-;-;876,81;876,81;5145;5,3;35;3,62
"110005 CEREJEIRAS";70;70;31431,73;26802,15;-;-;4629,58;-;-;449,02;449,02;201;2,9;-;-
"110006 COLORADO DO OESTE";42;42;25727,99;23193,87;-;-;2534,12;-;-;612,57;612,57;151;3,6;1;2,38
"110008 COSTA MARQUES";9;9;2733,63;2110,31;-;-;623,32;-;-;303,74;303,74;27;3,0;-;-
"110009 ESPIGAO D'OESTE";163;163;63680,38;54088,72;-;-;9591,66;-;-;390,68;390,68;385;2,4;7;4,29
"110010 GUAJARA-MIRIM";350;350;148556,04;117143,81;-;-;31412,23;-;-;424,45;424,45;1220;3,5;2;0,57
"110011 JARU";242;242;182656,07;144877,88;-;-;37778,19;-;-;754,78;754,78;829;3,4;6;2,48
"110012 JI-PARANA";745;745;511668,32;423903,36;-;-;87764,96;-;-;686,80;686,80;2053;2,8;11;1,48
"110013 MACHADINHO D'OESTE";171;171;74935,88;59064,27;-;-;15871,61;-;-;438,22;438,22;507;3,0;2;1,17
"110014 NOVA BRASILANDIA D'OESTE";132;132;50736,52;39575,70;-;-;11160,82;-;-;384,37;384,37;388;2,9;4;3,03
"110015 OURO PRETO DO OESTE";242;242;133396,41;100903,61;-;-;32492,80;-;-;551,22;551,22;518;2,1;3;1,24
