Per�odo:Ago/2022
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 ALTA FLORESTA D'OESTE";128;128;35400,78;30306,08;-;-;5094,70;-;-;276,57;276,57;336;2,6;1;0,78
"110002 ARIQUEMES";551;551;439836,82;352238,94;-;-;87597,88;-;-;798,25;798,25;1461;2,7;16;2,90
"110003 CABIXI";24;24;7223,19;6249,92;-;-;973,27;-;-;300,97;300,97;65;2,7;-;-
"110004 CACOAL";1247;1247;906850,17;717792,73;-;-;189057,44;-;-;727,23;727,23;6601;5,3;54;4,33
"110005 CEREJEIRAS";100;100;44759,29;34697,83;-;-;10061,46;-;-;447,59;447,59;289;2,9;-;-
"110006 COLORADO DO OESTE";33;33;17045,06;15229,32;-;-;1815,74;-;-;516,52;516,52;136;4,1;1;3,03
"110008 COSTA MARQUES";16;16;5368,39;4608,60;-;-;759,79;-;-;335,52;335,52;56;3,5;1;6,25
"110009 ESPIGAO D'OESTE";127;127;40946,68;35100,61;-;-;5846,07;-;-;322,41;322,41;278;2,2;2;1,57
"110010 GUAJARA-MIRIM";304;304;119541,76;92942,33;-;-;26599,43;-;-;393,23;393,23;900;3,0;-;-
"110011 JARU";223;223;103302,27;73147,18;-;-;30155,09;-;-;463,24;463,24;528;2,4;5;2,24
"110012 JI-PARANA";676;676;581457,27;481495,26;-;-;99962,01;-;-;860,14;860,14;2256;3,3;22;3,25
"110013 MACHADINHO D'OESTE";114;114;50823,58;38188,38;-;-;12635,20;-;-;445,82;445,82;292;2,6;1;0,88
"110014 NOVA BRASILANDIA D'OESTE";108;108;43802,79;32233,43;-;-;11569,36;-;-;405,58;405,58;295;2,7;2;1,85
"110015 OURO PRETO DO OESTE";237;237;141981,53;102875,33;-;-;39106,20;-;-;599,08;599,08;449;1,9;2;0,84
"110018 PIMENTA BUENO";295;295;121369,03;94362,94;-;-;27006,09;-;-;411,42;411,42;534;1,8;3;1,02
"110020 PORTO VELHO";3477;3477;5433872,20;4440750,83;-;-;993121,37;-;-;1562,80;1562,80;23310;6,7;137;3,94
"110025 PRESIDENTE MEDICI";70;70;36279,48;27018,00;-;-;9261,48;-;-;518,28;518,28;267;3,8;3;4,29
"110028 ROLIM DE MOURA";239;239;103568,71;74365,35;-;-;29203,36;-;-;433,34;433,34;594;2,5;4;1,67
"110029 SANTA LUZIA D'OESTE";57;57;20089,69;17321,27;-;-;2768,42;-;-;352,45;352,45;211;3,7;2;3,51
"110030 VILHENA";656;656;555039,58;424564,49;-;-;130475,09;-;-;846,10;846,10;2687;4,1;15;2,29
"110032 SAO MIGUEL DO GUAPORE";102;102;46304,92;37461,54;-;-;8843,38;-;-;453,97;453,97;183;1,8;3;2,94
"110033 NOVA MAMORE";99;99;38919,78;30370,86;-;-;8548,92;-;-;393,13;393,13;322;3,3;2;2,02
"110034 ALVORADA D'OESTE";64;64;21559,88;16959,95;-;-;4599,93;-;-;336,87;336,87;216;3,4;-;-
"110037 ALTO ALEGRE DOS PARECIS";34;34;11642,28;10194,56;-;-;1447,72;-;-;342,42;342,42;112;3,3;-;-
"110040 ALTO PARAISO";20;20;5567,91;4820,55;-;-;747,36;-;-;278,40;278,40;63;3,1;-;-
"110045 BURITIS";79;79;37494,64;30706,19;-;-;6788,45;-;-;474,62;474,62;195;2,5;1;1,27
"110050 NOVO HORIZONTE DO OESTE";39;39;16526,74;14696,23;-;-;1830,51;-;-;423,76;423,76;139;3,6;-;-
"110060 CACAULANDIA";5;5;2121,30;1845,47;-;-;275,83;-;-;424,26;424,26;29;5,8;-;-
"110070 CAMPO NOVO DE RONDONIA";9;9;2627,30;2177,65;-;-;449,65;-;-;291,92;291,92;19;2,1;-;-
"110080 CANDEIAS DO JAMARI";3;3;1135,45;1059,93;-;-;75,52;-;-;378,48;378,48;12;4,0;-;-
"110094 CUJUBIM";31;31;8582,11;7209,84;-;-;1372,27;-;-;276,84;276,84;-;-;-;-
"110100 GOVERNADOR JORGE TEIXEIRA";6;6;2274,69;1955,17;-;-;319,52;-;-;379,11;379,11;19;3,2;-;-
"110110 ITAPUA DO OESTE";6;6;1492,05;1284,84;-;-;207,21;-;-;248,67;248,67;8;1,3;-;-
"110120 MINISTRO ANDREAZZA";20;20;8065,36;7153,24;-;-;912,12;-;-;403,27;403,27;57;2,9;-;-
"110130 MIRANTE DA SERRA";50;50;23663,10;20877,65;-;-;2785,45;-;-;473,26;473,26;168;3,4;-;-
"110140 MONTE NEGRO";17;17;5873,74;5194,21;-;-;679,53;-;-;345,51;345,51;100;5,9;-;-
"110143 NOVA UNIAO";13;13;4925,55;4191,43;-;-;734,12;-;-;378,89;378,89;45;3,5;-;-
"110145 PARECIS";31;31;8735,75;7512,30;-;-;1223,45;-;-;281,80;281,80;31;1,0;-;-
"110146 PIMENTEIRAS DO OESTE";10;10;6741,69;6060,65;-;-;681,04;-;-;674,17;674,17;39;3,9;-;-
"110149 SAO FRANCISCO DO GUAPORE";32;32;16875,22;12048,61;-;-;4826,61;-;-;527,35;527,35;71;2,2;-;-
"110150 SERINGUEIRAS";67;67;35191,25;26661,81;-;-;8529,44;-;-;525,24;525,24;247;3,7;1;1,49
"110155 TEIXEIROPOLIS";4;4;1599,91;1375,44;-;-;224,47;-;-;399,98;399,98;9;2,3;-;-
"110160 THEOBROMA";7;7;2363,82;2033,72;-;-;330,10;-;-;337,69;337,69;19;2,7;-;-
"110170 URUPA";28;28;16478,32;12299,74;-;-;4178,58;-;-;588,51;588,51;54;1,9;1;3,57
"110175 VALE DO ANARI";15;15;4513,31;3894,34;-;-;618,97;-;-;300,89;300,89;54;3,6;-;-
"110180 VALE DO PARAISO";14;14;5756,38;5047,31;-;-;709,07;-;-;411,17;411,17;52;3,7;-;-
"120001 ACRELANDIA";10;10;4639,41;4047,00;-;-;592,41;-;-;463,94;463,94;41;4,1;2;20,00
"120005 ASSIS BRASIL";3;3;1356,10;854,60;-;-;501,50;-;-;452,03;452,03;5;1,7;-;-
"120010 BRASILEIA";195;195;74187,81;56600,13;-;-;17587,68;-;-;380,45;380,45;666;3,4;3;1,54
"120020 CRUZEIRO DO SUL";535;535;225368,14;172196,57;-;-;53171,57;-;-;421,25;421,25;1853;3,5;11;2,06
"120030 FEIJO";94;94;35373,58;25898,78;-;-;9474,80;-;-;376,31;376,31;239;2,5;-;-
"120033 MANCIO LIMA";33;33;11831,58;10180,29;-;-;1651,29;-;-;358,53;358,53;95;2,9;-;-
"120034 MANOEL URBANO";27;27;7423,62;5714,69;-;-;1708,93;-;-;274,95;274,95;67;2,5;-;-
"120035 MARECHAL THAUMATURGO";37;37;5418,57;4015,64;-;-;1402,93;-;-;146,45;146,45;64;1,7;-;-
"120038 PLACIDO DE CASTRO";24;24;4969,69;3882,84;-;-;1086,85;-;-;207,07;207,07;49;2,0;-;-
"120040 RIO BRANCO";2657;2657;3236414,13;2442875,34;-;-;793538,79;-;-;1218,07;1218,07;15068;5,7;97;3,65
"120045 SENADOR GUIOMARD";45;45;13670,55;10576,80;-;-;3093,75;-;-;303,79;303,79;102;2,3;1;2,22
"120050 SENA MADUREIRA";188;188;67845,55;53675,51;-;-;14170,04;-;-;360,88;360,88;597;3,2;1;0,53
"120060 TARAUACA";186;186;78984,45;58168,74;-;-;20815,71;-;-;424,65;424,65;423;2,3;2;1,08
"120070 XAPURI";70;70;25833,79;22391,44;-;-;3442,35;-;-;369,05;369,05;233;3,3;2;2,86
"130002 ALVARAES";22;22;8607,97;6929,82;-;-;1678,15;-;-;391,27;391,27;85;3,9;-;-
"130006 AMATURA";41;41;21080,08;14966,78;-;-;6113,30;-;-;514,15;514,15;115;2,8;-;-
"130008 ANAMA";52;52;15730,03;13381,76;-;-;2348,27;-;-;302,50;302,50;147;2,8;-;-
"130010 ANORI";46;46;16321,97;12883,36;-;-;3438,61;-;-;354,83;354,83;117;2,5;-;-
"130014 APUI";89;89;37981,84;27341,05;-;-;10640,79;-;-;426,76;426,76;243;2,7;-;-
"130020 ATALAIA DO NORTE";53;53;17496,78;13541,40;-;-;3955,38;-;-;330,13;330,13;112;2,1;-;-
"130030 AUTAZES";95;95;49680,41;32265,51;-;-;17414,90;-;-;522,95;522,95;202;2,1;-;-
"130040 BARCELOS";79;79;30020,42;21629,11;-;-;8391,31;-;-;380,01;380,01;247;3,1;1;1,27
"130050 BARREIRINHA";121;121;50258,20;35758,94;-;-;14499,26;-;-;415,36;415,36;327;2,7;1;0,83
"130060 BENJAMIN CONSTANT";81;81;31127,41;21676,56;-;-;9450,85;-;-;384,29;384,29;184;2,3;-;-
"130063 BERURI";79;79;32243,17;23217,79;-;-;9025,38;-;-;408,14;408,14;210;2,7;1;1,27
"130068 BOA VISTA DO RAMOS";76;76;26736,68;20681,78;-;-;6054,90;-;-;351,80;351,80;221;2,9;1;1,32
"130070 BOCA DO ACRE";165;165;76371,72;54376,51;-;-;21995,21;-;-;462,86;462,86;510;3,1;-;-
"130080 BORBA";179;179;76841,75;56535,14;-;-;20306,61;-;-;429,28;429,28;433;2,4;1;0,56
"130083 CAAPIRANGA";67;67;22399,63;17296,07;-;-;5103,56;-;-;334,32;334,32;338;5,0;-;-
"130090 CANUTAMA";22;22;9145,58;7101,79;-;-;2043,79;-;-;415,71;415,71;54;2,5;-;-
"130100 CARAUARI";114;114;66515,52;46519,75;-;-;19995,77;-;-;583,47;583,47;316;2,8;-;-
"130110 CAREIRO";102;102;45580,27;32390,19;-;-;13190,08;-;-;446,87;446,87;223;2,2;-;-
"130115 CAREIRO DA VARZEA";2;2;1141,59;1038,69;-;-;102,90;-;-;570,79;570,79;7;3,5;-;-
"130120 COARI";260;260;119960,94;87839,96;-;-;32120,98;-;-;461,39;461,39;756;2,9;9;3,46
"130130 CODAJAS";98;98;35928,14;26738,28;-;-;9189,86;-;-;366,61;366,61;255;2,6;-;-
"130140 EIRUNEPE";49;49;15833,73;13973,97;-;-;1859,76;-;-;323,14;323,14;170;3,5;3;6,12
"130150 ENVIRA";68;68;29074,80;21043,24;-;-;8031,56;-;-;427,57;427,57;221;3,3;-;-
"130160 FONTE BOA";88;88;43072,20;31193,41;-;-;11878,79;-;-;489,46;489,46;215;2,4;1;1,14
"130165 GUAJARA";13;13;4186,97;3674,64;-;-;512,33;-;-;322,07;322,07;39;3,0;-;-
"130170 HUMAITA";214;214;121291,01;85901,29;-;-;35389,72;-;-;566,78;566,78;759;3,5;8;3,74
"130180 IPIXUNA";124;124;55010,61;42592,59;-;-;12418,02;-;-;443,63;443,63;321;2,6;-;-
"130185 IRANDUBA";23;23;8202,31;6764,04;-;-;1438,27;-;-;356,62;356,62;112;4,9;-;-
"130190 ITACOATIARA";462;462;235626,75;160666,58;-;-;74960,17;-;-;510,01;510,01;1384;3,0;9;1,95
"130195 ITAMARATI";31;31;9612,43;7371,50;-;-;2240,93;-;-;310,08;310,08;92;3,0;-;-
"130200 ITAPIRANGA";36;36;17798,43;13217,82;-;-;4580,61;-;-;494,40;494,40;91;2,5;-;-
"130210 JAPURA";24;24;7792,89;5759,65;-;-;2033,24;-;-;324,70;324,70;47;2,0;1;4,17
"130230 JUTAI";158;158;65891,13;50461,19;-;-;15429,94;-;-;417,03;417,03;270;1,7;-;-
"130240 LABREA";160;160;72650,40;51345,58;-;-;21304,82;-;-;454,07;454,07;465;2,9;3;1,88
"130250 MANACAPURU";491;491;263294,82;192474,10;-;-;70820,72;-;-;536,24;536,24;1162;2,4;6;1,22
"130255 MANAQUIRI";85;85;35067,62;26486,93;-;-;8580,69;-;-;412,56;412,56;275;3,2;-;-
"130260 MANAUS";11999;11999;17560626,45;14062777,18;-;-;3497849,27;-;-;1463,51;1463,51;75162;6,3;475;3,96
"130270 MANICORE";127;127;66013,47;42158,13;-;-;23855,34;-;-;519,79;519,79;258;2,0;2;1,57
"130290 MAUES";279;279;137282,32;97878,92;-;-;39403,40;-;-;492,05;492,05;859;3,1;5;1,79
"130300 NHAMUNDA";81;81;41876,70;26569,00;-;-;15307,70;-;-;517,00;517,00;290;3,6;-;-
"130310 NOVA OLINDA DO NORTE";111;111;49727,56;34798,11;-;-;14929,45;-;-;448,00;448,00;285;2,6;-;-
"130320 NOVO AIRAO";86;86;43548,55;32988,63;-;-;10559,92;-;-;506,38;506,38;161;1,9;2;2,33
