Per�odo:Out/2022
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 ALTA FLORESTA D'OESTE";189;189;43707,12;37303,37;-;-;6403,75;-;-;231,25;231,25;406;2,1;2;1,06
"110002 ARIQUEMES";643;643;492509,92;400242,94;-;-;92266,98;-;-;765,96;765,96;1690;2,6;21;3,27
"110003 CABIXI";22;22;6243,29;5330,33;-;-;912,96;-;-;283,79;283,79;69;3,1;1;4,55
"110004 CACOAL";831;831;650801,74;521556,78;-;-;129244,96;-;-;783,15;783,15;4233;5,1;39;4,69
"110005 CEREJEIRAS";102;102;43705,76;35431,55;-;-;8274,21;-;-;428,49;428,49;299;2,9;1;0,98
"110006 COLORADO DO OESTE";28;28;19308,02;17576,58;-;-;1731,44;-;-;689,57;689,57;101;3,6;1;3,57
"110008 COSTA MARQUES";31;31;10667,01;8723,86;-;-;1943,15;-;-;344,10;344,10;77;2,5;1;3,23
"110009 ESPIGAO D'OESTE";92;92;31363,09;27281,14;-;-;4081,95;-;-;340,90;340,90;206;2,2;1;1,09
"110010 GUAJARA-MIRIM";299;299;115218,46;90659,95;-;-;24558,51;-;-;385,35;385,35;792;2,6;3;1,00
"110011 JARU";334;334;153895,69;111996,60;-;-;41899,09;-;-;460,77;460,77;975;2,9;8;2,40
"110012 JI-PARANA";777;777;627616,52;513990,04;-;-;113626,48;-;-;807,74;807,74;2279;2,9;71;9,14
"110013 MACHADINHO D'OESTE";139;139;60323,09;45143,42;-;-;15179,67;-;-;433,98;433,98;418;3,0;4;2,88
"110014 NOVA BRASILANDIA D'OESTE";117;117;50919,06;38936,71;-;-;11982,35;-;-;435,21;435,21;357;3,1;1;0,85
"110015 OURO PRETO DO OESTE";310;310;176083,67;136862,33;-;-;39221,34;-;-;568,01;568,01;1427;4,6;3;0,97
"110018 PIMENTA BUENO";244;244;100319,34;80980,62;-;-;19338,72;-;-;411,14;411,14;468;1,9;4;1,64
"110020 PORTO VELHO";3382;3382;5490259,51;4478348,72;-;-;1011910,79;-;-;1623,38;1623,38;23297;6,9;118;3,49
"110025 PRESIDENTE MEDICI";47;47;23444,78;16948,50;-;-;6496,28;-;-;498,83;498,83;169;3,6;1;2,13
"110028 ROLIM DE MOURA";168;168;57031,82;42675,89;-;-;14355,93;-;-;339,48;339,48;377;2,2;1;0,60
"110029 SANTA LUZIA D'OESTE";45;45;16431,01;14257,59;-;-;2173,42;-;-;365,13;365,13;164;3,6;2;4,44
"110030 VILHENA";740;740;606066,30;475237,95;-;-;130828,35;-;-;819,01;819,01;2882;3,9;15;2,03
"110032 SAO MIGUEL DO GUAPORE";151;151;67522,02;53334,75;-;-;14187,27;-;-;447,17;447,17;304;2,0;2;1,32
"110033 NOVA MAMORE";87;87;38484,12;29155,25;-;-;9328,87;-;-;442,35;442,35;254;2,9;-;-
"110034 ALVORADA D'OESTE";62;62;27444,67;19946,70;-;-;7497,97;-;-;442,66;442,66;211;3,4;-;-
"110037 ALTO ALEGRE DOS PARECIS";52;52;17338,63;15084,07;-;-;2254,56;-;-;333,44;333,44;158;3,0;-;-
"110040 ALTO PARAISO";25;25;6643,09;5721,37;-;-;921,72;-;-;265,72;265,72;93;3,7;-;-
"110045 BURITIS";64;64;26075,90;21905,69;-;-;4170,21;-;-;407,44;407,44;187;2,9;3;4,69
"110050 NOVO HORIZONTE DO OESTE";49;49;25645,24;22828,14;-;-;2817,10;-;-;523,37;523,37;182;3,7;-;-
