Per�odo:Nov/2022
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 ALTA FLORESTA D'OESTE";255;255;55265,43;46915,63;-;-;8349,80;-;-;216,73;216,73;503;2,0;3;1,18
"110002 ARIQUEMES";621;621;443911,64;353391,03;-;-;90520,61;-;-;714,83;714,83;1727;2,8;14;2,25
"110003 CABIXI";20;20;6999,95;6000,38;-;-;999,57;-;-;350,00;350,00;105;5,3;-;-
"110004 CACOAL";1065;1065;805428,92;629529,99;-;-;175898,93;-;-;756,27;756,27;5782;5,4;40;3,76
"110005 CEREJEIRAS";80;80;38040,90;29826,57;-;-;8214,33;-;-;475,51;475,51;273;3,4;-;-
"110006 COLORADO DO OESTE";45;45;34004,03;31054,02;-;-;2950,01;-;-;755,65;755,65;134;3,0;-;-
"110008 COSTA MARQUES";30;30;9526,78;8160,13;-;-;1366,65;-;-;317,56;317,56;112;3,7;-;-
"110009 ESPIGAO D'OESTE";80;80;28457,95;25062,85;-;-;3395,10;-;-;355,72;355,72;167;2,1;1;1,25
"110010 GUAJARA-MIRIM";297;297;117693,41;88866,56;-;-;28826,85;-;-;396,27;396,27;786;2,6;-;-
"110011 JARU";291;291;126945,71;92367,33;-;-;34578,38;-;-;436,24;436,24;846;2,9;4;1,37
"110012 JI-PARANA";708;708;584933,35;479494,60;-;-;105438,75;-;-;826,18;826,18;2103;3,0;21;2,97
"110013 MACHADINHO D'OESTE";144;144;59288,87;44544,74;-;-;14744,13;-;-;411,73;411,73;400;2,8;1;0,69
"110014 NOVA BRASILANDIA D'OESTE";114;114;48865,02;38962,12;-;-;9902,90;-;-;428,64;428,64;350;3,1;-;-
"110015 OURO PRETO DO OESTE";270;270;152766,00;111398,74;-;-;41367,26;-;-;565,80;565,80;927;3,4;4;1,48
"110018 PIMENTA BUENO";245;245;96040,32;78932,34;-;-;17107,98;-;-;392,00;392,00;552;2,3;6;2,45
"110020 PORTO VELHO";3981;3981;5445040,77;4472840,08;-;-;972200,69;-;-;1367,76;1367,76;26750;6,7;147;3,69
"110025 PRESIDENTE MEDICI";58;58;27580,58;20844,88;-;-;6735,70;-;-;475,53;475,53;232;4,0;4;6,90
"110028 ROLIM DE MOURA";292;292;131871,15;91242,03;-;-;40629,12;-;-;451,61;451,61;739;2,5;5;1,71
"110029 SANTA LUZIA D'OESTE";46;46;15761,99;13595,47;-;-;2166,52;-;-;342,65;342,65;169;3,7;-;-
"110030 VILHENA";800;800;733134,44;577897,98;-;-;155236,46;-;-;916,42;916,42;3399;4,2;17;2,13
"110032 SAO MIGUEL DO GUAPORE";131;131;61289,59;48090,10;-;-;13199,49;-;-;467,86;467,86;265;2,0;-;-
"110033 NOVA MAMORE";78;78;32048,71;23717,31;-;-;8331,40;-;-;410,88;410,88;223;2,9;-;-
"110034 ALVORADA D'OESTE";83;83;35362,65;26623,16;-;-;8739,49;-;-;426,06;426,06;305;3,7;-;-
"110037 ALTO ALEGRE DOS PARECIS";56;56;19717,71;17217,92;-;-;2499,79;-;-;352,10;352,10;169;3,0;-;-
"110040 ALTO PARAISO";24;24;8042,12;6991,67;-;-;1050,45;-;-;335,09;335,09;57;2,4;-;-
"110045 BURITIS";54;54;22460,42;19098,39;-;-;3362,03;-;-;415,93;415,93;165;3,1;1;1,85
"110050 NOVO HORIZONTE DO OESTE";38;38;20160,41;17893,35;-;-;2267,06;-;-;530,54;530,54;162;4,3;2;5,26
"110060 CACAULANDIA";7;7;2153,89;1905,50;-;-;248,39;-;-;307,70;307,70;18;2,6;-;-
"110070 CAMPO NOVO DE RONDONIA";11;11;3728,89;3232,65;-;-;496,24;-;-;338,99;338,99;32;2,9;-;-
"110080 CANDEIAS DO JAMARI";6;6;2864,43;2552,76;-;-;311,67;-;-;477,40;477,40;21;3,5;-;-
"110094 CUJUBIM";22;22;6989,13;5965,55;-;-;1023,58;-;-;317,69;317,69;-;-;-;-
"110100 GOVERNADOR JORGE TEIXEIRA";7;7;2222,20;1926,03;-;-;296,17;-;-;317,46;317,46;19;2,7;-;-
"110120 MINISTRO ANDREAZZA";20;20;7336,37;6586,77;-;-;749,60;-;-;366,82;366,82;61;3,0;1;5,00
"110130 MIRANTE DA SERRA";38;38;20538,01;18263,83;-;-;2274,18;-;-;540,47;540,47;206;5,4;-;-
"110140 MONTE NEGRO";31;31;14591,82;11764,68;-;-;2827,14;-;-;470,70;470,70;122;3,9;1;3,23
"110143 NOVA UNIAO";5;5;1688,33;1486,60;-;-;201,73;-;-;337,67;337,67;16;3,2;-;-
"110145 PARECIS";12;12;2905,73;2474,57;-;-;431,16;-;-;242,14;242,14;12;1,0;-;-
"110146 PIMENTEIRAS DO OESTE";8;8;1610,08;1380,64;-;-;229,44;-;-;201,26;201,26;19;2,4;-;-
"110149 SAO FRANCISCO DO GUAPORE";79;79;34733,23;25519,50;-;-;9213,73;-;-;439,66;439,66;167;2,1;-;-
"110150 SERINGUEIRAS";74;74;28980,88;22490,02;-;-;6490,86;-;-;391,63;391,63;206;2,8;-;-
"110155 TEIXEIROPOLIS";1;1;490,40;440,39;-;-;50,01;-;-;490,40;490,40;5;5,0;-;-
