Per�odo:Dez/2022
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 ALTA FLORESTA D'OESTE";260;260;70154,93;59710,28;-;-;10444,65;-;-;269,83;269,83;962;3,7;2;0,77
"110002 ARIQUEMES";603;603;472371,84;381403,93;-;-;90967,91;-;-;783,37;783,37;1588;2,6;25;4,15
"110003 CABIXI";14;14;5107,09;4415,48;-;-;691,61;-;-;364,79;364,79;65;4,6;1;7,14
"110004 CACOAL";1038;1038;640570,50;517998,54;-;-;122571,96;-;-;617,12;617,12;6554;6,3;50;4,82
"110005 CEREJEIRAS";81;81;31082,31;26201,77;-;-;4880,54;-;-;383,73;383,73;285;3,5;1;1,23
"110006 COLORADO DO OESTE";53;53;35480,28;32102,57;-;-;3377,71;-;-;669,44;669,44;221;4,2;1;1,89
"110008 COSTA MARQUES";24;24;7377,46;5986,26;-;-;1391,20;-;-;307,39;307,39;57;2,4;-;-
"110009 ESPIGAO D'OESTE";76;76;23816,23;20547,10;-;-;3269,13;-;-;313,37;313,37;195;2,6;1;1,32
"110010 GUAJARA-MIRIM";295;295;126348,11;97937,33;-;-;28410,78;-;-;428,30;428,30;726;2,5;1;0,34
"110011 JARU";280;280;114063,16;82499,36;-;-;31563,80;-;-;407,37;407,37;740;2,6;2;0,71
"110012 JI-PARANA";671;671;734020,07;602738,78;-;-;131281,29;-;-;1093,92;1093,92;2570;3,8;14;2,09
"110013 MACHADINHO D'OESTE";144;144;60529,76;46769,73;-;-;13760,03;-;-;420,35;420,35;379;2,6;2;1,39
"110014 NOVA BRASILANDIA D'OESTE";96;96;41268,07;32418,60;-;-;8849,47;-;-;429,88;429,88;287;3,0;1;1,04
"110015 OURO PRETO DO OESTE";250;250;145403,39;107139,31;-;-;38264,08;-;-;581,61;581,61;622;2,5;6;2,40
"110018 PIMENTA BUENO";288;288;119334,92;93084,69;-;-;26250,23;-;-;414,36;414,36;535;1,9;4;1,39
"110020 PORTO VELHO";4023;4023;7379406,64;6097825,90;-;-;1281580,74;-;-;1834,30;1834,30;31946;7,9;170;4,23
"110025 PRESIDENTE MEDICI";57;57;28974,02;21484,83;-;-;7489,19;-;-;508,32;508,32;194;3,4;2;3,51
"110028 ROLIM DE MOURA";205;205;71960,70;54046,04;-;-;17914,66;-;-;351,03;351,03;500;2,4;3;1,46
"110029 SANTA LUZIA D'OESTE";75;75;23167,34;19498,60;-;-;3668,74;-;-;308,90;308,90;249;3,3;-;-
"110030 VILHENA";772;772;596943,39;460066,98;-;-;136876,41;-;-;773,24;773,24;2934;3,8;24;3,11
"110032 SAO MIGUEL DO GUAPORE";113;113;52323,00;40740,66;-;-;11582,34;-;-;463,04;463,04;262;2,3;1;0,88
"110033 NOVA MAMORE";54;54;18355,82;14630,29;-;-;3725,53;-;-;339,92;339,92;161;3,0;-;-
"110034 ALVORADA D'OESTE";123;123;43994,93;33192,65;-;-;10802,28;-;-;357,68;357,68;418;3,4;-;-
"110037 ALTO ALEGRE DOS PARECIS";51;51;18017,86;15975,25;-;-;2042,61;-;-;353,29;353,29;153;3,0;-;-
"110040 ALTO PARAISO";33;33;9801,53;8327,67;-;-;1473,86;-;-;297,02;297,02;78;2,4;-;-
"110045 BURITIS";54;54;21645,29;17193,55;-;-;4451,74;-;-;400,84;400,84;156;2,9;1;1,85
"110050 NOVO HORIZONTE DO OESTE";31;31;20779,78;18774,33;-;-;2005,45;-;-;670,32;670,32;129;4,2;-;-
"110060 CACAULANDIA";7;7;2809,83;2412,18;-;-;397,65;-;-;401,40;401,40;16;2,3;-;-
"110070 CAMPO NOVO DE RONDONIA";10;10;3416,72;2957,05;-;-;459,67;-;-;341,67;341,67;30;3,0;-;-
"110080 CANDEIAS DO JAMARI";8;8;3133,36;2704,12;-;-;429,24;-;-;391,67;391,67;23;2,9;-;-
"110094 CUJUBIM";24;24;8659,52;7275,42;-;-;1384,10;-;-;360,81;360,81;-;-;1;4,17
"110100 GOVERNADOR JORGE TEIXEIRA";6;6;2026,42;1721,75;-;-;304,67;-;-;337,74;337,74;18;3,0;-;-
"110120 MINISTRO ANDREAZZA";20;20;6109,96;5322,99;-;-;786,97;-;-;305,50;305,50;63;3,1;-;-
"110130 MIRANTE DA SERRA";50;50;27428,02;24151,00;-;-;3277,02;-;-;548,56;548,56;216;4,3;-;-
"110140 MONTE NEGRO";50;50;21415,67;17620,83;-;-;3794,84;-;-;428,31;428,31;194;3,9;1;2,00
"110143 NOVA UNIAO";6;6;2023,44;1781,18;-;-;242,26;-;-;337,24;337,24;17;2,8;-;-
"110145 PARECIS";48;48;11041,94;9346,25;-;-;1695,69;-;-;230,04;230,04;148;3,1;-;-
"110146 PIMENTEIRAS DO OESTE";6;6;858,47;720,62;-;-;137,85;-;-;143,08;143,08;5;0,8;-;-
"110149 SAO FRANCISCO DO GUAPORE";89;89;41567,18;31020,61;-;-;10546,57;-;-;467,05;467,05;175;2,0;2;2,25
"110150 SERINGUEIRAS";111;111;44187,75;34405,05;-;-;9782,70;-;-;398,09;398,09;250;2,3;2;1,80
"110155 TEIXEIROPOLIS";5;5;1761,71;1575,73;-;-;185,98;-;-;352,34;352,34;14;2,8;-;-
"110160 THEOBROMA";17;17;7045,42;6244,99;-;-;800,43;-;-;414,44;414,44;98;5,8;1;5,88
"110170 URUPA";55;55;33099,74;25025,05;-;-;8074,69;-;-;601,81;601,81;109;2,0;1;1,82
"110175 VALE DO ANARI";14;14;4972,92;4277,52;-;-;695,40;-;-;355,21;355,21;53;3,8;-;-
"110180 VALE DO PARAISO";4;4;1330,85;1140,90;-;-;189,95;-;-;332,71;332,71;32;8,0;-;-
"120001 ACRELANDIA";9;9;2690,17;2362,64;-;-;327,53;-;-;298,91;298,91;21;2,3;-;-
"120010 BRASILEIA";212;212;77175,13;56311,72;-;-;20863,41;-;-;364,03;364,03;754;3,6;7;3,30
"120020 CRUZEIRO DO SUL";1122;1122;584122,25;406051,78;-;-;178070,47;-;-;520,61;520,61;3586;3,2;17;1,52
"120030 FEIJO";110;110;37970,86;27286,87;-;-;10683,99;-;-;345,19;345,19;276;2,5;2;1,82
"120034 MANOEL URBANO";40;40;11817,61;9829,06;-;-;1988,55;-;-;295,44;295,44;114;2,9;1;2,50
"120035 MARECHAL THAUMATURGO";63;63;9936,13;7120,41;-;-;2815,72;-;-;157,72;157,72;139;2,2;2;3,17
"120038 PLACIDO DE CASTRO";33;33;9777,11;8023,06;-;-;1754,05;-;-;296,28;296,28;108;3,3;-;-
"120039 PORTO WALTER";17;17;5341,56;3442,09;-;-;1899,47;-;-;314,21;314,21;21;1,2;1;5,88
"120040 RIO BRANCO";2623;2623;3092426,85;2340066,37;-;-;752360,48;-;-;1178,97;1178,97;13241;5,0;103;3,93
"120042 RODRIGUES ALVES";19;19;5227,72;4515,02;-;-;712,70;-;-;275,14;275,14;46;2,4;-;-
"120045 SENADOR GUIOMARD";39;39;14842,02;12559,60;-;-;2282,42;-;-;380,56;380,56;144;3,7;-;-
"120050 SENA MADUREIRA";149;149;50113,43;38105,84;-;-;12007,59;-;-;336,33;336,33;392;2,6;2;1,34
"120060 TARAUACA";198;198;86081,99;62311,27;-;-;23770,72;-;-;434,76;434,76;407;2,1;2;1,01
"120070 XAPURI";37;37;11501,07;9700,25;-;-;1800,82;-;-;310,84;310,84;107;2,9;1;2,70
"130002 ALVARAES";20;20;6179,98;5166,58;-;-;1013,40;-;-;309,00;309,00;86;4,3;-;-
"130006 AMATURA";49;49;22705,17;15892,07;-;-;6813,10;-;-;463,37;463,37;140;2,9;-;-
"130008 ANAMA";65;65;24254,27;18912,15;-;-;5342,12;-;-;373,14;373,14;209;3,2;-;-
"130010 ANORI";59;59;22032,98;16428,29;-;-;5604,69;-;-;373,44;373,44;150;2,5;-;-
"130014 APUI";82;82;35927,12;26351,65;-;-;9575,47;-;-;438,14;438,14;229;2,8;-;-
"130020 ATALAIA DO NORTE";27;27;8555,01;6638,74;-;-;1916,27;-;-;316,85;316,85;63;2,3;-;-
"130030 AUTAZES";113;113;52699,73;34192,37;-;-;18507,36;-;-;466,37;466,37;417;3,7;-;-
"130040 BARCELOS";78;78;31577,28;23507,77;-;-;8069,51;-;-;404,84;404,84;307;3,9;2;2,56
