Per�odo:Fev/2023
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 ALTA FLORESTA D'OESTE";192;192;50179,62;43203,80;-;-;6975,82;-;-;261,35;261,35;497;2,6;-;-
"110002 ARIQUEMES";553;553;441676,79;356596,44;-;-;85080,35;-;-;798,69;798,69;1551;2,8;13;2,35
"110003 CABIXI";24;24;8672,38;7426,37;-;-;1246,01;-;-;361,35;361,35;71;3,0;-;-
"110004 CACOAL";840;840;555386,04;427209,20;-;-;128176,84;-;-;661,17;661,17;4194;5,0;24;2,86
"110005 CEREJEIRAS";100;100;42007,00;34394,92;-;-;7612,08;-;-;420,07;420,07;307;3,1;1;1,00
"110006 COLORADO DO OESTE";34;34;18253,12;16128,76;-;-;2124,36;-;-;536,86;536,86;171;5,0;-;-
"110008 COSTA MARQUES";23;23;6139,60;5261,56;-;-;878,04;-;-;266,94;266,94;83;3,6;-;-
"110009 ESPIGAO D'OESTE";89;89;26895,96;23015,16;-;-;3880,80;-;-;302,20;302,20;137;1,5;1;1,12
"110010 GUAJARA-MIRIM";255;255;99366,94;74469,85;-;-;24897,09;-;-;389,67;389,67;579;2,3;-;-
"110011 JARU";209;209;87746,58;64558,40;-;-;23188,18;-;-;419,84;419,84;580;2,8;2;0,96
"110012 JI-PARANA";873;873;641782,14;513386,73;-;-;128395,41;-;-;735,15;735,15;2505;2,9;17;1,95
"110013 MACHADINHO D'OESTE";119;119;53397,73;37634,27;-;-;15763,46;-;-;448,72;448,72;278;2,3;1;0,84
"110014 NOVA BRASILANDIA D'OESTE";102;102;37862,94;28875,32;-;-;8987,62;-;-;371,21;371,21;300;2,9;2;1,96
"110015 OURO PRETO DO OESTE";236;236;133327,13;96600,46;-;-;36726,67;-;-;564,95;564,95;451;1,9;6;2,54
"110018 PIMENTA BUENO";351;351;129174,19;102766,34;-;-;26407,85;-;-;368,02;368,02;626;1,8;2;0,57
"110020 PORTO VELHO";3326;3326;5174632,07;4258985,75;-;-;915646,32;-;-;1555,81;1555,81;18760;5,6;113;3,40
"110025 PRESIDENTE MEDICI";59;59;24341,41;18436,26;-;-;5905,15;-;-;412,57;412,57;172;2,9;-;-
"110026 RIO CRESPO";2;2;560,13;480,91;-;-;79,22;-;-;280,06;280,06;6;3,0;-;-
"110028 ROLIM DE MOURA";335;335;139629,59;99945,30;-;-;39684,29;-;-;416,80;416,80;713;2,1;6;1,79
"110029 SANTA LUZIA D'OESTE";55;55;19723,70;16779,43;-;-;2944,27;-;-;358,61;358,61;180;3,3;-;-
"110030 VILHENA";763;763;547032,08;415867,23;-;-;131164,85;-;-;716,95;716,95;2778;3,6;17;2,23
"110032 SAO MIGUEL DO GUAPORE";162;162;68111,92;53543,23;-;-;14568,69;-;-;420,44;420,44;310;1,9;1;0,62
"110033 NOVA MAMORE";75;75;33850,59;25181,12;-;-;8669,47;-;-;451,34;451,34;230;3,1;-;-
"110034 ALVORADA D'OESTE";93;93;33097,69;24937,52;-;-;8160,17;-;-;355,89;355,89;284;3,1;-;-
"110037 ALTO ALEGRE DOS PARECIS";35;35;12002,91;10478,87;-;-;1524,04;-;-;342,94;342,94;122;3,5;-;-
"110040 ALTO PARAISO";26;26;7256,81;6200,10;-;-;1056,71;-;-;279,11;279,11;52;2,0;-;-
"110045 BURITIS";91;91;43826,98;32880,08;-;-;10946,90;-;-;481,62;481,62;223;2,5;3;3,30
