Per�odo:Mar/2023
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 ALTA FLORESTA D'OESTE";305;305;80957,81;69801,17;-;-;11156,64;-;-;265,44;265,44;652;2,1;1;0,33
"110002 ARIQUEMES";708;708;565548,18;417907,22;23059,91;13789,46;96449,68;12457,91;1884,00;798,80;798,80;1801;2,5;20;2,82
"110003 CABIXI";23;23;8042,93;6912,11;-;-;1130,82;-;-;349,69;349,69;61;2,7;1;4,35
"110004 CACOAL";1254;1254;923005,31;725480,27;-;-;197525,04;-;-;736,05;736,05;5634;4,5;45;3,59
"110005 CEREJEIRAS";114;114;49793,53;39129,86;-;-;10663,67;-;-;436,79;436,79;341;3,0;2;1,75
"110006 COLORADO DO OESTE";44;44;26799,52;24175,70;-;-;2623,82;-;-;609,08;609,08;185;4,2;2;4,55
"110008 COSTA MARQUES";16;16;4661,45;3634,71;-;-;1026,74;-;-;291,34;291,34;41;2,6;-;-
"110009 ESPIGAO D'OESTE";126;126;43064,02;37217,31;-;-;5846,71;-;-;341,78;341,78;239;1,9;1;0,79
"110010 GUAJARA-MIRIM";303;303;128050,80;98034,86;-;-;30015,94;-;-;422,61;422,61;899;3,0;-;-
"110011 JARU";324;324;135401,35;98878,30;-;-;36523,05;-;-;417,91;417,91;906;2,8;10;3,09
"110012 JI-PARANA";655;655;508750,17;424388,80;-;-;84361,37;-;-;776,72;776,72;2026;3,1;40;6,11
"110013 MACHADINHO D'OESTE";128;128;53851,00;39335,79;-;-;14515,21;-;-;420,71;420,71;296;2,3;1;0,78
"110014 NOVA BRASILANDIA D'OESTE";97;97;40256,23;30866,52;-;-;9389,71;-;-;415,01;415,01;284;2,9;1;1,03
"110015 OURO PRETO DO OESTE";259;259;152789,60;113461,66;-;-;39327,94;-;-;589,92;589,92;571;2,2;2;0,77
"110018 PIMENTA BUENO";388;388;166303,75;127563,19;-;-;38740,56;-;-;428,62;428,62;742;1,9;4;1,03
"110020 PORTO VELHO";4078;4078;7069366,31;5870437,49;-;-;1198928,82;-;-;1733,54;1733,54;26862;6,6;239;5,86
"110025 PRESIDENTE MEDICI";99;99;40897,98;30687,11;-;-;10210,87;-;-;413,11;413,11;334;3,4;2;2,02
"110026 RIO CRESPO";5;5;2150,47;1879,06;-;-;271,41;-;-;430,09;430,09;8;1,6;-;-
"110028 ROLIM DE MOURA";336;336;141630,32;100918,37;-;-;40711,95;-;-;421,52;421,52;738;2,2;3;0,89
"110029 SANTA LUZIA D'OESTE";58;58;19727,41;16796,94;-;-;2930,47;-;-;340,13;340,13;193;3,3;1;1,72
"110030 VILHENA";701;701;643631,05;504882,64;-;-;138748,41;-;-;918,16;918,16;3068;4,4;25;3,57
"110032 SAO MIGUEL DO GUAPORE";106;106;40760,57;34212,63;-;-;6547,94;-;-;384,53;384,53;261;2,5;2;1,89
"110033 NOVA MAMORE";84;84;33492,92;25823,47;-;-;7669,45;-;-;398,73;398,73;433;5,2;2;2,38
"110034 ALVORADA D'OESTE";94;94;41508,29;30828,24;-;-;10680,05;-;-;441,58;441,58;291;3,1;-;-
"110037 ALTO ALEGRE DOS PARECIS";50;50;17290,40;15109,69;-;-;2180,71;-;-;345,81;345,81;149;3,0;-;-
"110040 ALTO PARAISO";26;26;8077,80;6842,58;-;-;1235,22;-;-;310,68;310,68;74;2,8;-;-
"110045 BURITIS";32;32;12174,36;9487,57;-;-;2686,79;-;-;380,45;380,45;92;2,9;2;6,25
"110050 NOVO HORIZONTE DO OESTE";40;40;23559,85;20947,32;-;-;2612,53;-;-;589,00;589,00;223;5,6;5;12,50
"110060 CACAULANDIA";16;16;6554,73;5631,04;-;-;923,69;-;-;409,67;409,67;46;2,9;1;6,25
"110070 CAMPO NOVO DE RONDONIA";10;10;3341,04;2904,87;-;-;436,17;-;-;334,10;334,10;44;4,4;-;-
"110080 CANDEIAS DO JAMARI";8;8;3061,79;2608,45;-;-;453,34;-;-;382,72;382,72;20;2,5;-;-
"110094 CUJUBIM";32;32;11156,97;9303,59;-;-;1853,38;-;-;348,66;348,66;-;-;-;-
"110100 GOVERNADOR JORGE TEIXEIRA";8;8;2675,02;2302,08;-;-;372,94;-;-;334,38;334,38;20;2,5;-;-
"110120 MINISTRO ANDREAZZA";20;20;7315,28;6458,02;-;-;857,26;-;-;365,76;365,76;89;4,5;-;-
"110130 MIRANTE DA SERRA";41;41;23566,74;20802,76;-;-;2763,98;-;-;574,80;574,80;140;3,4;-;-
"110140 MONTE NEGRO";65;65;31388,83;26129,01;-;-;5259,82;-;-;482,91;482,91;277;4,3;-;-
"110143 NOVA UNIAO";9;9;3095,80;2653,49;-;-;442,31;-;-;343,98;343,98;24;2,7;-;-
"110145 PARECIS";16;16;4588,27;3900,77;-;-;687,50;-;-;286,77;286,77;44;2,8;-;-
"110146 PIMENTEIRAS DO OESTE";5;5;1359,15;1124,77;-;-;234,38;-;-;271,83;271,83;15;3,0;-;-
"110149 SAO FRANCISCO DO GUAPORE";70;70;34389,96;24797,26;-;-;9592,70;-;-;491,29;491,29;149;2,1;1;1,43
"110150 SERINGUEIRAS";103;103;54105,37;40477,94;-;-;13627,43;-;-;525,29;525,29;295;2,9;1;0,97
"110155 TEIXEIROPOLIS";4;4;977,00;805,86;-;-;171,14;-;-;244,25;244,25;18;4,5;-;-
"110160 THEOBROMA";16;16;5581,88;4718,97;-;-;862,91;-;-;348,87;348,87;50;3,1;1;6,25
"110170 URUPA";61;61;33812,48;25826,08;-;-;7986,40;-;-;554,30;554,30;133;2,2;1;1,64
"110175 VALE DO ANARI";21;21;6058,34;5095,64;-;-;962,70;-;-;288,49;288,49;76;3,6;-;-
"110180 VALE DO PARAISO";18;18;6803,93;5932,49;-;-;871,44;-;-;378,00;378,00;63;3,5;1;5,56
"120001 ACRELANDIA";13;13;4367,54;3734,27;-;-;633,27;-;-;335,96;335,96;21;1,6;-;-
"120010 BRASILEIA";150;150;57000,31;39842,55;-;-;17157,76;-;-;380,00;380,00;516;3,4;1;0,67
"120020 CRUZEIRO DO SUL";1149;1149;576537,00;400772,91;-;-;175764,09;-;-;501,77;501,77;3793;3,3;15;1,31
"120030 FEIJO";94;94;33552,91;24020,92;-;-;9531,99;-;-;356,95;356,95;315;3,4;1;1,06
"120033 MANCIO LIMA";51;51;17333,85;14696,29;-;-;2637,56;-;-;339,88;339,88;143;2,8;-;-
"120034 MANOEL URBANO";46;46;13742,63;10864,76;-;-;2877,87;-;-;298,75;298,75;136;3,0;-;-
"120035 MARECHAL THAUMATURGO";44;44;3228,44;2343,01;-;-;885,43;-;-;73,37;73,37;62;1,4;-;-
"120038 PLACIDO DE CASTRO";34;34;9635,53;8323,47;-;-;1312,06;-;-;283,40;283,40;105;3,1;-;-
"120039 PORTO WALTER";35;35;9884,76;6920,33;-;-;2964,43;-;-;282,42;282,42;53;1,5;-;-
"120040 RIO BRANCO";3104;3104;3999736,99;3096014,16;-;-;903722,83;-;-;1288,58;1288,58;17133;5,5;131;4,22
"120042 RODRIGUES ALVES";20;20;5660,32;4763,69;-;-;896,63;-;-;283,02;283,02;45;2,3;-;-
"120043 SANTA ROSA DO PURUS";41;41;13226,72;10559,38;-;-;2667,34;-;-;322,60;322,60;97;2,4;1;2,44
"120045 SENADOR GUIOMARD";77;77;27808,63;20264,48;-;-;7544,15;-;-;361,15;361,15;175;2,3;-;-
"120050 SENA MADUREIRA";152;152;50944,08;38200,78;-;-;12743,30;-;-;335,16;335,16;444;2,9;1;0,66
"120060 TARAUACA";186;186;80946,55;60717,78;-;-;20228,77;-;-;435,20;435,20;398;2,1;-;-
"120070 XAPURI";70;70;23876,23;20610,28;-;-;3265,95;-;-;341,09;341,09;203;2,9;2;2,86
"130002 ALVARAES";38;38;16873,92;11701,83;-;-;5172,09;-;-;444,05;444,05;185;4,9;1;2,63
"130006 AMATURA";48;48;22803,72;15216,37;-;-;7587,35;-;-;475,08;475,08;106;2,2;-;-
"130008 ANAMA";61;61;20142,52;15776,81;-;-;4365,71;-;-;330,21;330,21;153;2,5;-;-
"130010 ANORI";145;145;55048,09;46706,15;-;-;8341,94;-;-;379,64;379,64;320;2,2;-;-
"130014 APUI";101;101;41316,72;30576,28;-;-;10740,44;-;-;409,08;409,08;298;3,0;2;1,98
"130020 ATALAIA DO NORTE";61;61;20158,17;15737,36;-;-;4420,81;-;-;330,46;330,46;231;3,8;1;1,64
"130030 AUTAZES";92;92;45537,66;27955,90;-;-;17581,76;-;-;494,97;494,97;197;2,1;-;-
"130040 BARCELOS";73;73;30586,44;22409,85;-;-;8176,59;-;-;418,99;418,99;232;3,2;2;2,74
"130050 BARREIRINHA";107;107;40564,42;30656,65;-;-;9907,77;-;-;379,11;379,11;411;3,8;-;-
"130060 BENJAMIN CONSTANT";120;120;47833,50;33627,16;-;-;14206,34;-;-;398,61;398,61;270;2,3;4;3,33
"130063 BERURI";52;52;20300,57;14494,03;-;-;5806,54;-;-;390,40;390,40;130;2,5;1;1,92
"130068 BOA VISTA DO RAMOS";43;43;17602,50;12584,65;-;-;5017,85;-;-;409,36;409,36;142;3,3;1;2,33
"130070 BOCA DO ACRE";156;156;65669,92;45633,02;-;-;20036,90;-;-;420,96;420,96;426;2,7;1;0,64
"130080 BORBA";174;174;64126,31;49115,34;-;-;15010,97;-;-;368,54;368,54;459;2,6;1;0,57
"130083 CAAPIRANGA";35;35;13264,10;9623,17;-;-;3640,93;-;-;378,97;378,97;96;2,7;-;-
"130090 CANUTAMA";35;35;12443,28;10034,27;-;-;2409,01;-;-;355,52;355,52;88;2,5;1;2,86
"130100 CARAUARI";107;107;69735,86;50779,81;-;-;18956,05;-;-;651,74;651,74;355;3,3;2;1,87
"130110 CAREIRO";125;125;59204,34;40418,76;-;-;18785,58;-;-;473,63;473,63;261;2,1;-;-
"130115 CAREIRO DA VARZEA";2;2;1472,33;1321,76;-;-;150,57;-;-;736,16;736,16;3;1,5;-;-
"130120 COARI";357;357;193749,24;135556,49;-;-;58192,75;-;-;542,71;542,71;1104;3,1;8;2,24
"130130 CODAJAS";140;140;51437,35;39280,38;-;-;12156,97;-;-;367,41;367,41;315;2,3;-;-
"130140 EIRUNEPE";123;123;62712,68;45024,65;-;-;17688,03;-;-;509,86;509,86;359;2,9;4;3,25
"130150 ENVIRA";61;61;23697,14;18002,68;-;-;5694,46;-;-;388,48;388,48;147;2,4;1;1,64
"130160 FONTE BOA";101;101;44457,80;30159,45;-;-;14298,35;-;-;440,18;440,18;213;2,1;-;-
"130165 GUAJARA";10;10;3845,67;3033,51;-;-;812,16;-;-;384,57;384,57;21;2,1;-;-
"130170 HUMAITA";264;264;119526,16;86610,01;-;-;32916,15;-;-;452,75;452,75;925;3,5;5;1,89
"130180 IPIXUNA";215;215;93387,12;73313,39;-;-;20073,73;-;-;434,36;434,36;473;2,2;-;-
"130185 IRANDUBA";60;60;35518,50;26561,57;-;-;8956,93;-;-;591,97;591,97;136;2,3;-;-
"130190 ITACOATIARA";389;389;203632,85;140981,02;-;-;62651,83;-;-;523,48;523,48;1339;3,4;5;1,29
"130195 ITAMARATI";88;88;35413,29;25979,30;-;-;9433,99;-;-;402,42;402,42;270;3,1;-;-
"130200 ITAPIRANGA";47;47;25977,54;19094,00;-;-;6883,54;-;-;552,71;552,71;128;2,7;-;-
"130210 JAPURA";47;47;13823,71;10456,20;-;-;3367,51;-;-;294,12;294,12;93;2,0;-;-
"130230 JUTAI";125;125;46571,53;34594,97;-;-;11976,56;-;-;372,57;372,57;216;1,7;-;-
"130240 LABREA";163;163;85070,34;58994,26;-;-;26076,08;-;-;521,90;521,90;505;3,1;7;4,29
"130250 MANACAPURU";458;458;248345,29;177260,93;-;-;71084,36;-;-;542,24;542,24;1222;2,7;8;1,75
"130255 MANAQUIRI";60;60;21335,72;16611,77;-;-;4723,95;-;-;355,60;355,60;217;3,6;-;-
"130260 MANAUS";10815;10815;17843694,62;14069323,59;-;-;3774371,03;-;-;1649,90;1649,90;69196;6,4;557;5,15
"130270 MANICORE";160;160;78919,25;53883,42;-;-;25035,83;-;-;493,25;493,25;335;2,1;2;1,25
"130280 MARAA";124;124;49347,97;33726,92;-;-;15621,05;-;-;397,97;397,97;281;2,3;-;-
"130290 MAUES";223;223;117796,60;82914,76;-;-;34881,84;-;-;528,24;528,24;659;3,0;8;3,59
"130310 NOVA OLINDA DO NORTE";111;111;49778,32;33720,30;-;-;16058,02;-;-;448,45;448,45;287;2,6;-;-
"130320 NOVO AIRAO";86;86;43581,09;33783,37;-;-;9797,72;-;-;506,76;506,76;156;1,8;1;1,16
"130330 NOVO ARIPUANA";126;126;50063,95;37905,96;-;-;12157,99;-;-;397,33;397,33;314;2,5;-;-
"130340 PARINTINS";926;926;403195,61;279784,22;-;-;123411,39;-;-;435,42;435,42;2867;3,1;8;0,86
"130350 PAUINI";78;78;33271,07;25020,53;-;-;8250,54;-;-;426,55;426,55;269;3,4;3;3,85
