Per�odo:Abr/2023
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 ALTA FLORESTA D'OESTE";310;310;86089,89;74571,73;-;-;11518,16;-;-;277,71;277,71;690;2,2;-;-
"110002 ARIQUEMES";649;649;612610,44;452650,12;32705,81;-;107869,37;19385,14;-;943,93;943,93;1794;2,8;18;2,77
"110003 CABIXI";26;26;8459,58;7234,42;-;-;1225,16;-;-;325,37;325,37;75;2,9;-;-
"110004 CACOAL";1170;1170;1137159,86;910156,55;-;-;227003,31;-;-;971,93;971,93;6102;5,2;62;5,30
"110005 CEREJEIRAS";106;106;47366,17;37445,41;-;-;9920,76;-;-;446,85;446,85;338;3,2;-;-
"110006 COLORADO DO OESTE";43;43;31275,67;28480,63;-;-;2795,04;-;-;727,34;727,34;168;3,9;2;4,65
"110008 COSTA MARQUES";5;5;1247,70;1044,53;-;-;203,17;-;-;249,54;249,54;34;6,8;1;20,00
"110009 ESPIGAO D'OESTE";99;99;36651,28;32277,13;-;-;4374,15;-;-;370,21;370,21;258;2,6;1;1,01
"110010 GUAJARA-MIRIM";312;312;135173,38;103291,21;-;-;31882,17;-;-;433,25;433,25;993;3,2;-;-
"110011 JARU";295;295;126972,81;97211,09;-;-;29761,72;-;-;430,42;430,42;910;3,1;6;2,03
"110012 JI-PARANA";691;691;538445,68;450841,25;-;-;87604,43;-;-;779,23;779,23;2504;3,6;41;5,93
"110013 MACHADINHO D'OESTE";181;181;81988,12;62024,38;-;-;19963,74;-;-;452,97;452,97;459;2,5;2;1,10
"110014 NOVA BRASILANDIA D'OESTE";121;121;53399,70;41207,15;-;-;12192,55;-;-;441,32;441,32;377;3,1;2;1,65
"110015 OURO PRETO DO OESTE";222;222;129163,08;98931,79;-;-;30231,29;-;-;581,82;581,82;500;2,3;4;1,80
"110018 PIMENTA BUENO";355;355;156444,10;120930,74;-;-;35513,36;-;-;440,69;440,69;717;2,0;4;1,13
"110020 PORTO VELHO";3757;3757;5829193,05;4801618,07;-;-;1027574,98;-;-;1551,56;1551,56;25608;6,8;162;4,31
"110025 PRESIDENTE MEDICI";78;78;36352,13;27599,79;-;-;8752,34;-;-;466,05;466,05;284;3,6;1;1,28
"110026 RIO CRESPO";2;2;626,64;537,41;-;-;89,23;-;-;313,32;313,32;2;1,0;-;-
"110028 ROLIM DE MOURA";320;320;142699,91;103088,74;-;-;39611,17;-;-;445,94;445,94;773;2,4;5;1,56
"110029 SANTA LUZIA D'OESTE";56;56;20171,82;17526,48;-;-;2645,34;-;-;360,21;360,21;226;4,0;-;-
"110030 VILHENA";900;900;750148,68;591288,61;-;-;158860,07;-;-;833,50;833,50;3952;4,4;22;2,44
"110032 SAO MIGUEL DO GUAPORE";127;127;62755,11;51539,97;-;-;11215,14;-;-;494,13;494,13;340;2,7;1;0,79
"110033 NOVA MAMORE";88;88;37784,03;30505,19;-;-;7278,84;-;-;429,36;429,36;341;3,9;2;2,27
"110034 ALVORADA D'OESTE";59;59;27856,26;20612,44;-;-;7243,82;-;-;472,14;472,14;173;2,9;-;-
"110037 ALTO ALEGRE DOS PARECIS";58;58;21288,09;18302,95;-;-;2985,14;-;-;367,04;367,04;176;3,0;-;-
"110040 ALTO PARAISO";35;35;15468,75;13448,87;-;-;2019,88;-;-;441,96;441,96;111;3,2;-;-
"110045 BURITIS";125;125;51892,29;41031,62;-;-;10860,67;-;-;415,14;415,14;299;2,4;6;4,80
"110050 NOVO HORIZONTE DO OESTE";44;44;23540,11;20715,97;-;-;2824,14;-;-;535,00;535,00;173;3,9;-;-
"110060 CACAULANDIA";11;11;4093,92;3496,26;-;-;597,66;-;-;372,17;372,17;48;4,4;-;-
"110070 CAMPO NOVO DE RONDONIA";30;30;15400,76;13376,21;-;-;2024,55;-;-;513,36;513,36;84;2,8;-;-
"110080 CANDEIAS DO JAMARI";8;8;1824,17;1564,02;-;-;260,15;-;-;228,02;228,02;26;3,3;-;-
"110094 CUJUBIM";58;58;19010,38;15919,95;-;-;3090,43;-;-;327,77;327,77;-;-;-;-
"110100 GOVERNADOR JORGE TEIXEIRA";18;18;7501,72;6480,04;-;-;1021,68;-;-;416,76;416,76;55;3,1;-;-
"110120 MINISTRO ANDREAZZA";22;22;10345,06;9009,30;-;-;1335,76;-;-;470,23;470,23;127;5,8;-;-
