Per�odo:Jul/2023
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 ALTA FLORESTA D'OESTE";247;247;64578,83;56007,07;-;-;8571,76;-;-;261,45;261,45;619;2,5;2;0,81
"110002 ARIQUEMES";568;568;587284,73;450777,03;19626,86;-;105431,40;11449,44;-;1033,95;1033,95;1573;2,8;21;3,70
"110003 CABIXI";26;26;11121,54;9684,08;-;-;1437,46;-;-;427,75;427,75;79;3,0;-;-
"110004 CACOAL";1163;1163;1160958,34;934840,05;-;-;226118,29;-;-;998,24;998,24;4821;4,1;66;5,67
"110005 CEREJEIRAS";72;72;29491,13;24568,92;-;-;4922,21;-;-;409,60;409,60;222;3,1;1;1,39
"110006 COLORADO DO OESTE";39;39;21206,64;19076,53;-;-;2130,11;-;-;543,76;543,76;151;3,9;2;5,13
"110008 COSTA MARQUES";2;2;924,27;719,07;-;-;205,20;-;-;462,13;462,13;3;1,5;-;-
"110009 ESPIGAO D'OESTE";95;95;32164,80;28116,05;-;-;4048,75;-;-;338,58;338,58;243;2,6;4;4,21
"110010 GUAJARA-MIRIM";300;300;113665,83;86843,88;-;-;26821,95;-;-;378,89;378,89;964;3,2;1;0,33
"110011 JARU";235;235;110525,91;81789,78;-;-;28736,13;-;-;470,32;470,32;682;2,9;8;3,40
"110012 JI-PARANA";1455;1455;1032223,17;814932,04;-;-;217291,13;-;-;709,43;709,43;4452;3,1;27;1,86
"110013 MACHADINHO D'OESTE";211;211;93586,23;68939,23;-;-;24647,00;-;-;443,54;443,54;495;2,3;2;0,95
"110014 NOVA BRASILANDIA D'OESTE";84;84;38438,06;30648,01;-;-;7790,05;-;-;457,60;457,60;245;2,9;-;-
