Per�odo:Set/2023
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 ALTA FLORESTA D'OESTE";218;218;54050,38;46557,19;-;-;7493,19;-;-;247,94;247,94;526;2,4;2;0,92
"110002 ARIQUEMES";561;561;564203,22;396208,63;39921,45;-;105233,59;22839,55;-;1005,71;1005,71;1457;2,6;21;3,74
"110003 CABIXI";21;21;7753,78;6719,95;-;-;1033,83;-;-;369,23;369,23;61;2,9;2;9,52
"110004 CACOAL";1544;1544;1147978,99;905628,80;-;-;242350,19;-;-;743,51;743,51;8495;5,5;68;4,40
"110005 CEREJEIRAS";103;103;45667,36;34956,27;-;-;10711,09;-;-;443,37;443,37;296;2,9;1;0,97
"110006 COLORADO DO OESTE";54;54;24441,51;21725,63;-;-;2715,88;-;-;452,62;452,62;243;4,5;3;5,56
"110008 COSTA MARQUES";3;3;1089,91;701,10;-;-;388,81;-;-;363,30;363,30;7;2,3;-;-
"110009 ESPIGAO D'OESTE";84;84;25431,44;22220,91;-;-;3210,53;-;-;302,76;302,76;200;2,4;1;1,19
"110010 GUAJARA-MIRIM";320;320;134791,17;107201,68;-;-;27589,49;-;-;421,22;421,22;1109;3,5;3;0,94
"110011 JARU";247;247;130979,08;97302,84;-;-;33676,24;-;-;530,28;530,28;720;2,9;6;2,43
"110012 JI-PARANA";276;276;212074,69;161224,40;-;-;50850,29;-;-;768,39;768,39;864;3,1;5;1,81
"110013 MACHADINHO D'OESTE";265;265;100903,09;74277,88;-;-;26625,21;-;-;380,77;380,77;656;2,5;6;2,26
"110014 NOVA BRASILANDIA D'OESTE";85;85;34253,46;28034,52;-;-;6218,94;-;-;402,98;402,98;248;2,9;1;1,18
"110015 OURO PRETO DO OESTE";327;327;218905,16;155425,71;-;-;63479,45;-;-;669,43;669,43;683;2,1;4;1,22
"110018 PIMENTA BUENO";237;237;101193,44;81825,99;-;-;19367,45;-;-;426,98;426,98;688;2,9;4;1,69
"110020 PORTO VELHO";4084;4084;6834867,16;5674826,15;-;-;1160041,01;-;-;1673,57;1673,57;28554;7,0;169;4,14
"110025 PRESIDENTE MEDICI";84;84;39369,37;30649,55;-;-;8719,82;-;-;468,68;468,68;361;4,3;3;3,57
"110026 RIO CRESPO";1;1;109,24;85,25;-;-;23,99;-;-;109,24;109,24;1;1,0;-;-
"110028 ROLIM DE MOURA";344;344;142880,35;102543,41;-;-;40336,94;-;-;415,35;415,35;1058;3,1;3;0,87
"110029 SANTA LUZIA D'OESTE";30;30;12185,31;10599,68;-;-;1585,63;-;-;406,18;406,18;102;3,4;-;-
"110030 VILHENA";1060;1060;902384,34;677138,43;-;-;225245,91;-;-;851,31;851,31;4115;3,9;26;2,45
"110032 SAO MIGUEL DO GUAPORE";135;135;60761,18;47065,54;-;-;13695,64;-;-;450,08;450,08;281;2,1;-;-
"110033 NOVA MAMORE";72;72;31573,65;24762,94;-;-;6810,71;-;-;438,52;438,52;206;2,9;1;1,39
"110034 ALVORADA D'OESTE";48;48;18946,53;14668,49;-;-;4278,04;-;-;394,72;394,72;144;3,0;-;-
"110037 ALTO ALEGRE DOS PARECIS";33;33;9610,07;8162,05;-;-;1448,02;-;-;291,21;291,21;113;3,4;-;-
"110040 ALTO PARAISO";26;26;7892,25;6890,18;-;-;1002,07;-;-;303,55;303,55;61;2,3;-;-
"110045 BURITIS";217;217;94645,00;71941,61;-;-;22703,39;-;-;436,15;436,15;514;2,4;4;1,84
"110060 CACAULANDIA";6;6;1414,18;1227,94;-;-;186,24;-;-;235,70;235,70;18;3,0;-;-
"110070 CAMPO NOVO DE RONDONIA";14;14;5884,90;5148,18;-;-;736,72;-;-;420,35;420,35;39;2,8;-;-
"110080 CANDEIAS DO JAMARI";13;13;4015,63;3426,75;-;-;588,88;-;-;308,89;308,89;27;2,1;-;-
"110094 CUJUBIM";31;31;6943,96;5815,56;-;-;1128,40;-;-;224,00;224,00;-;-;2;6,45
"110100 GOVERNADOR JORGE TEIXEIRA";5;5;1604,68;1388,97;-;-;215,71;-;-;320,94;320,94;17;3,4;-;-
"110120 MINISTRO ANDREAZZA";21;21;7361,88;6490,23;-;-;871,65;-;-;350,57;350,57;67;3,2;-;-
"110130 MIRANTE DA SERRA";22;22;12293,55;10970,33;-;-;1323,22;-;-;558,80;558,80;68;3,1;-;-
"110140 MONTE NEGRO";42;42;22045,38;19731,95;-;-;2313,43;-;-;524,89;524,89;158;3,8;-;-
"110143 NOVA UNIAO";6;6;3098,16;2680,19;-;-;417,97;-;-;516,36;516,36;12;2,0;-;-
"110145 PARECIS";27;27;6542,85;5551,30;-;-;991,55;-;-;242,33;242,33;27;1,0;-;-
"110146 PIMENTEIRAS DO OESTE";2;2;863,76;752,38;-;-;111,38;-;-;431,88;431,88;6;3,0;-;-
"110149 SAO FRANCISCO DO GUAPORE";301;301;140370,23;112226,39;-;-;28143,84;-;-;466,35;466,35;908;3,0;2;0,66
"110150 SERINGUEIRAS";133;133;65561,99;49459,66;-;-;16102,33;-;-;492,95;492,95;405;3,0;3;2,26
"110155 TEIXEIROPOLIS";12;12;4765,14;4120,20;-;-;644,94;-;-;397,10;397,10;26;2,2;-;-
"110160 THEOBROMA";10;10;3760,68;3284,97;-;-;475,71;-;-;376,07;376,07;44;4,4;2;20,00
"110170 URUPA";49;49;26622,43;20291,56;-;-;6330,87;-;-;543,31;543,31;103;2,1;2;4,08
"110175 VALE DO ANARI";5;5;2276,66;1974,17;-;-;302,49;-;-;455,33;455,33;19;3,8;-;-
"110180 VALE DO PARAISO";16;16;7998,44;7000,06;-;-;998,38;-;-;499,90;499,90;48;3,0;-;-
"120001 ACRELANDIA";27;27;11566,02;9780,20;-;-;1785,82;-;-;428,37;428,37;61;2,3;1;3,70
