Per�odo:Jan/2024
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 ALTA FLORESTA D'OESTE";210;210;47580,65;40663,01;-;-;6917,64;-;-;226,57;226,57;489;2,3;3;1,43
"110002 ARIQUEMES";394;394;509813,70;383125,02;19998,53;-;94022,23;12667,92;-;1293,94;1293,94;1405;3,6;6;1,52
"110003 CABIXI";12;12;3781,40;3264,04;-;-;517,36;-;-;315,12;315,12;33;2,8;-;-
"110004 CACOAL";1375;1375;1387060,53;1112200,81;-;-;274859,72;-;-;1008,77;1008,77;7845;5,7;57;4,15
"110005 CEREJEIRAS";60;60;26913,81;23723,41;-;-;3190,40;-;-;448,56;448,56;293;4,9;2;3,33
"110006 COLORADO DO OESTE";39;39;17679,49;15700,99;-;-;1978,50;-;-;453,32;453,32;146;3,7;2;5,13
"110009 ESPIGAO D'OESTE";89;89;29198,31;25746,24;-;-;3452,07;-;-;328,07;328,07;232;2,6;3;3,37
"110010 GUAJARA-MIRIM";430;430;181997,11;145045,19;-;-;36951,92;-;-;423,25;423,25;1600;3,7;2;0,47
"110011 JARU";249;249;111628,74;81462,82;-;-;30165,92;-;-;448,31;448,31;672;2,7;3;1,20
"110012 JI-PARANA";612;612;494536,93;407798,48;-;-;86738,45;-;-;808,07;808,07;2047;3,3;18;2,94
"110013 MACHADINHO D'OESTE";168;168;61286,16;45450,26;-;-;15835,90;-;-;364,80;364,80;485;2,9;-;-
"110014 NOVA BRASILANDIA D'OESTE";71;71;30906,08;24259,67;-;-;6646,41;-;-;435,30;435,30;241;3,4;-;-
"110015 OURO PRETO DO OESTE";242;242;152549,27;108208,29;-;-;44340,98;-;-;630,37;630,37;478;2,0;4;1,65
"110018 PIMENTA BUENO";265;265;124466,31;92088,28;-;-;32378,03;-;-;469,68;469,68;528;2,0;1;0,38
"110020 PORTO VELHO";4453;4453;8223087,54;6825259,28;-;-;1397828,26;-;-;1846,64;1846,64;31125;7,0;193;4,33
"110025 PRESIDENTE MEDICI";50;50;11979,06;10261,47;-;-;1717,59;-;-;239,58;239,58;209;4,2;1;2,00
"110026 RIO CRESPO";4;4;1260,54;1077,45;-;-;183,09;-;-;315,13;315,13;-;-;-;-
"110028 ROLIM DE MOURA";270;270;100226,18;73413,77;-;-;26812,41;-;-;371,21;371,21;771;2,9;1;0,37
"110029 SANTA LUZIA D'OESTE";35;35;10910,71;9382,65;-;-;1528,06;-;-;311,73;311,73;106;3,0;-;-
"110030 VILHENA";862;862;884007,91;696322,31;-;-;187685,60;-;-;1025,53;1025,53;4338;5,0;37;4,29
"110032 SAO MIGUEL DO GUAPORE";99;99;45297,76;34392,75;-;-;10905,01;-;-;457,55;457,55;209;2,1;4;4,04
"110033 NOVA MAMORE";94;94;33414,03;26389,27;-;-;7024,76;-;-;355,47;355,47;349;3,7;-;-
