Per�odo:Mai/2024
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 ALTA FLORESTA D'OESTE";320;320;86328,43;72316,24;-;-;14012,19;-;-;269,78;269,78;678;2,1;2;0,63
"110002 ARIQUEMES";541;541;714906,99;543548,43;29835,41;-;124321,40;17201,75;-;1321,45;1321,45;1905;3,5;17;3,14
"110003 CABIXI";16;16;6351,34;5481,95;-;-;869,39;-;-;396,96;396,96;60;3,8;2;12,50
"110004 CACOAL";1275;1275;1114502,28;896232,68;-;-;218269,60;-;-;874,12;874,12;7105;5,6;48;3,76
"110006 COLORADO DO OESTE";96;96;55913,41;42632,70;-;-;13280,71;-;-;582,43;582,43;310;3,2;2;2,08
"110009 ESPIGAO D'OESTE";139;139;49998,49;44118,58;-;-;5879,91;-;-;359,70;359,70;363;2,6;6;4,32
"110011 JARU";343;343;153709,65;116701,26;-;-;37008,39;-;-;448,13;448,13;868;2,5;6;1,75
"110012 JI-PARANA";1080;1080;941888,80;741780,94;-;-;200107,86;-;-;872,12;872,12;2807;2,6;29;2,69
"110013 MACHADINHO D'OESTE";294;294;100419,55;77056,44;-;-;23363,11;-;-;341,56;341,56;678;2,3;5;1,70
"110014 NOVA BRASILANDIA D'OESTE";100;100;39868,12;32661,08;-;-;7207,04;-;-;398,68;398,68;362;3,6;2;2,00
"110015 OURO PRETO DO OESTE";258;258;146075,29;109444,48;-;-;36630,81;-;-;566,18;566,18;672;2,6;5;1,94
"110018 PIMENTA BUENO";365;365;210429,33;161437,14;-;-;48992,19;-;-;576,52;576,52;782;2,1;5;1,37
"110020 PORTO VELHO";4220;4220;7698218,24;6330398,44;-;-;1367819,80;-;-;1824,22;1824,22;31088;7,4;184;4,36
"110025 PRESIDENTE MEDICI";119;119;55475,21;42564,95;-;-;12910,26;-;-;466,18;466,18;437;3,7;1;0,84
"110026 RIO CRESPO";11;11;6507,04;5888,63;-;-;618,41;-;-;591,55;591,55;-;-;-;-
"110028 ROLIM DE MOURA";375;375;154992,81;115838,66;-;-;39154,15;-;-;413,31;413,31;1101;2,9;1;0,27
"110029 SANTA LUZIA D'OESTE";61;61;27945,52;24642,36;-;-;3303,16;-;-;458,12;458,12;229;3,8;-;-
"110030 VILHENA";866;866;928666,60;747621,43;-;-;181045,17;-;-;1072,36;1072,36;3440;4,0;26;3,00
"110032 SAO MIGUEL DO GUAPORE";153;153;80946,79;62378,20;-;-;18568,59;-;-;529,06;529,06;313;2,0;2;1,31
"110033 NOVA MAMORE";78;78;33869,34;25708,00;-;-;8161,34;-;-;434,22;434,22;270;3,5;1;1,28
"110037 ALTO ALEGRE DOS PARECIS";31;31;12319,18;10862,29;-;-;1456,89;-;-;397,39;397,39;95;3,1;-;-
"110040 ALTO PARAISO";39;39;16431,96;14253,43;-;-;2178,53;-;-;421,33;421,33;135;3,5;-;-
"110045 BURITIS";82;82;35414,22;31350,12;-;-;4064,10;-;-;431,88;431,88;247;3,0;-;-
"110070 CAMPO NOVO DE RONDONIA";17;17;7591,73;6597,06;-;-;994,67;-;-;446,57;446,57;50;2,9;-;-
"110094 CUJUBIM";139;139;76311,00;54950,97;-;-;21360,03;-;-;549,00;549,00;-;-;-;-
"110100 GOVERNADOR JORGE TEIXEIRA";4;4;2329,68;2016,28;-;-;313,40;-;-;582,42;582,42;19;4,8;-;-
"110120 MINISTRO ANDREAZZA";20;20;7808,15;6834,44;-;-;973,71;-;-;390,41;390,41;117;5,8;-;-
"110130 MIRANTE DA SERRA";38;38;22103,05;18170,45;-;-;3932,60;-;-;581,66;581,66;225;5,9;1;2,63
"110140 MONTE NEGRO";44;44;23278,12;19252,52;-;-;4025,60;-;-;529,05;529,05;143;3,3;1;2,27
"110143 NOVA UNIAO";12;12;4821,77;4165,33;-;-;656,44;-;-;401,81;401,81;37;3,1;-;-
"110145 PARECIS";20;20;5078,23;4334,21;-;-;744,02;-;-;253,91;253,91;20;1,0;-;-
"110146 PIMENTEIRAS DO OESTE";9;9;3909,10;3356,99;-;-;552,11;-;-;434,34;434,34;54;6,0;-;-
"110148 SAO FELIPE D'OESTE";10;10;4912,62;4244,27;-;-;668,35;-;-;491,26;491,26;51;5,1;-;-
"110149 SAO FRANCISCO DO GUAPORE";138;138;60993,10;48640,56;-;-;12352,54;-;-;441,98;441,98;384;2,8;-;-
"110150 SERINGUEIRAS";130;130;62953,36;47193,98;-;-;15759,38;-;-;484,26;484,26;356;2,7;2;1,54
"110155 TEIXEIROPOLIS";1;1;218,68;188,00;-;-;30,68;-;-;218,68;218,68;1;1,0;-;-
"110160 THEOBROMA";11;11;4809,87;4218,43;-;-;591,44;-;-;437,26;437,26;41;3,7;-;-
"110170 URUPA";78;78;48564,63;36618,86;-;-;11945,77;-;-;622,62;622,62;231;3,0;-;-
"110180 VALE DO PARAISO";24;24;6877,43;5996,49;-;-;880,94;-;-;286,56;286,56;71;3,0;-;-
"120001 ACRELANDIA";30;30;13600,14;11704,00;-;-;1896,14;-;-;453,34;453,34;119;4,0;1;3,33
"120005 ASSIS BRASIL";52;52;18593,02;15492,01;-;-;3101,01;-;-;357,56;357,56;156;3,0;-;-
"120010 BRASILEIA";227;227;126434,74;89343,87;-;-;37090,87;-;-;556,98;556,98;742;3,3;4;1,76
"120020 CRUZEIRO DO SUL";991;991;529517,02;379849,04;-;-;149667,98;-;-;534,33;534,33;3484;3,5;31;3,13
"120030 FEIJO";97;97;40775,29;29062,52;-;-;11712,77;-;-;420,36;420,36;409;4,2;-;-
"120033 MANCIO LIMA";86;86;30287,37;26512,13;-;-;3775,24;-;-;352,18;352,18;330;3,8;-;-
"120034 MANOEL URBANO";43;43;15047,78;12129,89;-;-;2917,89;-;-;349,95;349,95;163;3,8;4;9,30
"120035 MARECHAL THAUMATURGO";28;28;6706,60;5559,47;-;-;1147,13;-;-;239,52;239,52;73;2,6;-;-
