Município,População_residente
ALTA FLORESTA D'OESTE,22516
ARIQUEMES,111148
CABIXI,5067
CACOAL,86416
CEREJEIRAS,16088
COLORADO DO OESTE,15213
CORUMBIARA,7052
COSTA MARQUES,19255
ESPIGAO D'OESTE,33009
GUAJARA-MIRIM,46930
JARU,51469
JI-PARANA,131026
MACHADINHO D'OESTE,41724
NOVA BRASILANDIA D'OESTE,20504
OURO PRETO DO OESTE,35445
PIMENTA BUENO,37098
PORTO VELHO,548952
PRESIDENTE MEDICI-RO,18165
RIO CRESPO,3843
ROLIM DE MOURA,55748
SANTA LUZIA D'OESTE,5942
VILHENA,104517
SAO MIGUEL DO GUAPORE,23147
NOVA MAMORE,32184
ALVORADA D'OESTE,13807
ALTO ALEGRE DOS PARECIS,13268
ALTO PARAISO-RO,22258
BURITIS-RO,41043
NOVO HORIZONTE DO OESTE,8125
CACAULANDIA,6307
CAMPO NOVO DE RONDONIA,14391
CANDEIAS DO JAMARI,28068
CASTANHEIRAS,2923
CHUPINGUAIA,11755
CUJUBIM,27131
GOVERNADOR JORGE TEIXEIRA,7130
ITAPUA DO OESTE,10819
MINISTRO ANDREAZZA,9461
MIRANTE DA SERRA,10691
MONTE NEGRO,16158
NOVA UNIAO-RO,6822
PARECIS,6319
PIMENTEIRAS DO OESTE,2127
PRIMAVERA DE RONDONIA,2697
SAO FELIPE D'OESTE,4962
SAO FRANCISCO DO GUAPORE,21088
SERINGUEIRAS,11846
TEIXEIROPOLIS,4160
THEOBROMA,10348
URUPA,11081
VALE DO ANARI,11545
VALE DO PARAISO,6490
ACRELANDIA,15721
ASSIS BRASIL,7649
BRASILEIA,27123
BUJARI,10572
CAPIXABA,12280
CRUZEIRO DO SUL-AC,89760
EPITACIOLANDIA,18979
FEIJO,34986
JORDAO,8628
MANCIO LIMA,19643
MANOEL URBANO,9701
MARECHAL THAUMATURGO,19727
PLACIDO DE CASTRO,20147
PORTO WALTER,12497
RIO BRANCO-AC,419452
RODRIGUES ALVES,19767
SANTA ROSA DO PURUS,6893
SENADOR GUIOMARD,23446
SENA MADUREIRA,47168
TARAUACA,43730
XAPURI,19866
PORTO ACRE,19141
ALVARAES,16396
AMATURA,11934
ANAMA,14292
ANORI,21937
APUI,22739
ATALAIA DO NORTE,20868
AUTAZES,41005
BARCELOS,27772
BARREIRINHA,32919
BENJAMIN CONSTANT,44873
BERURI,20503
BOA VISTA DO RAMOS,20040
BOCA DO ACRE,34958
BORBA,42328
CAAPIRANGA,13482
CANUTAMA,15981
CARAUARI,28719
CAREIRO,38820
CAREIRO DA VARZEA,31459
COARI,86713
CODAJAS,29691
EIRUNEPE,36121
ENVIRA,20748
